E_lab	E*/MeV	196Bi	197Bi	198Bi	199Bi	200Bi	201Bi	202Bi	203Bi
164.401	45.0	0.000E+00	0.843E-11	0.901E-08	0.167E-07	0.199E-10	0.456E-09	0.271E-09	0.164E-11
165.643	46.0	0.000E+00	0.131E-09	0.428E-07	0.480E-07	0.413E-10	0.207E-08	0.754E-09	0.322E-11
166.886	47.0	0.000E+00	0.934E-08	0.131E-04	0.188E-04	0.644E-07	0.763E-06	0.353E-06	0.374E-08
168.128	48.0	0.000E+00	0.136E-06	0.744E-04	0.819E-04	0.249E-06	0.417E-05	0.142E-05	0.147E-07
169.371	49.0	0.000E+00	0.141E-05	0.327E-03	0.253E-03	0.686E-06	0.177E-04	0.420E-05	0.391E-07
170.613	50.0	0.000E+00	0.125E-04	0.132E-02	0.711E-03	0.200E-05	0.703E-04	0.114E-04	0.910E-07
171.856	51.0	0.000E+00	0.971E-04	0.503E-02	0.190E-02	0.798E-05	0.268E-03	0.296E-04	0.201E-06
173.098	52.0	0.000E+00	0.664E-03	0.180E-01	0.484E-02	0.414E-04	0.965E-03	0.726E-04	0.425E-06
174.340	53.0	0.000E+00	0.380E-02	0.575E-01	0.113E-01	0.216E-03	0.313E-02	0.163E-03	0.850E-06
175.583	54.0	0.000E+00	0.164E-01	0.150E+00	0.227E-01	0.897E-03	0.827E-02	0.311E-03	0.153E-05
176.825	55.0	0.594E-07	0.495E-01	0.292E+00	0.366E-01	0.263E-02	0.164E-01	0.472E-03	0.238E-05
178.068	56.0	0.115E-05	0.108E+00	0.442E+00	0.484E-01	0.564E-02	0.249E-01	0.584E-03	0.319E-05
179.310	57.0	0.689E-05	0.189E+00	0.558E+00	0.557E-01	0.974E-02	0.315E-01	0.631E-03	0.383E-05
180.552	58.0	0.305E-04	0.284E+00	0.625E+00	0.583E-01	0.147E-01	0.355E-01	0.622E-03	0.421E-05
181.795	59.0	0.109E-03	0.388E+00	0.644E+00	0.568E-01	0.203E-01	0.372E-01	0.574E-03	0.431E-05
183.037	60.0	0.336E-03	0.495E+00	0.623E+00	0.520E-01	0.263E-01	0.368E-01	0.504E-03	0.415E-05
184.280	61.0	0.918E-03	0.598E+00	0.572E+00	0.452E-01	0.326E-01	0.351E-01	0.424E-03	0.378E-05
185.522	62.0	0.227E-02	0.694E+00	0.505E+00	0.378E-01	0.388E-01	0.324E-01	0.344E-03	0.325E-05
186.765	63.0	0.514E-02	0.778E+00	0.431E+00	0.311E-01	0.447E-01	0.291E-01	0.270E-03	0.264E-05
188.007	64.0	0.107E-01	0.849E+00	0.358E+00	0.262E-01	0.498E-01	0.257E-01	0.205E-03	0.203E-05
189.249	65.0	0.204E-01	0.902E+00	0.290E+00	0.236E-01	0.540E-01	0.222E-01	0.151E-03	0.148E-05
190.492	66.0	0.360E-01	0.937E+00	0.231E+00	0.235E-01	0.569E-01	0.188E-01	0.109E-03	0.102E-05
191.734	67.0	0.591E-01	0.952E+00	0.180E+00	0.259E-01	0.585E-01	0.158E-01	0.771E-04	0.681E-06
192.977	68.0	0.906E-01	0.947E+00	0.139E+00	0.304E-01	0.586E-01	0.130E-01	0.535E-04	0.440E-06
194.219	69.0	0.131E+00	0.922E+00	0.105E+00	0.366E-01	0.573E-01	0.106E-01	0.366E-04	0.279E-06
195.462	70.0	0.179E+00	0.881E+00	0.787E-01	0.441E-01	0.548E-01	0.754E-02	0.248E-04	0.174E-06
196.704	71.0	0.232E+00	0.825E+00	0.584E-01	0.524E-01	0.513E-01	0.558E-02	0.166E-04	0.107E-06
197.946	72.0	0.289E+00	0.758E+00	0.431E-01	0.612E-01	0.470E-01	0.401E-02	0.111E-04	0.648E-07
199.189	73.0	0.347E+00	0.684E+00	0.319E-01	0.699E-01	0.422E-01	0.254E-02	0.731E-05	0.387E-07
200.431	74.0	0.402E+00	0.607E+00	0.240E-01	0.781E-01	0.370E-01	0.176E-02	0.480E-05	0.221E-07
201.674	75.0	0.451E+00	0.529E+00	0.190E-01	0.856E-01	0.317E-01	0.123E-02	0.313E-05	0.118E-07
202.916	76.0	0.491E+00	0.454E+00	0.164E-01	0.918E-01	0.267E-01	0.845E-03	0.203E-05	0.517E-08
204.159	77.0	0.521E+00	0.384E+00	0.159E-01	0.967E-01	0.219E-01	0.590E-03	0.131E-05	0.000E+00
205.401	78.0	0.539E+00	0.320E+00	0.174E-01	0.100E+00	0.167E-01	0.380E-03	0.837E-06	0.000E+00
206.643	79.0	0.544E+00	0.263E+00	0.206E-01	0.101E+00	0.114E-01	0.252E-03	0.532E-06	0.000E+00
207.886	80.0	0.537E+00	0.213E+00	0.253E-01	0.101E+00	0.775E-02	0.175E-03	0.334E-06	0.000E+00
209.128	81.0	0.518E+00	0.171E+00	0.314E-01	0.992E-01	0.502E-02	0.108E-03	0.208E-06	0.000E+00
210.371	82.0	0.491E+00	0.136E+00	0.385E-01	0.949E-01	0.321E-02	0.719E-04	0.127E-06	0.000E+00
211.613	83.0	0.456E+00	0.108E+00	0.464E-01	0.890E-01	0.198E-02	0.421E-04	0.769E-07	0.000E+00
212.856	84.0	0.416E+00	0.846E-01	0.546E-01	0.819E-01	0.123E-02	0.260E-04	0.446E-07	0.000E+00
214.098	85.0	0.408E+00	0.837E-01	0.572E-01	0.810E-01	0.128E-02	0.155E-04	0.244E-07	0.000E+00
215.340	86.0	0.365E+00	0.666E-01	0.649E-01	0.731E-01	0.754E-03	0.884E-05	0.121E-07	0.000E+00
216.583	87.0	0.332E+00	0.566E-01	0.721E-01	0.646E-01	0.421E-03	0.482E-05	0.168E-08	0.000E+00
217.825	88.0	0.323E+00	0.572E-01	0.717E-01	0.649E-01	0.237E-03	0.245E-05	0.000E+00	0.000E+00
219.068	89.0	0.281E+00	0.484E-01	0.777E-01	0.474E-01	0.131E-03	0.000E+00	0.000E+00	0.000E+00
220.310	90.0	0.240E+00	0.431E-01	0.826E-01	0.339E-01	0.704E-04	0.000E+00	0.000E+00	0.000E+00
