E_lab	E*/MeV	199At	200At	201At	202At	203At	204At	205At
164.401	45.0	0.000E+00	0.149E-11	0.509E-06	0.864E-07	0.117E-09	0.000E+00	0.000E+00
165.643	46.0	0.000E+00	0.999E-10	0.171E-05	0.185E-06	0.208E-09	0.000E+00	0.000E+00
166.886	47.0	0.000E+00	0.134E-07	0.464E-03	0.132E-03	0.953E-06	0.000E+00	0.000E+00
168.128	48.0	0.000E+00	0.466E-06	0.208E-02	0.455E-03	0.363E-05	0.000E+00	0.000E+00
169.371	49.0	0.000E+00	0.869E-05	0.717E-02	0.113E-02	0.843E-05	0.000E+00	0.000E+00
170.613	50.0	0.000E+00	0.109E-03	0.234E-01	0.257E-02	0.169E-04	0.000E+00	0.000E+00
171.856	51.0	0.000E+00	0.979E-03	0.732E-01	0.567E-02	0.325E-04	0.000E+00	0.000E+00
173.098	52.0	0.000E+00	0.665E-02	0.216E+00	0.120E-01	0.606E-04	0.000E+00	0.000E+00
174.340	53.0	0.000E+00	0.341E-01	0.573E+00	0.237E-01	0.107E-03	0.000E+00	0.000E+00
175.583	54.0	0.000E+00	0.124E+00	0.123E+01	0.399E-01	0.169E-03	0.000E+00	0.000E+00
176.825	55.0	0.120E-05	0.303E+00	0.196E+01	0.530E-01	0.220E-03	0.000E+00	0.000E+00
178.068	56.0	0.156E-04	0.525E+00	0.237E+01	0.562E-01	0.231E-03	0.000E+00	0.000E+00
179.310	57.0	0.117E-03	0.727E+00	0.237E+01	0.502E-01	0.201E-03	0.000E+00	0.000E+00
180.552	58.0	0.589E-03	0.883E+00	0.209E+01	0.396E-01	0.151E-03	0.000E+00	0.000E+00
181.795	59.0	0.216E-02	0.992E+00	0.170E+01	0.286E-01	0.100E-03	0.000E+00	0.000E+00
183.037	60.0	0.613E-02	0.106E+01	0.131E+01	0.193E-01	0.615E-04	0.000E+00	0.000E+00
184.280	61.0	0.142E-01	0.109E+01	0.979E+00	0.125E-01	0.355E-04	0.000E+00	0.000E+00
185.522	62.0	0.279E-01	0.108E+01	0.713E+00	0.790E-02	0.190E-04	0.000E+00	0.000E+00
186.765	63.0	0.482E-01	0.105E+01	0.511E+00	0.490E-02	0.918E-05	0.000E+00	0.000E+00
188.007	64.0	0.751E-01	0.985E+00	0.360E+00	0.301E-02	0.268E-05	0.000E+00	0.000E+00
189.249	65.0	0.107E+00	0.901E+00	0.252E+00	0.184E-02	0.000E+00	0.000E+00	0.000E+00
190.492	66.0	0.143E+00	0.803E+00	0.174E+00	0.112E-02	0.000E+00	0.000E+00	0.000E+00
191.734	67.0	0.180E+00	0.698E+00	0.119E+00	0.677E-03	0.000E+00	0.000E+00	0.000E+00
192.977	68.0	0.216E+00	0.594E+00	0.811E-01	0.408E-03	0.000E+00	0.000E+00	0.000E+00
194.219	69.0	0.248E+00	0.494E+00	0.548E-01	0.246E-03	0.000E+00	0.000E+00	0.000E+00
195.462	70.0	0.273E+00	0.404E+00	0.368E-01	0.147E-03	0.000E+00	0.000E+00	0.000E+00
196.704	71.0	0.291E+00	0.324E+00	0.246E-01	0.878E-04	0.000E+00	0.000E+00	0.000E+00
197.946	72.0	0.299E+00	0.256E+00	0.164E-01	0.519E-04	0.000E+00	0.000E+00	0.000E+00
199.189	73.0	0.299E+00	0.199E+00	0.108E-01	0.305E-04	0.000E+00	0.000E+00	0.000E+00
200.431	74.0	0.290E+00	0.153E+00	0.714E-02	0.176E-04	0.000E+00	0.000E+00	0.000E+00
201.674	75.0	0.274E+00	0.116E+00	0.469E-02	0.100E-04	0.000E+00	0.000E+00	0.000E+00
202.916	76.0	0.253E+00	0.871E-01	0.307E-02	0.564E-05	0.000E+00	0.000E+00	0.000E+00
204.159	77.0	0.228E+00	0.647E-01	0.201E-02	0.259E-05	0.000E+00	0.000E+00	0.000E+00
205.401	78.0	0.201E+00	0.477E-01	0.130E-02	0.904E-06	0.000E+00	0.000E+00	0.000E+00
206.643	79.0	0.174E+00	0.348E-01	0.845E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00
