E_lab	E*/MeV	198Po	199Po	200Po	201Po	202Po	203Po	204Po
145.765	30.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.829E-08	0.345E-07	0.107E-08
147.007	31.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.831E-07	0.187E-06	0.389E-08
148.249	32.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.707E-06	0.923E-06	0.134E-07
149.492	33.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.525E-05	0.417E-05	0.443E-07
150.734	34.0	0.000E+00	0.000E+00	0.000E+00	0.301E-09	0.343E-04	0.172E-04	0.140E-06
151.977	35.0	0.000E+00	0.000E+00	0.000E+00	0.207E-07	0.190E-03	0.618E-04	0.414E-06
153.219	36.0	0.000E+00	0.000E+00	0.000E+00	0.518E-06	0.807E-03	0.179E-03	0.108E-05
154.462	37.0	0.000E+00	0.000E+00	0.000E+00	0.619E-05	0.248E-02	0.392E-03	0.235E-05
155.704	38.0	0.000E+00	0.000E+00	0.000E+00	0.444E-04	0.590E-02	0.683E-03	0.424E-05
156.946	39.0	0.000E+00	0.000E+00	0.000E+00	0.221E-03	0.119E-01	0.100E-02	0.641E-05
158.189	40.0	0.000E+00	0.000E+00	0.000E+00	0.850E-03	0.213E-01	0.131E-02	0.844E-05
159.431	41.0	0.000E+00	0.000E+00	0.000E+00	0.269E-02	0.353E-01	0.156E-02	0.980E-05
160.674	42.0	0.000E+00	0.000E+00	0.000E+00	0.722E-02	0.541E-01	0.173E-02	0.103E-04
161.916	43.0	0.000E+00	0.000E+00	0.143E-06	0.167E-01	0.770E-01	0.181E-02	0.992E-05
163.159	44.0	0.000E+00	0.000E+00	0.191E-05	0.341E-01	0.102E+00	0.178E-02	0.894E-05
164.401	45.0	0.000E+00	0.000E+00	0.163E-04	0.628E-01	0.128E+00	0.168E-02	0.762E-05
165.643	46.0	0.000E+00	0.000E+00	0.999E-04	0.106E+00	0.151E+00	0.151E-02	0.619E-05
166.886	47.0	0.000E+00	0.000E+00	0.473E-03	0.167E+00	0.170E+00	0.131E-02	0.482E-05
168.128	48.0	0.000E+00	0.000E+00	0.180E-02	0.246E+00	0.183E+00	0.109E-02	0.361E-05
169.371	49.0	0.000E+00	0.000E+00	0.568E-02	0.342E+00	0.188E+00	0.881E-03	0.259E-05
170.613	50.0	0.000E+00	0.000E+00	0.152E-01	0.452E+00	0.187E+00	0.692E-03	0.181E-05
171.856	51.0	0.000E+00	0.000E+00	0.352E-01	0.570E+00	0.178E+00	0.529E-03	0.121E-05
173.098	52.0	0.000E+00	0.000E+00	0.722E-01	0.685E+00	0.165E+00	0.395E-03	0.780E-06
174.340	53.0	0.000E+00	0.000E+00	0.133E+00	0.786E+00	0.147E+00	0.288E-03	0.464E-06
175.583	54.0	0.000E+00	0.103E-05	0.224E+00	0.864E+00	0.128E+00	0.206E-03	0.239E-06
176.825	55.0	0.000E+00	0.806E-05	0.346E+00	0.909E+00	0.107E+00	0.144E-03	0.419E-07
178.068	56.0	0.000E+00	0.469E-04	0.498E+00	0.918E+00	0.881E-01	0.994E-04	0.000E+00
179.310	57.0	0.000E+00	0.213E-03	0.675E+00	0.891E+00	0.703E-01	0.672E-04	0.000E+00
180.552	58.0	0.000E+00	0.786E-03	0.865E+00	0.833E+00	0.548E-01	0.446E-04	0.000E+00
181.795	59.0	0.000E+00	0.242E-02	0.106E+01	0.752E+00	0.417E-01	0.291E-04	0.000E+00
183.037	60.0	0.000E+00	0.634E-02	0.124E+01	0.658E+00	0.310E-01	0.187E-04	0.000E+00
184.280	61.0	0.000E+00	0.145E-01	0.139E+01	0.558E+00	0.226E-01	0.118E-04	0.000E+00
185.522	62.0	0.000E+00	0.294E-01	0.152E+01	0.461E+00	0.162E-01	0.722E-05	0.000E+00
186.765	63.0	0.274E-06	0.537E-01	0.160E+01	0.371E+00	0.114E-01	0.434E-05	0.000E+00
188.007	64.0	0.179E-05	0.894E-01	0.164E+01	0.291E+00	0.786E-02	0.255E-05	0.000E+00
189.249	65.0	0.911E-05	0.137E+00	0.164E+01	0.225E+00	0.535E-02	0.143E-05	0.000E+00
190.492	66.0	0.382E-04	0.197E+00	0.159E+01	0.170E+00	0.359E-02	0.722E-06	0.000E+00
191.734	67.0	0.135E-03	0.265E+00	0.151E+01	0.126E+00	0.238E-02	0.259E-06	0.000E+00
192.977	68.0	0.412E-03	0.340E+00	0.139E+01	0.925E-01	0.156E-02	0.000E+00	0.000E+00
194.219	69.0	0.110E-02	0.416E+00	0.126E+01	0.669E-01	0.101E-02	0.000E+00	0.000E+00
195.462	70.0	0.262E-02	0.489E+00	0.111E+01	0.478E-01	0.653E-03	0.000E+00	0.000E+00
196.704	71.0	0.559E-02	0.555E+00	0.963E+00	0.338E-01	0.417E-03	0.000E+00	0.000E+00
197.946	72.0	0.109E-01	0.611E+00	0.819E+00	0.236E-01	0.264E-03	0.000E+00	0.000E+00
199.189	73.0	0.194E-01	0.654E+00	0.685E+00	0.164E-01	0.166E-03	0.000E+00	0.000E+00
200.431	74.0	0.320E-01	0.682E+00	0.564E+00	0.113E-01	0.104E-03	0.000E+00	0.000E+00
201.674	75.0	0.495E-01	0.694E+00	0.457E+00	0.773E-02	0.647E-04	0.000E+00	0.000E+00
202.916	76.0	0.721E-01	0.691E+00	0.366E+00	0.526E-02	0.401E-04	0.000E+00	0.000E+00
204.159	77.0	0.996E-01	0.673E+00	0.289E+00	0.355E-02	0.247E-04	0.000E+00	0.000E+00
205.401	78.0	0.131E+00	0.642E+00	0.226E+00	0.239E-02	0.150E-04	0.000E+00	0.000E+00
206.643	79.0	0.166E+00	0.601E+00	0.174E+00	0.160E-02	0.910E-05	0.000E+00	0.000E+00
207.886	80.0	0.203E+00	0.552E+00	0.133E+00	0.107E-02	0.545E-05	0.000E+00	0.000E+00
