E_lab	E*/MeV	199At	200At	201At	202At	203At	204At	205At
145.765	30.0	0.000E+00	0.000E+00	0.000E+00	0.455E-07	0.926E-06	0.474E-08	0.300E-11
147.007	31.0	0.000E+00	0.000E+00	0.000E+00	0.723E-06	0.471E-05	0.141E-07	0.687E-11
148.249	32.0	0.000E+00	0.000E+00	0.000E+00	0.739E-05	0.217E-04	0.402E-07	0.110E-10
149.492	33.0	0.000E+00	0.000E+00	0.000E+00	0.578E-04	0.916E-04	0.110E-06	0.000E+00
150.734	34.0	0.000E+00	0.000E+00	0.000E+00	0.374E-03	0.353E-03	0.291E-06	0.000E+00
151.977	35.0	0.000E+00	0.000E+00	0.578E-08	0.198E-02	0.120E-02	0.726E-06	0.000E+00
153.219	36.0	0.000E+00	0.000E+00	0.568E-06	0.791E-02	0.330E-02	0.161E-05	0.000E+00
154.462	37.0	0.000E+00	0.000E+00	0.176E-04	0.226E-01	0.686E-02	0.304E-05	0.000E+00
155.704	38.0	0.000E+00	0.000E+00	0.240E-03	0.496E-01	0.112E-01	0.470E-05	0.000E+00
156.946	39.0	0.000E+00	0.000E+00	0.177E-02	0.912E-01	0.151E-01	0.607E-05	0.000E+00
158.189	40.0	0.000E+00	0.000E+00	0.819E-02	0.148E+00	0.179E-01	0.674E-05	0.000E+00
159.431	41.0	0.000E+00	0.000E+00	0.268E-01	0.218E+00	0.193E-01	0.661E-05	0.000E+00
160.674	42.0	0.000E+00	0.000E+00	0.681E-01	0.294E+00	0.193E-01	0.584E-05	0.000E+00
161.916	43.0	0.000E+00	0.000E+00	0.143E+00	0.364E+00	0.181E-01	0.477E-05	0.000E+00
163.159	44.0	0.000E+00	0.000E+00	0.258E+00	0.418E+00	0.160E-01	0.357E-05	0.000E+00
164.401	45.0	0.000E+00	0.000E+00	0.419E+00	0.448E+00	0.135E-01	0.248E-05	0.000E+00
165.643	46.0	0.000E+00	0.625E-06	0.626E+00	0.453E+00	0.109E-01	0.146E-05	0.000E+00
166.886	47.0	0.000E+00	0.151E-04	0.874E+00	0.436E+00	0.854E-02	0.574E-06	0.000E+00
168.128	48.0	0.000E+00	0.178E-03	0.116E+01	0.402E+00	0.646E-02	0.000E+00	0.000E+00
169.371	49.0	0.000E+00	0.125E-02	0.145E+01	0.355E+00	0.476E-02	0.000E+00	0.000E+00
170.613	50.0	0.000E+00	0.580E-02	0.175E+01	0.303E+00	0.342E-02	0.000E+00	0.000E+00
