E_lab	E*/MeV	195Bi	196Bi	197Bi	198Bi	199Bi	200Bi	201Bi
163.609	29.0	0.000E+00	0.000E+00	0.110E-09	0.116E-07	0.224E-08	0.627E-11	0.394E-09
164.886	30.0	0.000E+00	0.000E+00	0.172E-08	0.724E-07	0.889E-08	0.971E-10	0.242E-08
166.163	31.0	0.000E+00	0.000E+00	0.214E-07	0.422E-06	0.335E-07	0.124E-08	0.141E-07
167.440	32.0	0.000E+00	0.000E+00	0.225E-06	0.230E-05	0.119E-06	0.132E-07	0.768E-07
168.716	33.0	0.000E+00	0.000E+00	0.201E-05	0.113E-04	0.398E-06	0.116E-06	0.381E-06
169.993	34.0	0.000E+00	0.000E+00	0.141E-04	0.463E-04	0.119E-05	0.774E-06	0.157E-05
171.270	35.0	0.000E+00	0.000E+00	0.690E-04	0.141E-03	0.299E-05	0.358E-05	0.479E-05
172.547	36.0	0.000E+00	0.887E-09	0.237E-03	0.319E-03	0.602E-05	0.117E-04	0.108E-04
173.823	37.0	0.000E+00	0.246E-07	0.633E-03	0.576E-03	0.101E-04	0.299E-04	0.196E-04
175.100	38.0	0.000E+00	0.289E-06	0.143E-02	0.890E-03	0.150E-04	0.655E-04	0.307E-04
176.377	39.0	0.000E+00	0.206E-05	0.287E-02	0.124E-02	0.213E-04	0.130E-03	0.436E-04
177.653	40.0	0.000E+00	0.106E-04	0.529E-02	0.158E-02	0.328E-04	0.236E-03	0.574E-04
178.930	41.0	0.000E+00	0.433E-04	0.902E-02	0.187E-02	0.599E-04	0.395E-03	0.707E-04
180.207	42.0	0.000E+00	0.151E-03	0.143E-01	0.209E-02	0.125E-03	0.614E-03	0.822E-04
181.484	43.0	0.000E+00	0.463E-03	0.214E-01	0.220E-02	0.266E-03	0.893E-03	0.909E-04
182.760	44.0	0.000E+00	0.126E-02	0.304E-01	0.221E-02	0.540E-03	0.122E-02	0.963E-04
184.037	45.0	0.458E-08	0.307E-02	0.410E-01	0.212E-02	0.102E-02	0.158E-02	0.984E-04
185.314	46.0	0.955E-07	0.668E-02	0.527E-01	0.196E-02	0.179E-02	0.193E-02	0.973E-04
186.591	47.0	0.829E-06	0.131E-01	0.647E-01	0.174E-02	0.293E-02	0.225E-02	0.933E-04
187.867	48.0	0.510E-05	0.234E-01	0.757E-01	0.150E-02	0.451E-02	0.249E-02	0.869E-04
189.144	49.0	0.242E-04	0.384E-01	0.847E-01	0.128E-02	0.655E-02	0.264E-02	0.789E-04
190.421	50.0	0.948E-04	0.586E-01	0.908E-01	0.110E-02	0.907E-02	0.269E-02	0.699E-04
191.697	51.0	0.318E-03	0.837E-01	0.933E-01	0.105E-02	0.120E-01	0.264E-02	0.603E-04
192.974	52.0	0.936E-03	0.113E+00	0.923E-01	0.120E-02	0.153E-01	0.251E-02	0.509E-04
194.251	53.0	0.244E-02	0.144E+00	0.879E-01	0.172E-02	0.187E-01	0.230E-02	0.419E-04
195.528	54.0	0.565E-02	0.176E+00	0.808E-01	0.276E-02	0.220E-01	0.206E-02	0.338E-04
196.804	55.0	0.117E-01	0.206E+00	0.718E-01	0.450E-02	0.250E-01	0.178E-02	0.266E-04
198.081	56.0	0.220E-01	0.230E+00	0.619E-01	0.707E-02	0.275E-01	0.151E-02	0.206E-04
199.358	57.0	0.374E-01	0.246E+00	0.517E-01	0.105E-01	0.291E-01	0.125E-02	0.156E-04
200.635	58.0	0.585E-01	0.252E+00	0.421E-01	0.149E-01	0.298E-01	0.101E-02	0.116E-04
201.911	59.0	0.848E-01	0.250E+00	0.334E-01	0.199E-01	0.296E-01	0.796E-03	0.841E-05
203.188	60.0	0.115E+00	0.238E+00	0.259E-01	0.254E-01	0.285E-01	0.617E-03	0.602E-05
204.465	61.0	0.148E+00	0.219E+00	0.199E-01	0.311E-01	0.267E-01	0.469E-03	0.423E-05
205.742	62.0	0.180E+00	0.196E+00	0.155E-01	0.366E-01	0.244E-01	0.351E-03	0.292E-05
207.018	63.0	0.211E+00	0.170E+00	0.125E-01	0.415E-01	0.217E-01	0.258E-03	0.199E-05
208.295	64.0	0.238E+00	0.143E+00	0.111E-01	0.455E-01	0.190E-01	0.187E-03	0.133E-05
209.572	65.0	0.260E+00	0.118E+00	0.111E-01	0.484E-01	0.162E-01	0.134E-03	0.877E-06
210.848	66.0	0.276E+00	0.951E-01	0.126E-01	0.500E-01	0.136E-01	0.941E-04	0.570E-06
212.125	67.0	0.285E+00	0.752E-01	0.153E-01	0.503E-01	0.112E-01	0.655E-04	0.366E-06
213.402	68.0	0.287E+00	0.584E-01	0.191E-01	0.493E-01	0.804E-02	0.451E-04	0.230E-06
214.679	69.0	0.282E+00	0.447E-01	0.237E-01	0.471E-01	0.647E-02	0.307E-04	0.144E-06
215.955	70.0	0.272E+00	0.337E-01	0.289E-01	0.440E-01	0.456E-02	0.207E-04	0.874E-07
