E_lab	E*/MeV	196Po	197Po	198Po	199Po	200Po	201Po	202Po
182.760	44.0	0.000E+00	0.000E+00	0.187E-10	0.638E-07	0.491E-07	0.455E-10	0.000E+00
184.037	45.0	0.000E+00	0.000E+00	0.326E-09	0.245E-06	0.126E-06	0.831E-10	0.000E+00
185.314	46.0	0.000E+00	0.000E+00	0.161E-07	0.482E-04	0.606E-04	0.205E-06	0.113E-09
186.591	47.0	0.000E+00	0.000E+00	0.256E-06	0.259E-03	0.270E-03	0.932E-06	0.849E-09
187.867	48.0	0.000E+00	0.000E+00	0.293E-05	0.103E-02	0.793E-03	0.235E-05	0.246E-08
189.144	49.0	0.000E+00	0.000E+00	0.279E-04	0.381E-02	0.212E-02	0.495E-05	0.443E-08
190.421	50.0	0.000E+00	0.000E+00	0.226E-03	0.136E-01	0.546E-02	0.992E-05	0.537E-08
191.697	51.0	0.000E+00	0.000E+00	0.155E-02	0.457E-01	0.134E-01	0.192E-04	0.000E+00
192.974	52.0	0.000E+00	0.000E+00	0.860E-02	0.138E+00	0.304E-01	0.353E-04	0.000E+00
194.251	53.0	0.000E+00	0.000E+00	0.352E-01	0.340E+00	0.585E-01	0.583E-04	0.000E+00
195.528	54.0	0.000E+00	0.882E-07	0.982E-01	0.617E+00	0.875E-01	0.810E-04	0.000E+00
196.804	55.0	0.000E+00	0.886E-06	0.195E+00	0.843E+00	0.102E+00	0.936E-04	0.000E+00
198.081	56.0	0.000E+00	0.567E-05	0.308E+00	0.945E+00	0.989E-01	0.923E-04	0.000E+00
199.358	57.0	0.000E+00	0.269E-04	0.423E+00	0.937E+00	0.839E-01	0.796E-04	0.000E+00
200.635	58.0	0.000E+00	0.102E-03	0.533E+00	0.859E+00	0.648E-01	0.615E-04	0.000E+00
201.911	59.0	0.000E+00	0.321E-03	0.633E+00	0.748E+00	0.470E-01	0.432E-04	0.000E+00
203.188	60.0	0.000E+00	0.869E-03	0.721E+00	0.629E+00	0.327E-01	0.281E-04	0.000E+00
204.465	61.0	0.000E+00	0.207E-02	0.793E+00	0.514E+00	0.221E-01	0.172E-04	0.000E+00
205.742	62.0	0.000E+00	0.438E-02	0.845E+00	0.410E+00	0.147E-01	0.101E-04	0.000E+00
207.018	63.0	0.000E+00	0.838E-02	0.876E+00	0.322E+00	0.971E-02	0.571E-05	0.000E+00
208.295	64.0	0.000E+00	0.147E-01	0.884E+00	0.248E+00	0.635E-02	0.309E-05	0.000E+00
209.572	65.0	0.214E-06	0.237E-01	0.870E+00	0.188E+00	0.412E-02	0.160E-05	0.000E+00
210.848	66.0	0.111E-05	0.357E-01	0.835E+00	0.140E+00	0.266E-02	0.731E-06	0.000E+00
212.125	67.0	0.474E-05	0.506E-01	0.783E+00	0.104E+00	0.171E-02	0.215E-06	0.000E+00
213.402	68.0	0.173E-04	0.680E-01	0.718E+00	0.757E-01	0.109E-02	0.000E+00	0.000E+00
214.679	69.0	0.545E-04	0.872E-01	0.643E+00	0.547E-01	0.693E-03	0.000E+00	0.000E+00
215.955	70.0	0.151E-03	0.107E+00	0.565E+00	0.391E-01	0.438E-03	0.000E+00	0.000E+00
217.232	71.0	0.372E-03	0.128E+00	0.487E+00	0.278E-01	0.276E-03	0.000E+00	0.000E+00
218.509	72.0	0.824E-03	0.147E+00	0.412E+00	0.195E-01	0.173E-03	0.000E+00	0.000E+00
219.786	73.0	0.166E-02	0.164E+00	0.343E+00	0.136E-01	0.108E-03	0.000E+00	0.000E+00
221.062	74.0	0.306E-02	0.179E+00	0.281E+00	0.947E-02	0.670E-04	0.000E+00	0.000E+00
222.339	75.0	0.524E-02	0.189E+00	0.227E+00	0.653E-02	0.414E-04	0.000E+00	0.000E+00
223.616	76.0	0.837E-02	0.196E+00	0.181E+00	0.447E-02	0.255E-04	0.000E+00	0.000E+00
224.892	77.0	0.126E-01	0.198E+00	0.142E+00	0.305E-02	0.155E-04	0.000E+00	0.000E+00
226.169	78.0	0.180E-01	0.196E+00	0.111E+00	0.207E-02	0.937E-05	0.000E+00	0.000E+00
227.446	79.0	0.245E-01	0.189E+00	0.851E-01	0.140E-02	0.563E-05	0.000E+00	0.000E+00
228.723	80.0	0.319E-01	0.179E+00	0.649E-01	0.938E-03	0.322E-05	0.000E+00	0.000E+00
229.999	81.0	0.399E-01	0.166E+00	0.490E-01	0.627E-03	0.162E-05	0.000E+00	0.000E+00
231.276	82.0	0.481E-01	0.152E+00	0.367E-01	0.418E-03	0.728E-06	0.000E+00	0.000E+00
232.553	83.0	0.561E-01	0.136E+00	0.273E-01	0.277E-03	0.199E-06	0.000E+00	0.000E+00
233.830	84.0	0.635E-01	0.120E+00	0.202E-01	0.183E-03	0.000E+00	0.000E+00	0.000E+00
235.106	85.0	0.698E-01	0.104E+00	0.148E-01	0.120E-03	0.000E+00	0.000E+00	0.000E+00
236.383	86.0	0.747E-01	0.894E-01	0.108E-01	0.787E-04	0.000E+00	0.000E+00	0.000E+00
237.660	87.0	0.779E-01	0.755E-01	0.781E-02	0.513E-04	0.000E+00	0.000E+00	0.000E+00
238.936	88.0	0.793E-01	0.630E-01	0.563E-02	0.333E-04	0.000E+00	0.000E+00	0.000E+00
240.213	89.0	0.790E-01	0.520E-01	0.403E-02	0.215E-04	0.000E+00	0.000E+00	0.000E+00
241.490	90.0	0.772E-01	0.425E-01	0.288E-02	0.138E-04	0.000E+00	0.000E+00	0.000E+00
