E_lab	E*/MeV	190Bi	191Bi	192Bi	193Bi	194Bi	195Bi	196Bi
196.101	21.0	0.000E+00	0.000E+00	0.000E+00	0.306E-09	0.308E-08	0.000E+00	0.412E-09
197.448	22.0	0.000E+00	0.000E+00	0.000E+00	0.305E-08	0.162E-07	0.502E-13	0.278E-08
198.795	23.0	0.000E+00	0.000E+00	0.000E+00	0.266E-07	0.790E-07	0.303E-11	0.169E-07
200.142	24.0	0.000E+00	0.000E+00	0.000E+00	0.205E-06	0.352E-06	0.911E-10	0.940E-07
201.489	25.0	0.000E+00	0.000E+00	0.000E+00	0.139E-05	0.142E-05	0.180E-08	0.484E-06
202.836	26.0	0.000E+00	0.000E+00	0.000E+00	0.797E-05	0.503E-05	0.246E-07	0.221E-05
204.183	27.0	0.000E+00	0.000E+00	0.295E-09	0.354E-04	0.144E-04	0.221E-06	0.809E-05
205.530	28.0	0.000E+00	0.000E+00	0.917E-08	0.117E-03	0.321E-04	0.131E-05	0.227E-04
206.877	29.0	0.000E+00	0.000E+00	0.108E-06	0.312E-03	0.571E-04	0.579E-05	0.523E-04
208.224	30.0	0.000E+00	0.000E+00	0.760E-06	0.709E-03	0.863E-04	0.205E-04	0.105E-03
209.571	31.0	0.000E+00	0.000E+00	0.397E-05	0.142E-02	0.114E-03	0.604E-04	0.187E-03
210.918	32.0	0.000E+00	0.000E+00	0.168E-04	0.253E-02	0.136E-03	0.154E-03	0.302E-03
212.265	33.0	0.000E+00	0.000E+00	0.594E-04	0.412E-02	0.147E-03	0.347E-03	0.449E-03
213.612	34.0	0.000E+00	0.000E+00	0.180E-03	0.612E-02	0.149E-03	0.708E-03	0.618E-03
214.959	35.0	0.000E+00	0.000E+00	0.468E-03	0.833E-02	0.140E-03	0.132E-02	0.793E-03
216.305	36.0	0.000E+00	0.000E+00	0.106E-02	0.104E-01	0.126E-03	0.227E-02	0.950E-03
217.652	37.0	0.000E+00	0.224E-07	0.211E-02	0.120E-01	0.110E-03	0.364E-02	0.107E-02
218.999	38.0	0.000E+00	0.232E-06	0.378E-02	0.128E-01	0.104E-03	0.550E-02	0.114E-02
220.346	39.0	0.000E+00	0.151E-05	0.619E-02	0.128E-01	0.127E-03	0.787E-02	0.115E-02
221.693	40.0	0.000E+00	0.716E-05	0.939E-02	0.121E-01	0.222E-03	0.107E-01	0.110E-02
223.040	41.0	0.000E+00	0.272E-04	0.133E-01	0.108E-01	0.461E-03	0.139E-01	0.102E-02
224.387	42.0	0.000E+00	0.871E-04	0.178E-01	0.913E-02	0.947E-03	0.172E-01	0.897E-03
225.734	43.0	0.000E+00	0.239E-03	0.225E-01	0.741E-02	0.181E-02	0.203E-01	0.761E-03
227.081	44.0	0.000E+00	0.575E-03	0.269E-01	0.577E-02	0.315E-02	0.228E-01	0.623E-03
228.428	45.0	0.000E+00	0.122E-02	0.304E-01	0.433E-02	0.506E-02	0.245E-01	0.493E-03
229.775	46.0	0.000E+00	0.229E-02	0.326E-01	0.315E-02	0.753E-02	0.251E-01	0.378E-03
231.122	47.0	0.000E+00	0.389E-02	0.330E-01	0.223E-02	0.105E-01	0.246E-01	0.282E-03
232.469	48.0	0.000E+00	0.604E-02	0.318E-01	0.157E-02	0.137E-01	0.231E-01	0.204E-03
233.816	49.0	0.192E-07	0.868E-02	0.292E-01	0.115E-02	0.171E-01	0.209E-01	0.145E-03
235.163	50.0	0.104E-06	0.116E-01	0.256E-01	0.971E-03	0.203E-01	0.183E-01	0.100E-03
236.510	51.0	0.438E-06	0.147E-01	0.217E-01	0.106E-02	0.232E-01	0.155E-01	0.679E-04
237.857	52.0	0.154E-05	0.177E-01	0.177E-01	0.146E-02	0.256E-01	0.127E-01	0.452E-04
239.203	53.0	0.468E-05	0.201E-01	0.140E-01	0.223E-02	0.272E-01	0.101E-01	0.296E-04
240.550	54.0	0.125E-04	0.220E-01	0.108E-01	0.340E-02	0.280E-01	0.792E-02	0.191E-04
241.897	55.0	0.298E-04	0.229E-01	0.811E-02	0.499E-02	0.280E-01	0.605E-02	0.122E-04
243.244	56.0	0.637E-04	0.229E-01	0.597E-02	0.697E-02	0.271E-01	0.454E-02	0.766E-05
