E_lab	E*/MeV	190Bi	191Bi	192Bi	193Bi	194Bi	195Bi	196Bi
196.101	21.0	0.000E+00	0.000E+00	0.000E+00	0.199E-09	0.194E-08	0.000E+00	0.282E-09
197.448	22.0	0.000E+00	0.000E+00	0.000E+00	0.198E-08	0.103E-07	0.367E-13	0.190E-08
198.795	23.0	0.000E+00	0.000E+00	0.000E+00	0.173E-07	0.502E-07	0.222E-11	0.116E-07
200.142	24.0	0.000E+00	0.000E+00	0.000E+00	0.134E-06	0.225E-06	0.673E-10	0.649E-07
201.489	25.0	0.000E+00	0.000E+00	0.000E+00	0.923E-06	0.923E-06	0.135E-08	0.337E-06
202.836	26.0	0.000E+00	0.000E+00	0.000E+00	0.550E-05	0.337E-05	0.194E-07	0.159E-05
204.183	27.0	0.000E+00	0.000E+00	0.274E-09	0.265E-04	0.104E-04	0.190E-06	0.632E-05
205.530	28.0	0.000E+00	0.000E+00	0.904E-08	0.960E-04	0.250E-04	0.122E-05	0.193E-04
206.877	29.0	0.000E+00	0.000E+00	0.109E-06	0.271E-03	0.478E-04	0.564E-05	0.469E-04
208.224	30.0	0.000E+00	0.000E+00	0.785E-06	0.645E-03	0.762E-04	0.206E-04	0.977E-04
209.571	31.0	0.000E+00	0.000E+00	0.419E-05	0.134E-02	0.105E-03	0.623E-04	0.180E-03
210.918	32.0	0.000E+00	0.000E+00	0.180E-04	0.247E-02	0.130E-03	0.161E-03	0.297E-03
212.265	33.0	0.000E+00	0.000E+00	0.648E-04	0.413E-02	0.146E-03	0.369E-03	0.449E-03
213.612	34.0	0.000E+00	0.000E+00	0.199E-03	0.630E-02	0.151E-03	0.761E-03	0.628E-03
214.959	35.0	0.000E+00	0.000E+00	0.525E-03	0.879E-02	0.146E-03	0.143E-02	0.817E-03
216.305	36.0	0.000E+00	0.116E-08	0.120E-02	0.113E-01	0.134E-03	0.249E-02	0.992E-03
217.652	37.0	0.000E+00	0.269E-07	0.242E-02	0.133E-01	0.121E-03	0.403E-02	0.113E-02
218.999	38.0	0.000E+00	0.282E-06	0.439E-02	0.145E-01	0.117E-03	0.615E-02	0.121E-02
220.346	39.0	0.000E+00	0.185E-05	0.724E-02	0.148E-01	0.151E-03	0.887E-02	0.124E-02
221.693	40.0	0.000E+00	0.882E-05	0.110E-01	0.142E-01	0.272E-03	0.122E-01	0.120E-02
223.040	41.0	0.000E+00	0.337E-04	0.158E-01	0.129E-01	0.571E-03	0.159E-01	0.112E-02
224.387	42.0	0.000E+00	0.108E-03	0.212E-01	0.111E-01	0.118E-02	0.197E-01	0.992E-03
225.734	43.0	0.000E+00	0.299E-03	0.268E-01	0.911E-02	0.224E-02	0.234E-01	0.849E-03
227.081	44.0	0.000E+00	0.719E-03	0.322E-01	0.718E-02	0.391E-02	0.265E-01	0.700E-03
228.428	45.0	0.000E+00	0.152E-02	0.365E-01	0.545E-02	0.627E-02	0.285E-01	0.557E-03
229.775	46.0	0.000E+00	0.287E-02	0.392E-01	0.400E-02	0.931E-02	0.294E-01	0.430E-03
231.122	47.0	0.000E+00	0.488E-02	0.399E-01	0.285E-02	0.129E-01	0.290E-01	0.322E-03
232.469	48.0	0.000E+00	0.757E-02	0.386E-01	0.202E-02	0.169E-01	0.274E-01	0.234E-03
233.816	49.0	0.264E-07	0.109E-01	0.356E-01	0.148E-02	0.210E-01	0.249E-01	0.167E-03
235.163	50.0	0.142E-06	0.146E-01	0.314E-01	0.125E-02	0.250E-01	0.218E-01	0.116E-03
236.510	51.0	0.597E-06	0.184E-01	0.266E-01	0.135E-02	0.285E-01	0.185E-01	0.786E-04
237.857	52.0	0.209E-05	0.221E-01	0.218E-01	0.185E-02	0.313E-01	0.153E-01	0.524E-04
239.203	53.0	0.633E-05	0.252E-01	0.173E-01	0.280E-02	0.333E-01	0.122E-01	0.344E-04
240.550	54.0	0.168E-04	0.275E-01	0.134E-01	0.425E-02	0.342E-01	0.959E-02	0.223E-04
241.897	55.0	0.400E-04	0.288E-01	0.101E-01	0.622E-02	0.342E-01	0.735E-02	0.142E-04
243.244	56.0	0.852E-04	0.289E-01	0.746E-02	0.867E-02	0.331E-01	0.553E-02	0.896E-05
244.591	57.0	0.165E-03	0.280E-01	0.541E-02	0.115E-01	0.313E-01	0.409E-02	0.559E-05
