E_lab	E*/MeV	192At	193At	194At	195At	196At	197At	198At
196.101	21.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.207E-09	0.175E-07	0.402E-10
197.448	22.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.448E-08	0.488E-07	0.795E-10
198.795	23.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.499E-07	0.130E-06	0.149E-09
200.142	24.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.421E-06	0.330E-06	0.258E-09
201.489	25.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.300E-05	0.794E-06	0.355E-09
202.836	26.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.179E-04	0.175E-05	0.000E+00
204.183	27.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.797E-04	0.323E-05	0.000E+00
205.530	28.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.243E-03	0.469E-05	0.000E+00
206.877	29.0	0.000E+00	0.000E+00	0.000E+00	0.643E-08	0.526E-03	0.554E-05	0.000E+00
208.224	30.0	0.000E+00	0.000E+00	0.000E+00	0.203E-06	0.894E-03	0.567E-05	0.000E+00
209.571	31.0	0.000E+00	0.000E+00	0.000E+00	0.245E-05	0.126E-02	0.521E-05	0.000E+00
210.918	32.0	0.000E+00	0.000E+00	0.000E+00	0.155E-04	0.156E-02	0.441E-05	0.000E+00
212.265	33.0	0.000E+00	0.000E+00	0.000E+00	0.634E-04	0.173E-02	0.350E-05	0.000E+00
213.612	34.0	0.000E+00	0.000E+00	0.000E+00	0.198E-03	0.178E-02	0.262E-05	0.000E+00
214.959	35.0	0.000E+00	0.000E+00	0.000E+00	0.498E-03	0.170E-02	0.184E-05	0.000E+00
216.305	36.0	0.000E+00	0.000E+00	0.000E+00	0.102E-02	0.152E-02	0.118E-05	0.000E+00
217.652	37.0	0.000E+00	0.000E+00	0.000E+00	0.172E-02	0.129E-02	0.586E-06	0.000E+00
218.999	38.0	0.000E+00	0.000E+00	0.000E+00	0.242E-02	0.103E-02	0.000E+00	0.000E+00
220.346	39.0	0.000E+00	0.000E+00	0.000E+00	0.294E-02	0.796E-03	0.000E+00	0.000E+00
221.693	40.0	0.000E+00	0.000E+00	0.132E-08	0.319E-02	0.588E-03	0.000E+00	0.000E+00
223.040	41.0	0.000E+00	0.000E+00	0.360E-07	0.316E-02	0.420E-03	0.000E+00	0.000E+00
224.387	42.0	0.000E+00	0.000E+00	0.410E-06	0.289E-02	0.290E-03	0.000E+00	0.000E+00
225.734	43.0	0.000E+00	0.000E+00	0.257E-05	0.248E-02	0.195E-03	0.000E+00	0.000E+00
227.081	44.0	0.000E+00	0.000E+00	0.104E-04	0.202E-02	0.127E-03	0.000E+00	0.000E+00
228.428	45.0	0.000E+00	0.000E+00	0.302E-04	0.156E-02	0.813E-04	0.000E+00	0.000E+00
229.775	46.0	0.000E+00	0.000E+00	0.704E-04	0.117E-02	0.508E-04	0.000E+00	0.000E+00
231.122	47.0	0.000E+00	0.000E+00	0.138E-03	0.840E-03	0.311E-04	0.000E+00	0.000E+00
232.469	48.0	0.000E+00	0.000E+00	0.234E-03	0.587E-03	0.188E-04	0.000E+00	0.000E+00
233.816	49.0	0.000E+00	0.000E+00	0.343E-03	0.400E-03	0.111E-04	0.000E+00	0.000E+00
235.163	50.0	0.000E+00	0.251E-09	0.445E-03	0.267E-03	0.646E-05	0.000E+00	0.000E+00
236.510	51.0	0.000E+00	0.322E-08	0.519E-03	0.175E-03	0.372E-05	0.000E+00	0.000E+00
237.857	52.0	0.000E+00	0.243E-07	0.553E-03	0.113E-03	0.203E-05	0.000E+00	0.000E+00
239.203	53.0	0.000E+00	0.123E-06	0.546E-03	0.717E-04	0.107E-05	0.000E+00	0.000E+00
240.550	54.0	0.000E+00	0.452E-06	0.508E-03	0.451E-04	0.447E-06	0.000E+00	0.000E+00
241.897	55.0	0.000E+00	0.130E-05	0.449E-03	0.282E-04	0.000E+00	0.000E+00	0.000E+00
243.244	56.0	0.000E+00	0.303E-05	0.380E-03	0.175E-04	0.000E+00	0.000E+00	0.000E+00
244.591	57.0	0.000E+00	0.595E-05	0.310E-03	0.108E-04	0.000E+00	0.000E+00	0.000E+00
245.938	58.0	0.000E+00	0.100E-04	0.246E-03	0.660E-05	0.000E+00	0.000E+00	0.000E+00
247.285	59.0	0.000E+00	0.148E-04	0.190E-03	0.403E-05	0.000E+00	0.000E+00	0.000E+00
248.632	60.0	0.000E+00	0.196E-04	0.144E-03	0.244E-05	0.000E+00	0.000E+00	0.000E+00
249.979	61.0	0.000E+00	0.237E-04	0.107E-03	0.148E-05	0.000E+00	0.000E+00	0.000E+00
251.326	62.0	0.158E-10	0.265E-04	0.783E-04	0.868E-06	0.000E+00	0.000E+00	0.000E+00
252.673	63.0	0.128E-09	0.278E-04	0.565E-04	0.501E-06	0.000E+00	0.000E+00	0.000E+00
254.020	64.0	0.743E-09	0.276E-04	0.403E-04	0.277E-06	0.000E+00	0.000E+00	0.000E+00
255.367	65.0	0.325E-08	0.261E-04	0.285E-04	0.127E-06	0.000E+00	0.000E+00	0.000E+00
256.714	66.0	0.112E-07	0.238E-04	0.199E-04	0.431E-07	0.000E+00	0.000E+00	0.000E+00
258.061	67.0	0.320E-07	0.210E-04	0.138E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00
259.408	68.0	0.781E-07	0.180E-04	0.952E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00
260.754	69.0	0.166E-06	0.150E-04	0.652E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00
262.101	70.0	0.314E-06	0.122E-04	0.444E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00
263.448	71.0	0.533E-06	0.980E-05	0.301E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00
264.795	72.0	0.821E-06	0.772E-05	0.203E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00
266.142	73.0	0.116E-05	0.599E-05	0.136E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00
267.489	74.0	0.152E-05	0.458E-05	0.912E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00
268.836	75.0	0.187E-05	0.347E-05	0.608E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00
270.183	76.0	0.217E-05	0.260E-05	0.403E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00
271.530	77.0	0.239E-05	0.192E-05	0.265E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00
272.877	78.0	0.252E-05	0.142E-05	0.173E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00
274.224	79.0	0.256E-05	0.103E-05	0.113E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00
275.571	80.0	0.251E-05	0.750E-06	0.707E-07	0.000E+00	0.000E+00	0.000E+00	0.000E+00


E_lab	E*/MeV	191Po	192Po	193Po	194Po	195Po	196Po	197Po
196.101	21.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.852E-08	0.271E-07
197.448	22.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.643E-07	0.108E-06
198.795	23.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.436E-06	0.393E-06
200.142	24.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.270E-05	0.133E-05
201.489	25.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.344E-09	0.151E-04	0.416E-05
202.836	26.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.140E-07	0.724E-04	0.116E-04
204.183	27.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.201E-06	0.268E-03	0.268E-04
205.530	28.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.144E-05	0.727E-03	0.477E-04
206.877	29.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.703E-05	0.154E-02	0.684E-04
208.224	30.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.277E-04	0.272E-02	0.840E-04
209.571	31.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.923E-04	0.412E-02	0.915E-04
210.918	32.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.265E-03	0.555E-02	0.905E-04
212.265	33.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.670E-03	0.675E-02	0.831E-04
213.612	34.0	0.000E+00	0.000E+00	0.000E+00	0.463E-08	0.151E-02	0.756E-02	0.718E-04
214.959	35.0	0.000E+00	0.000E+00	0.000E+00	0.449E-07	0.307E-02	0.784E-02	0.587E-04
216.305	36.0	0.000E+00	0.000E+00	0.000E+00	0.300E-06	0.567E-02	0.760E-02	0.458E-04
217.652	37.0	0.000E+00	0.000E+00	0.000E+00	0.168E-05	0.956E-02	0.692E-02	0.341E-04
218.999	38.0	0.000E+00	0.000E+00	0.000E+00	0.814E-05	0.148E-01	0.598E-02	0.244E-04
220.346	39.0	0.000E+00	0.000E+00	0.000E+00	0.328E-04	0.210E-01	0.492E-02	0.168E-04
221.693	40.0	0.000E+00	0.000E+00	0.000E+00	0.110E-03	0.274E-01	0.387E-02	0.112E-04
223.040	41.0	0.000E+00	0.000E+00	0.000E+00	0.309E-03	0.331E-01	0.293E-02	0.719E-05
224.387	42.0	0.000E+00	0.000E+00	0.000E+00	0.746E-03	0.370E-01	0.214E-02	0.447E-05
225.734	43.0	0.000E+00	0.000E+00	0.000E+00	0.158E-02	0.385E-01	0.151E-02	0.267E-05
227.081	44.0	0.000E+00	0.000E+00	0.000E+00	0.298E-02	0.377E-01	0.104E-02	0.152E-05
228.428	45.0	0.000E+00	0.000E+00	0.000E+00	0.504E-02	0.349E-01	0.694E-03	0.791E-06
229.775	46.0	0.000E+00	0.000E+00	0.261E-07	0.775E-02	0.306E-01	0.452E-03	0.276E-06
231.122	47.0	0.000E+00	0.000E+00	0.132E-06	0.109E-01	0.257E-01	0.288E-03	0.000E+00
232.469	48.0	0.000E+00	0.000E+00	0.468E-06	0.140E-01	0.207E-01	0.180E-03	0.000E+00
233.816	49.0	0.000E+00	0.000E+00	0.137E-05	0.167E-01	0.161E-01	0.111E-03	0.000E+00
