E_lab	E*/MeV	191Po	192Po	193Po	194Po	195Po	196Po	197Po
196.101	21.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.501E-08	0.159E-07
197.448	22.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.380E-07	0.634E-07
198.795	23.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.259E-06	0.233E-06
200.142	24.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.161E-05	0.792E-06
201.489	25.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.210E-09	0.912E-05	0.250E-05
202.836	26.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.895E-08	0.456E-04	0.722E-05
204.183	27.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.141E-06	0.183E-03	0.178E-04
205.530	28.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.110E-05	0.542E-03	0.345E-04
206.877	29.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.565E-05	0.122E-02	0.529E-04
208.224	30.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.232E-04	0.224E-02	0.681E-04
209.571	31.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.798E-04	0.352E-02	0.769E-04
210.918	32.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.235E-03	0.486E-02	0.784E-04
212.265	33.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.605E-03	0.605E-02	0.737E-04
213.612	34.0	0.000E+00	0.000E+00	0.000E+00	0.428E-08	0.139E-02	0.689E-02	0.648E-04
214.959	35.0	0.000E+00	0.000E+00	0.000E+00	0.422E-07	0.286E-02	0.726E-02	0.539E-04
216.305	36.0	0.000E+00	0.000E+00	0.000E+00	0.285E-06	0.536E-02	0.714E-02	0.427E-04
217.652	37.0	0.000E+00	0.000E+00	0.000E+00	0.162E-05	0.916E-02	0.659E-02	0.322E-04
218.999	38.0	0.000E+00	0.000E+00	0.000E+00	0.791E-05	0.143E-01	0.576E-02	0.233E-04
220.346	39.0	0.000E+00	0.000E+00	0.000E+00	0.322E-04	0.205E-01	0.478E-02	0.162E-04
221.693	40.0	0.000E+00	0.000E+00	0.000E+00	0.108E-03	0.270E-01	0.380E-02	0.109E-04
223.040	41.0	0.000E+00	0.000E+00	0.000E+00	0.306E-03	0.328E-01	0.290E-02	0.707E-05
224.387	42.0	0.000E+00	0.000E+00	0.000E+00	0.745E-03	0.368E-01	0.213E-02	0.443E-05
225.734	43.0	0.000E+00	0.000E+00	0.000E+00	0.158E-02	0.385E-01	0.151E-02	0.266E-05
227.081	44.0	0.000E+00	0.000E+00	0.000E+00	0.299E-02	0.378E-01	0.104E-02	0.151E-05
228.428	45.0	0.000E+00	0.000E+00	0.000E+00	0.508E-02	0.350E-01	0.697E-03	0.794E-06
229.775	46.0	0.000E+00	0.000E+00	0.263E-07	0.781E-02	0.308E-01	0.455E-03	0.277E-06
231.122	47.0	0.000E+00	0.000E+00	0.133E-06	0.110E-01	0.259E-01	0.291E-03	0.000E+00
232.469	48.0	0.000E+00	0.000E+00	0.472E-06	0.141E-01	0.208E-01	0.182E-03	0.000E+00
233.816	49.0	0.000E+00	0.000E+00	0.138E-05	0.168E-01	0.162E-01	0.112E-03	0.000E+00
235.163	50.0	0.000E+00	0.000E+00	0.369E-05	0.186E-01	0.122E-01	0.674E-04	0.000E+00
236.510	51.0	0.000E+00	0.000E+00	0.926E-05	0.193E-01	0.895E-02	0.400E-04	0.000E+00
237.857	52.0	0.000E+00	0.000E+00	0.216E-04	0.189E-01	0.641E-02	0.235E-04	0.000E+00
239.203	53.0	0.000E+00	0.000E+00	0.465E-04	0.176E-01	0.450E-02	0.135E-04	0.000E+00
240.550	54.0	0.000E+00	0.000E+00	0.921E-04	0.157E-01	0.311E-02	0.770E-05	0.000E+00
241.897	55.0	0.000E+00	0.000E+00	0.168E-03	0.135E-01	0.211E-02	0.429E-05	0.000E+00
243.244	56.0	0.000E+00	0.000E+00	0.284E-03	0.113E-01	0.142E-02	0.232E-05	0.000E+00
244.591	57.0	0.000E+00	0.115E-08	0.447E-03	0.910E-02	0.944E-03	0.117E-05	0.000E+00
245.938	58.0	0.000E+00	0.616E-08	0.657E-03	0.718E-02	0.622E-03	0.548E-06	0.000E+00
247.285	59.0	0.000E+00	0.272E-07	0.906E-03	0.555E-02	0.406E-03	0.000E+00	0.000E+00
248.632	60.0	0.000E+00	0.102E-06	0.118E-02	0.420E-02	0.264E-03	0.000E+00	0.000E+00
249.979	61.0	0.000E+00	0.328E-06	0.144E-02	0.314E-02	0.170E-03	0.000E+00	0.000E+00
251.326	62.0	0.000E+00	0.926E-06	0.167E-02	0.231E-02	0.109E-03	0.000E+00	0.000E+00
252.673	63.0	0.000E+00	0.231E-05	0.185E-02	0.167E-02	0.697E-04	0.000E+00	0.000E+00
254.020	64.0	0.000E+00	0.517E-05	0.196E-02	0.120E-02	0.443E-04	0.000E+00	0.000E+00
255.367	65.0	0.000E+00	0.104E-04	0.198E-02	0.854E-03	0.280E-04	0.000E+00	0.000E+00
256.714	66.0	0.000E+00	0.192E-04	0.194E-02	0.601E-03	0.176E-04	0.000E+00	0.000E+00
258.061	67.0	0.000E+00	0.324E-04	0.184E-02	0.420E-03	0.110E-04	0.000E+00	0.000E+00
259.408	68.0	0.000E+00	0.505E-04	0.169E-02	0.291E-03	0.684E-05	0.000E+00	0.000E+00
260.754	69.0	0.234E-09	0.731E-04	0.151E-02	0.201E-03	0.423E-05	0.000E+00	0.000E+00
262.101	70.0	0.765E-09	0.989E-04	0.132E-02	0.137E-03	0.259E-05	0.000E+00	0.000E+00
263.448	71.0	0.223E-08	0.126E-03	0.112E-02	0.936E-04	0.156E-05	0.000E+00	0.000E+00
264.795	72.0	0.607E-08	0.152E-03	0.942E-03	0.633E-04	0.924E-06	0.000E+00	0.000E+00
