E_lab	E*/MeV	192At	193At	194At	195At	196At	197At	198At
196.101	21.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.147E-09	0.126E-07	0.303E-10
197.448	22.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.318E-08	0.357E-07	0.611E-10
198.795	23.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.352E-07	0.964E-07	0.116E-09
200.142	24.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.298E-06	0.249E-06	0.208E-09
201.489	25.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.214E-05	0.611E-06	0.320E-09
202.836	26.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.133E-04	0.140E-05	0.527E-10
204.183	27.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.655E-04	0.279E-05	0.000E+00
205.530	28.0	0.000E+00	0.000E+00	0.000E+00	0.248E-10	0.225E-03	0.444E-05	0.000E+00
206.877	29.0	0.000E+00	0.000E+00	0.000E+00	0.675E-08	0.525E-03	0.563E-05	0.000E+00
208.224	30.0	0.000E+00	0.000E+00	0.000E+00	0.220E-06	0.939E-03	0.608E-05	0.000E+00
209.571	31.0	0.000E+00	0.000E+00	0.000E+00	0.271E-05	0.138E-02	0.582E-05	0.000E+00
210.918	32.0	0.000E+00	0.000E+00	0.000E+00	0.175E-04	0.175E-02	0.509E-05	0.000E+00
212.265	33.0	0.000E+00	0.000E+00	0.000E+00	0.723E-04	0.200E-02	0.416E-05	0.000E+00
213.612	34.0	0.000E+00	0.000E+00	0.000E+00	0.228E-03	0.209E-02	0.319E-05	0.000E+00
214.959	35.0	0.000E+00	0.000E+00	0.000E+00	0.581E-03	0.203E-02	0.232E-05	0.000E+00
216.305	36.0	0.000E+00	0.000E+00	0.000E+00	0.121E-02	0.185E-02	0.155E-05	0.000E+00
217.652	37.0	0.000E+00	0.000E+00	0.000E+00	0.207E-02	0.159E-02	0.889E-06	0.000E+00
218.999	38.0	0.000E+00	0.000E+00	0.000E+00	0.297E-02	0.130E-02	0.102E-06	0.000E+00
220.346	39.0	0.000E+00	0.000E+00	0.000E+00	0.369E-02	0.101E-02	0.000E+00	0.000E+00
221.693	40.0	0.000E+00	0.000E+00	0.173E-08	0.408E-02	0.754E-03	0.000E+00	0.000E+00
223.040	41.0	0.000E+00	0.000E+00	0.472E-07	0.409E-02	0.542E-03	0.000E+00	0.000E+00
224.387	42.0	0.000E+00	0.000E+00	0.537E-06	0.379E-02	0.378E-03	0.000E+00	0.000E+00
225.734	43.0	0.000E+00	0.000E+00	0.337E-05	0.329E-02	0.255E-03	0.000E+00	0.000E+00
227.081	44.0	0.000E+00	0.000E+00	0.135E-04	0.270E-02	0.167E-03	0.000E+00	0.000E+00
228.428	45.0	0.000E+00	0.000E+00	0.393E-04	0.211E-02	0.107E-03	0.000E+00	0.000E+00
229.775	46.0	0.000E+00	0.000E+00	0.912E-04	0.159E-02	0.673E-04	0.000E+00	0.000E+00
231.122	47.0	0.000E+00	0.000E+00	0.179E-03	0.115E-02	0.414E-04	0.000E+00	0.000E+00
232.469	48.0	0.000E+00	0.000E+00	0.301E-03	0.807E-03	0.250E-04	0.000E+00	0.000E+00
233.816	49.0	0.000E+00	0.000E+00	0.444E-03	0.552E-03	0.148E-04	0.000E+00	0.000E+00
235.163	50.0	0.000E+00	0.348E-09	0.577E-03	0.369E-03	0.866E-05	0.000E+00	0.000E+00
236.510	51.0	0.000E+00	0.444E-08	0.675E-03	0.242E-03	0.496E-05	0.000E+00	0.000E+00
237.857	52.0	0.000E+00	0.333E-07	0.722E-03	0.156E-03	0.273E-05	0.000E+00	0.000E+00
239.203	53.0	0.000E+00	0.167E-06	0.717E-03	0.996E-04	0.147E-05	0.000E+00	0.000E+00
240.550	54.0	0.000E+00	0.613E-06	0.669E-03	0.628E-04	0.679E-06	0.000E+00	0.000E+00
241.897	55.0	0.000E+00	0.175E-05	0.593E-03	0.393E-04	0.477E-07	0.000E+00	0.000E+00
