E_lab	E*/MeV	254Rf	255Rf	256Rf	257Rf	258Rf	259Rf	260Rf
262.601	23.0	0.000E+00	0.000E+00	0.927E-20	0.336E-14	0.727E-15	0.000E+00	0.214E-18
263.860	24.0	0.000E+00	0.000E+00	0.412E-18	0.164E-13	0.986E-15	0.000E+00	0.155E-17
265.120	25.0	0.000E+00	0.000E+00	0.429E-15	0.723E-11	0.287E-12	0.945E-22	0.869E-15
266.380	26.0	0.000E+00	0.000E+00	0.733E-14	0.339E-10	0.651E-12	0.698E-20	0.529E-14
267.639	27.0	0.000E+00	0.000E+00	0.844E-13	0.124E-09	0.989E-12	0.143E-17	0.259E-13
268.899	28.0	0.000E+00	0.000E+00	0.753E-12	0.395E-09	0.135E-11	0.254E-16	0.111E-12
270.159	29.0	0.000E+00	0.000E+00	0.554E-11	0.110E-08	0.170E-11	0.352E-15	0.422E-12
271.418	30.0	0.000E+00	0.000E+00	0.348E-10	0.268E-08	0.139E-11	0.393E-14	0.141E-11
272.678	31.0	0.000E+00	0.000E+00	0.181E-09	0.553E-08	0.000E+00	0.346E-13	0.395E-11
273.937	32.0	0.000E+00	0.000E+00	0.715E-09	0.898E-08	0.000E+00	0.220E-12	0.856E-11
275.197	33.0	0.000E+00	0.735E-14	0.191E-08	0.107E-07	0.000E+00	0.926E-12	0.131E-10
276.457	34.0	0.000E+00	0.615E-13	0.349E-08	0.941E-08	0.000E+00	0.263E-11	0.145E-10
277.716	35.0	0.000E+00	0.321E-12	0.476E-08	0.673E-08	0.000E+00	0.563E-11	0.125E-10
278.976	36.0	0.000E+00	0.124E-11	0.534E-08	0.422E-08	0.000E+00	0.100E-10	0.939E-11
280.235	37.0	0.000E+00	0.386E-11	0.521E-08	0.246E-08	0.000E+00	0.157E-10	0.643E-11
281.495	38.0	0.000E+00	0.103E-10	0.459E-08	0.137E-08	0.000E+00	0.219E-10	0.416E-11
282.755	39.0	0.000E+00	0.242E-10	0.372E-08	0.748E-09	0.000E+00	0.280E-10	0.258E-11
284.014	40.0	0.000E+00	0.510E-10	0.283E-08	0.402E-09	0.000E+00	0.327E-10	0.157E-11
285.274	41.0	0.388E-15	0.977E-10	0.204E-08	0.214E-09	0.000E+00	0.354E-10	0.928E-12
286.534	42.0	0.242E-14	0.171E-09	0.141E-08	0.113E-09	0.000E+00	0.356E-10	0.540E-12
287.793	43.0	0.123E-13	0.272E-09	0.942E-09	0.583E-10	0.000E+00	0.335E-10	0.308E-12
289.053	44.0	0.460E-13	0.394E-09	0.612E-09	0.279E-10	0.000E+00	0.298E-10	0.170E-12
290.312	45.0	0.145E-12	0.522E-09	0.389E-09	0.604E-11	0.000E+00	0.251E-10	0.846E-13
291.572	46.0	0.396E-12	0.633E-09	0.242E-09	0.000E+00	0.000E+00	0.202E-10	0.184E-13
292.832	47.0	0.963E-12	0.706E-09	0.149E-09	0.000E+00	0.000E+00	0.156E-10	0.000E+00
294.091	48.0	0.211E-11	0.731E-09	0.907E-10	0.000E+00	0.000E+00	0.117E-10	0.000E+00
295.351	49.0	0.420E-11	0.707E-09	0.545E-10	0.000E+00	0.000E+00	0.847E-11	0.000E+00
296.610	50.0	0.762E-11	0.646E-09	0.325E-10	0.000E+00	0.000E+00	0.598E-11	0.000E+00
297.870	51.0	0.126E-10	0.561E-09	0.191E-10	0.000E+00	0.000E+00	0.414E-11	0.000E+00
299.130	52.0	0.191E-10	0.466E-09	0.108E-10	0.000E+00	0.000E+00	0.280E-11	0.000E+00
300.389	53.0	0.264E-10	0.373E-09	0.589E-11	0.000E+00	0.000E+00	0.187E-11	0.000E+00
301.649	54.0	0.338E-10	0.290E-09	0.211E-11	0.000E+00	0.000E+00	0.123E-11	0.000E+00
302.909	55.0	0.402E-10	0.219E-09	0.000E+00	0.000E+00	0.000E+00	0.797E-12	0.000E+00
304.168	56.0	0.446E-10	0.161E-09	0.000E+00	0.000E+00	0.000E+00	0.509E-12	0.000E+00
305.428	57.0	0.467E-10	0.117E-09	0.000E+00	0.000E+00	0.000E+00	0.323E-12	0.000E+00
