E_lab	E*/MeV	191At	192At	193At	194At	195At	196At	197At
237.824	30.0	0.000E+00	0.000E+00	0.000E+00	0.587E-14	0.444E-09	0.573E-12	0.000E+00
239.221	31.0	0.000E+00	0.000E+00	0.000E+00	0.387E-12	0.863E-09	0.867E-12	0.000E+00
240.618	32.0	0.000E+00	0.000E+00	0.000E+00	0.112E-09	0.175E-06	0.191E-08	0.000E+00
242.015	33.0	0.000E+00	0.000E+00	0.000E+00	0.363E-08	0.853E-06	0.930E-08	0.000E+00
243.413	34.0	0.000E+00	0.000E+00	0.000E+00	0.475E-07	0.181E-05	0.172E-07	0.000E+00
244.810	35.0	0.000E+00	0.000E+00	0.000E+00	0.414E-06	0.360E-05	0.283E-07	0.000E+00
246.207	36.0	0.000E+00	0.000E+00	0.000E+00	0.285E-05	0.695E-05	0.448E-07	0.000E+00
247.604	37.0	0.000E+00	0.000E+00	0.000E+00	0.164E-04	0.130E-04	0.686E-07	0.000E+00
249.001	38.0	0.000E+00	0.000E+00	0.000E+00	0.763E-04	0.229E-04	0.848E-07	0.000E+00
250.398	39.0	0.000E+00	0.000E+00	0.000E+00	0.259E-03	0.349E-04	0.504E-08	0.000E+00
251.796	40.0	0.000E+00	0.000E+00	0.101E-09	0.577E-03	0.412E-04	0.000E+00	0.000E+00
253.193	41.0	0.000E+00	0.000E+00	0.340E-08	0.856E-03	0.365E-04	0.000E+00	0.000E+00
254.590	42.0	0.000E+00	0.000E+00	0.401E-07	0.950E-03	0.262E-04	0.000E+00	0.000E+00
255.987	43.0	0.000E+00	0.000E+00	0.252E-06	0.882E-03	0.166E-04	0.000E+00	0.000E+00
257.384	44.0	0.000E+00	0.000E+00	0.104E-05	0.738E-03	0.982E-05	0.000E+00	0.000E+00
258.781	45.0	0.000E+00	0.000E+00	0.314E-05	0.577E-03	0.558E-05	0.000E+00	0.000E+00
260.179	46.0	0.000E+00	0.000E+00	0.756E-05	0.431E-03	0.311E-05	0.000E+00	0.000E+00
261.576	47.0	0.000E+00	0.000E+00	0.150E-04	0.311E-03	0.169E-05	0.000E+00	0.000E+00
262.973	48.0	0.000E+00	0.000E+00	0.248E-04	0.219E-03	0.884E-06	0.000E+00	0.000E+00
264.370	49.0	0.000E+00	0.000E+00	0.350E-04	0.151E-03	0.436E-06	0.000E+00	0.000E+00
265.767	50.0	0.000E+00	0.000E+00	0.433E-04	0.102E-03	0.145E-06	0.000E+00	0.000E+00
267.164	51.0	0.000E+00	0.000E+00	0.480E-04	0.678E-04	0.000E+00	0.000E+00	0.000E+00
268.562	52.0	0.000E+00	0.130E-10	0.487E-04	0.446E-04	0.000E+00	0.000E+00	0.000E+00
269.959	53.0	0.000E+00	0.174E-09	0.461E-04	0.291E-04	0.000E+00	0.000E+00	0.000E+00
271.356	54.0	0.000E+00	0.135E-08	0.412E-04	0.187E-04	0.000E+00	0.000E+00	0.000E+00
272.753	55.0	0.000E+00	0.705E-08	0.351E-04	0.120E-04	0.000E+00	0.000E+00	0.000E+00
274.150	56.0	0.000E+00	0.268E-07	0.288E-04	0.765E-05	0.000E+00	0.000E+00	0.000E+00
275.547	57.0	0.000E+00	0.802E-07	0.229E-04	0.484E-05	0.000E+00	0.000E+00	0.000E+00
276.945	58.0	0.000E+00	0.199E-06	0.177E-04	0.305E-05	0.000E+00	0.000E+00	0.000E+00
278.342	59.0	0.000E+00	0.422E-06	0.134E-04	0.191E-05	0.000E+00	0.000E+00	0.000E+00
279.739	60.0	0.000E+00	0.779E-06	0.991E-05	0.120E-05	0.000E+00	0.000E+00	0.000E+00
