E_lab	E*/MeV	172Pt	173Pt	174Pt	175Pt	176Pt	177Pt	178Pt
351.158	25.0	0.000E+00	0.000E+00	0.000E+00	0.504E-08	0.822E-08	0.115E-08	0.298E-06
353.115	26.0	0.000E+00	0.000E+00	0.000E+00	0.263E-07	0.207E-07	0.158E-07	0.954E-06
355.072	27.0	0.000E+00	0.000E+00	0.000E+00	0.908E-05	0.188E-04	0.148E-05	0.256E-03
357.028	28.0	0.000E+00	0.000E+00	0.000E+00	0.666E-04	0.123E-03	0.176E-04	0.146E-02
358.985	29.0	0.000E+00	0.000E+00	0.709E-08	0.326E-03	0.432E-03	0.160E-03	0.546E-02
360.941	30.0	0.000E+00	0.000E+00	0.204E-06	0.145E-02	0.127E-02	0.124E-02	0.190E-01
362.898	31.0	0.000E+00	0.000E+00	0.333E-05	0.612E-02	0.353E-02	0.840E-02	0.640E-01
364.854	32.0	0.000E+00	0.000E+00	0.376E-04	0.242E-01	0.930E-02	0.491E-01	0.206E+00
366.811	33.0	0.000E+00	0.000E+00	0.316E-03	0.861E-01	0.227E-01	0.237E+00	0.605E+00
368.767	34.0	0.000E+00	0.000E+00	0.184E-02	0.250E+00	0.486E-01	0.850E+00	0.147E+01
370.724	35.0	0.000E+00	0.000E+00	0.703E-02	0.542E+00	0.856E-01	0.209E+01	0.270E+01
372.680	36.0	0.000E+00	0.000E+00	0.186E-01	0.885E+00	0.122E+00	0.369E+01	0.378E+01
374.637	37.0	0.000E+00	0.000E+00	0.385E-01	0.118E+01	0.146E+00	0.529E+01	0.436E+01
376.593	38.0	0.000E+00	0.000E+00	0.688E-01	0.138E+01	0.152E+00	0.670E+01	0.443E+01
378.550	39.0	0.000E+00	0.000E+00	0.111E+00	0.148E+01	0.148E+00	0.790E+01	0.413E+01
380.506	40.0	0.000E+00	0.000E+00	0.167E+00	0.149E+01	0.152E+00	0.889E+01	0.364E+01
382.463	41.0	0.000E+00	0.000E+00	0.236E+00	0.144E+01	0.190E+00	0.966E+01	0.309E+01
384.419	42.0	0.000E+00	0.240E-05	0.316E+00	0.134E+01	0.289E+00	0.102E+02	0.255E+01
386.376	43.0	0.000E+00	0.123E-04	0.405E+00	0.121E+01	0.477E+00	0.106E+02	0.206E+01
388.332	44.0	0.000E+00	0.466E-04	0.497E+00	0.107E+01	0.779E+00	0.107E+02	0.163E+01
390.289	45.0	0.000E+00	0.145E-03	0.588E+00	0.910E+00	0.121E+01	0.106E+02	0.127E+01
