E_lab	E*/MeV	173Au	174Au	175Au	176Au	177Au	178Au	179Au
351.158	25.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.403E-06	0.346E-07
353.115	26.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.149E-05	0.673E-07
355.072	27.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.281E-08	0.429E-03	0.152E-03
357.028	28.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.140E-06	0.257E-02	0.927E-03
358.985	29.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.395E-05	0.102E-01	0.287E-02
360.941	30.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.732E-04	0.373E-01	0.733E-02
362.898	31.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.921E-03	0.131E+00	0.176E-01
364.854	32.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.837E-02	0.437E+00	0.406E-01
366.811	33.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.560E-01	0.131E+01	0.877E-01
368.767	34.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.256E+00	0.323E+01	0.167E+00
370.724	35.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.749E+00	0.593E+01	0.261E+00
372.680	36.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.151E+01	0.824E+01	0.324E+00
374.637	37.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.238E+01	0.935E+01	0.325E+00
376.593	38.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.327E+01	0.928E+01	0.272E+00
378.550	39.0	0.000E+00	0.000E+00	0.000E+00	0.337E-05	0.411E+01	0.842E+01	0.198E+00
380.506	40.0	0.000E+00	0.000E+00	0.000E+00	0.357E-04	0.489E+01	0.718E+01	0.131E+00
382.463	41.0	0.000E+00	0.000E+00	0.000E+00	0.252E-03	0.556E+01	0.586E+01	0.813E-01
384.419	42.0	0.000E+00	0.000E+00	0.000E+00	0.129E-02	0.611E+01	0.462E+01	0.490E-01
386.376	43.0	0.000E+00	0.000E+00	0.000E+00	0.494E-02	0.651E+01	0.354E+01	0.290E-01
388.332	44.0	0.000E+00	0.000E+00	0.000E+00	0.149E-01	0.675E+01	0.265E+01	0.170E-01
390.289	45.0	0.000E+00	0.000E+00	0.000E+00	0.371E-01	0.682E+01	0.194E+01	0.984E-02
392.245	46.0	0.000E+00	0.000E+00	0.000E+00	0.788E-01	0.672E+01	0.140E+01	0.565E-02
394.202	47.0	0.000E+00	0.000E+00	0.000E+00	0.147E+00	0.646E+01	0.987E+00	0.323E-02
396.158	48.0	0.000E+00	0.000E+00	0.000E+00	0.246E+00	0.606E+01	0.686E+00	0.183E-02
398.115	49.0	0.000E+00	0.000E+00	0.000E+00	0.375E+00	0.554E+01	0.470E+00	0.103E-02
400.072	50.0	0.000E+00	0.000E+00	0.227E-05	0.532E+00	0.496E+01	0.318E+00	0.576E-03
402.028	51.0	0.000E+00	0.000E+00	0.158E-04	0.709E+00	0.433E+01	0.212E+00	0.320E-03
403.985	52.0	0.000E+00	0.000E+00	0.824E-04	0.896E+00	0.369E+01	0.140E+00	0.176E-03
405.941	53.0	0.000E+00	0.000E+00	0.333E-03	0.108E+01	0.309E+01	0.919E-01	0.965E-04
407.898	54.0	0.000E+00	0.000E+00	0.107E-02	0.125E+01	0.253E+01	0.596E-01	0.521E-04
409.854	55.0	0.000E+00	0.000E+00	0.287E-02	0.140E+01	0.203E+01	0.383E-01	0.275E-04
411.811	56.0	0.000E+00	0.000E+00	0.658E-02	0.151E+01	0.160E+01	0.245E-01	0.143E-04
413.767	57.0	0.000E+00	0.000E+00	0.133E-01	0.158E+01	0.124E+01	0.155E-01	0.714E-05
415.724	58.0	0.000E+00	0.000E+00	0.242E-01	0.161E+01	0.945E+00	0.978E-02	0.316E-05
417.680	59.0	0.000E+00	0.000E+00	0.403E-01	0.159E+01	0.711E+00	0.613E-02	0.962E-06
419.637	60.0	0.000E+00	0.000E+00	0.622E-01	0.153E+01	0.527E+00	0.382E-02	0.000E+00
421.593	61.0	0.000E+00	0.000E+00	0.900E-01	0.144E+01	0.387E+00	0.237E-02	0.000E+00
423.550	62.0	0.000E+00	0.000E+00	0.123E+00	0.132E+01	0.280E+00	0.146E-02	0.000E+00
425.506	63.0	0.000E+00	0.431E-06	0.161E+00	0.118E+01	0.201E+00	0.894E-03	0.000E+00
427.463	64.0	0.000E+00	0.226E-05	0.200E+00	0.104E+01	0.143E+00	0.545E-03	0.000E+00
429.419	65.0	0.000E+00	0.943E-05	0.241E+00	0.898E+00	0.101E+00	0.331E-03	0.000E+00
431.376	66.0	0.000E+00	0.323E-04	0.280E+00	0.761E+00	0.703E-01	0.200E-03	0.000E+00
433.332	67.0	0.000E+00	0.933E-04	0.315E+00	0.633E+00	0.487E-01	0.120E-03	0.000E+00
435.289	68.0	0.000E+00	0.234E-03	0.344E+00	0.519E+00	0.336E-01	0.715E-04	0.000E+00
437.245	69.0	0.000E+00	0.519E-03	0.366E+00	0.419E+00	0.230E-01	0.424E-04	0.000E+00
439.202	70.0	0.000E+00	0.104E-02	0.380E+00	0.334E+00	0.156E-01	0.249E-04	0.000E+00
441.158	71.0	0.000E+00	0.191E-02	0.384E+00	0.263E+00	0.106E-01	0.144E-04	0.000E+00
443.115	72.0	0.000E+00	0.325E-02	0.380E+00	0.204E+00	0.711E-02	0.807E-05	0.000E+00
445.072	73.0	0.000E+00	0.516E-02	0.368E+00	0.157E+00	0.476E-02	0.423E-05	0.000E+00
447.028	74.0	0.000E+00	0.774E-02	0.350E+00	0.120E+00	0.317E-02	0.203E-05	0.000E+00
448.985	75.0	0.107E-06	0.110E-01	0.326E+00	0.903E-01	0.210E-02	0.435E-06	0.000E+00
450.941	76.0	0.416E-06	0.150E-01	0.298E+00	0.676E-01	0.139E-02	0.000E+00	0.000E+00
452.898	77.0	0.137E-05	0.195E-01	0.268E+00	0.502E-01	0.912E-03	0.000E+00	0.000E+00
454.854	78.0	0.390E-05	0.245E-01	0.237E+00	0.370E-01	0.597E-03	0.000E+00	0.000E+00
456.811	79.0	0.982E-05	0.297E-01	0.206E+00	0.271E-01	0.389E-03	0.000E+00	0.000E+00
458.767	80.0	0.222E-04	0.348E-01	0.177E+00	0.197E-01	0.252E-03	0.000E+00	0.000E+00
460.724	81.0	0.459E-04	0.396E-01	0.150E+00	0.142E-01	0.163E-03	0.000E+00	0.000E+00
462.680	82.0	0.874E-04	0.439E-01	0.126E+00	0.102E-01	0.105E-03	0.000E+00	0.000E+00
464.637	83.0	0.155E-03	0.474E-01	0.104E+00	0.731E-02	0.671E-04	0.000E+00	0.000E+00
466.593	84.0	0.259E-03	0.500E-01	0.855E-01	0.520E-02	0.427E-04	0.000E+00	0.000E+00
468.550	85.0	0.410E-03	0.515E-01	0.693E-01	0.368E-02	0.270E-04	0.000E+00	0.000E+00
470.506	86.0	0.617E-03	0.519E-01	0.557E-01	0.259E-02	0.170E-04	0.000E+00	0.000E+00
472.463	87.0	0.890E-03	0.512E-01	0.443E-01	0.182E-02	0.106E-04	0.000E+00	0.000E+00
474.419	88.0	0.123E-02	0.497E-01	0.350E-01	0.127E-02	0.653E-05	0.000E+00	0.000E+00
476.376	89.0	0.165E-02	0.473E-01	0.274E-01	0.881E-03	0.394E-05	0.000E+00	0.000E+00
478.332	90.0	0.213E-02	0.443E-01	0.213E-01	0.610E-03	0.210E-05	0.000E+00	0.000E+00
