E_lab	E*/MeV	175Hg	176Hg	177Hg	178Hg	179Hg	180Hg
353.090	26.0	0.000E+00	0.000E+00	0.000E+00	0.254E-06	0.763E-07	0.710E-13
357.003	28.0	0.000E+00	0.000E+00	0.000E+00	0.428E-03	0.818E-03	0.107E-05
360.916	30.0	0.000E+00	0.000E+00	0.000E+00	0.752E-02	0.556E-02	0.512E-05
364.829	32.0	0.000E+00	0.000E+00	0.362E-07	0.103E+00	0.273E-01	0.123E-04
368.742	34.0	0.000E+00	0.000E+00	0.319E-03	0.828E+00	0.958E-01	0.236E-04
372.655	36.0	0.000E+00	0.000E+00	0.156E-01	0.206E+01	0.139E+00	0.198E-04
376.568	38.0	0.000E+00	0.000E+00	0.798E-01	0.212E+01	0.806E-01	0.000E+00
380.481	40.0	0.000E+00	0.000E+00	0.189E+00	0.145E+01	0.294E-01	0.000E+00
384.394	42.0	0.000E+00	0.940E-07	0.317E+00	0.824E+00	0.928E-02	0.000E+00
388.307	44.0	0.000E+00	0.216E-04	0.436E+00	0.417E+00	0.280E-02	0.000E+00
392.220	46.0	0.000E+00	0.487E-03	0.513E+00	0.194E+00	0.830E-03	0.000E+00
396.133	48.0	0.000E+00	0.314E-02	0.513E+00	0.843E-01	0.243E-03	0.000E+00
400.046	50.0	0.000E+00	0.101E-01	0.437E+00	0.349E-01	0.702E-04	0.000E+00
403.959	52.0	0.000E+00	0.220E-01	0.324E+00	0.139E-01	0.196E-04	0.000E+00
407.872	54.0	0.000E+00	0.374E-01	0.213E+00	0.537E-02	0.410E-05	0.000E+00
411.785	56.0	0.149E-06	0.531E-01	0.128E+00	0.203E-02	0.000E+00	0.000E+00
415.698	58.0	0.582E-05	0.649E-01	0.708E-01	0.756E-03	0.000E+00	0.000E+00
419.611	60.0	0.619E-04	0.689E-01	0.370E-01	0.278E-03	0.000E+00	0.000E+00
423.524	62.0	0.292E-03	0.641E-01	0.184E-01	0.101E-03	0.000E+00	0.000E+00
427.437	64.0	0.842E-03	0.532E-01	0.881E-02	0.360E-04	0.000E+00	0.000E+00
431.350	66.0	0.178E-02	0.399E-01	0.409E-02	0.126E-04	0.000E+00	0.000E+00
435.263	68.0	0.300E-02	0.275E-01	0.186E-02	0.417E-05	0.000E+00	0.000E+00
439.177	70.0	0.426E-02	0.176E-01	0.825E-03	0.106E-05	0.000E+00	0.000E+00
443.090	72.0	0.520E-02	0.107E-01	0.361E-03	0.000E+00	0.000E+00	0.000E+00
447.003	74.0	0.554E-02	0.618E-02	0.156E-03	0.000E+00	0.000E+00	0.000E+00
450.916	76.0	0.526E-02	0.344E-02	0.661E-04	0.000E+00	0.000E+00	0.000E+00
454.829	78.0	0.453E-02	0.185E-02	0.276E-04	0.000E+00	0.000E+00	0.000E+00
458.742	80.0	0.358E-02	0.969E-03	0.114E-04	0.000E+00	0.000E+00	0.000E+00
462.655	82.0	0.264E-02	0.496E-03	0.458E-05	0.000E+00	0.000E+00	0.000E+00
466.568	84.0	0.184E-02	0.249E-03	0.177E-05	0.000E+00	0.000E+00	0.000E+00
470.481	86.0	0.122E-02	0.123E-03	0.655E-06	0.000E+00	0.000E+00	0.000E+00
474.394	88.0	0.772E-03	0.599E-04	0.141E-06	0.000E+00	0.000E+00	0.000E+00
478.307	90.0	0.473E-03	0.287E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00
482.220	92.0	0.282E-03	0.135E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00
486.133	94.0	0.163E-03	0.628E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00
490.046	96.0	0.928E-04	0.288E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00
493.959	98.0	0.516E-04	0.129E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00
497.872	100.0	0.282E-04	0.565E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00
