          Programm HIVAP,  Autor  W.Reisdorf   Version fuer "rzri6f" vom  7. 6. 1994

           Bearbeitung F.P.Heßberger
           
  60Ni + 141Pr ---> 201Fr    21. 3. 2011  09:50                         
           

 Unterprogramm SEPENF

 benutzt Sierks Programm BARFIT 
 Q-Wert  -154.455 MeV
 Massen aus der Datei "mlz.dat" 

         Exp. Schaleneffekte,  SHELL0=    0.00
          Fr  196   Fr  197   Fr  198   Fr  199   Fr  200   Fr  201
             -1.01     -0.15     -0.88     -0.12     -1.15     -0.79
          Rn  195   Rn  196   Rn  197   Rn  198   Rn  199   Rn  200
             -0.08      0.69     -0.26      0.17     -1.00     -0.64

           BARFAC=   0.640      BAR0=   0.000

          Separationsenergien (BN,BP,BA) und Spaltbarrieren
          Fr  196   Fr  197   Fr  198   Fr  199   Fr  200   Fr  201
              9.29     10.68      8.95     10.40      8.90     10.45
             -0.52     -0.37     -0.33     -0.42     -0.30     -0.06
             -7.96     -7.98     -8.10     -8.23     -8.15     -7.95
              3.99      3.26      4.11      3.47      4.63      4.40
             -1.57     -0.78     -1.56     -0.78     -1.56     -0.78
          Rn  195   Rn  196   Rn  197   Rn  198   Rn  199   Rn  200
              9.09     10.52      8.92     10.49      8.78     10.20
              1.09      1.08      1.18      1.42      1.67      1.91
             -8.26     -8.32     -8.25     -8.05     -7.83     -7.62
              3.65      3.02      4.11      3.81      5.11      4.88
             -0.79     -0.00     -0.78     -0.00     -0.78      0.00

 benutzter Q-Wert  -154.455 MeV    effektiver Q-Wert  -154.455 MeV

Extra-Push Parameter: E_push =    2.71 MeV   x_eq_m= 0.728   xth= 0.700   Apush=15.000   E_ch=  15.542   xcn= 0.765   x_eq_eff= 0.693


E_lab = 240.138 MeV    E* =  14.000 MeV   nicht gerechnet, SIGFUS kleiner als 1 nb




E_lab = 242.989 MeV    E* =  16.000 MeV   nicht gerechnet, SIGFUS kleiner als 1 nb




E_lab = 245.840 MeV    E* =  18.000 MeV   nicht gerechnet, SIGFUS kleiner als 1 nb



 HIVAP  CASOUT

  60Ni + 141Pr ---> 201Fr    21. 3. 2011  09:50                         


     E_lab  A*MeV   E*/MeV     SI_fus      SI_VR     SI_Spalt  L_krit     b_Spalt

   248.691    4.14    20.0  0.4934E-05  0.2457E-09  0.4933E-05     0.0       99.99
   251.542    4.19    22.0  0.1228E-03  0.1709E-08  0.1228E-03     0.0       99.98
   254.393    4.24    24.0  0.2805E-02  0.3350E-07  0.2805E-02     0.0       99.98
   257.244    4.29    26.0  0.5190E-01  0.6942E-06  0.5188E-01     0.0       99.97
   260.095    4.33    28.0  0.4736E+00  0.4403E-05  0.4734E+00     0.0       99.96
   262.947    4.38    30.0  0.2122E+01  0.9834E-05  0.2121E+01     3.0       99.95
   265.798    4.43    32.0  0.6312E+01  0.1198E-04  0.6308E+01    17.0       99.93
   268.649    4.48    34.0  0.1435E+02  0.1044E-04  0.1434E+02    23.0       99.92
   271.500    4.52    36.0  0.2668E+02  0.8147E-05  0.2666E+02    28.0       99.91
   274.351    4.57    38.0  0.4249E+02  0.6327E-05  0.4244E+02    32.0       99.89
   277.202    4.62    40.0  0.6023E+02  0.4482E-05  0.6016E+02    36.0       99.88
   280.053    4.67    42.0  0.7842E+02  0.2681E-05  0.7832E+02    39.0       99.86
   282.904    4.72    44.0  0.9613E+02  0.1386E-05  0.9599E+02    41.0       99.85
   285.755    4.76    46.0  0.1129E+03  0.6978E-06  0.1127E+03    44.0       99.84
   288.606    4.81    48.0  0.1286E+03  0.4209E-06  0.1284E+03    46.0       99.82
   291.457    4.86    50.0  0.1435E+03  0.3214E-06  0.1432E+03    48.0       99.81

     Querschnitte / mbarn

  E*/MeV   196Fr     197Fr     198Fr     199Fr     200Fr     201Fr  
    20.0 0.000E+00 0.000E+00 0.000E+00 0.361E-15 0.163E-09 0.000E+00
    22.0 0.000E+00 0.000E+00 0.000E+00 0.144E-10 0.780E-09 0.000E+00
    24.0 0.000E+00 0.000E+00 0.000E+00 0.410E-08 0.342E-08 0.000E+00
    26.0 0.000E+00 0.000E+00 0.000E+00 0.111E-06 0.120E-07 0.000E+00
    28.0 0.000E+00 0.000E+00 0.000E+00 0.470E-06 0.226E-07 0.000E+00
    30.0 0.000E+00 0.000E+00 0.000E+00 0.703E-06 0.200E-07 0.000E+00
    32.0 0.000E+00 0.000E+00 0.258E-09 0.609E-06 0.611E-08 0.000E+00
    34.0 0.000E+00 0.000E+00 0.185E-07 0.376E-06 0.000E+00 0.000E+00
    36.0 0.000E+00 0.000E+00 0.208E-06 0.181E-06 0.000E+00 0.000E+00
    38.0 0.000E+00 0.000E+00 0.695E-06 0.728E-07 0.000E+00 0.000E+00
    40.0 0.000E+00 0.000E+00 0.955E-06 0.252E-07 0.000E+00 0.000E+00
    42.0 0.000E+00 0.152E-10 0.779E-06 0.686E-08 0.000E+00 0.000E+00
    44.0 0.000E+00 0.463E-09 0.468E-06 0.000E+00 0.000E+00 0.000E+00
    46.0 0.000E+00 0.351E-08 0.233E-06 0.000E+00 0.000E+00 0.000E+00
    48.0 0.000E+00 0.981E-08 0.103E-06 0.000E+00 0.000E+00 0.000E+00
    50.0 0.000E+00 0.141E-07 0.426E-07 0.000E+00 0.000E+00 0.000E+00

  E*/MeV   195Rn     196Rn     197Rn     198Rn     199Rn     200Rn  
    20.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.470E-11 0.779E-10
    22.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.452E-09 0.462E-09
    24.0 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.236E-07 0.238E-08
    26.0 0.000E+00 0.000E+00 0.000E+00 0.713E-12 0.562E-06 0.972E-08
    28.0 0.000E+00 0.000E+00 0.000E+00 0.230E-09 0.389E-05 0.199E-07
    30.0 0.000E+00 0.000E+00 0.000E+00 0.120E-07 0.908E-05 0.189E-07
    32.0 0.000E+00 0.000E+00 0.000E+00 0.178E-06 0.112E-04 0.822E-08
    34.0 0.000E+00 0.000E+00 0.000E+00 0.960E-06 0.909E-05 0.000E+00
    36.0 0.000E+00 0.000E+00 0.000E+00 0.228E-05 0.547E-05 0.000E+00
    38.0 0.000E+00 0.000E+00 0.107E-10 0.293E-05 0.263E-05 0.000E+00
    40.0 0.000E+00 0.000E+00 0.327E-09 0.244E-05 0.106E-05 0.000E+00
    42.0 0.000E+00 0.000E+00 0.402E-08 0.151E-05 0.380E-06 0.000E+00
    44.0 0.000E+00 0.000E+00 0.243E-07 0.769E-06 0.124E-06 0.000E+00
    46.0 0.000E+00 0.000E+00 0.800E-07 0.344E-06 0.366E-07 0.000E+00
    48.0 0.000E+00 0.905E-13 0.158E-06 0.142E-06 0.760E-08 0.000E+00
    50.0 0.000E+00 0.284E-11 0.210E-06 0.552E-07 0.000E+00 0.000E+00

 HIVAP  CASOUT

  60Ni + 141Pr ---> 201Fr    21. 3. 2011  09:50                         


     E_lab  A*MeV   E*/MeV     SI_fus      SI_VR     SI_Spalt  L_krit     b_Spalt

   294.308    4.91    52.0  0.1575E+03  0.2560E-06  0.1571E+03    50.0       99.80
   297.159    4.95    54.0  0.1707E+03  0.1850E-06  0.1703E+03    52.0       99.78
   300.010    5.00    56.0  0.1832E+03  0.1196E-06  0.1828E+03    53.0       99.77
   302.861    5.05    58.0  0.1951E+03  0.7019E-07  0.1946E+03    55.0       99.75
   305.712    5.10    60.0  0.2064E+03  0.3954E-07  0.2059E+03    56.0       99.73
