E_lab	E*/MeV	145Er	146Er	147Er	148Er	149Er	150Er	151Er	152Er	153Er	154Er
314.471	27.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.306E-12	0.387E-07	0.348E-07	0.101E-08	0.267E-06
316.947	28.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.227E-10	0.275E-06	0.157E-06	0.229E-07	0.162E-05
319.424	29.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.756E-09	0.181E-05	0.667E-06	0.396E-06	0.938E-05
321.900	30.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.160E-07	0.112E-04	0.265E-05	0.538E-05	0.516E-04
324.376	31.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.250E-06	0.640E-04	0.999E-05	0.581E-04	0.267E-03
326.852	32.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.294E-05	0.326E-03	0.345E-04	0.484E-03	0.123E-02
329.328	33.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.243E-04	0.136E-02	0.106E-03	0.288E-02	0.465E-02
331.805	34.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.143E-03	0.441E-02	0.273E-03	0.122E-01	0.137E-01
334.281	35.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.637E-03	0.117E-01	0.617E-03	0.403E-01	0.329E-01
336.757	36.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.228E-02	0.261E-01	0.126E-02	0.110E+00	0.678E-01
339.233	37.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.685E-02	0.514E-01	0.242E-02	0.259E+00	0.124E+00
341.709	38.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.177E-01	0.913E-01	0.485E-02	0.546E+00	0.208E+00
344.186	39.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.403E-01	0.149E+00	0.113E-01	0.104E+01	0.322E+00
346.662	40.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.824E-01	0.226E+00	0.304E-01	0.184E+01	0.468E+00
349.138	41.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.153E+00	0.323E+00	0.851E-01	0.300E+01	0.648E+00
351.614	42.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.831E-06	0.264E+00	0.440E+00	0.224E+00	0.461E+01	0.859E+00
