E_lab	E*/MeV	144Ho	145Ho	146Ho	147Ho	148Ho	149Ho	150Ho	151Ho	152Ho	153Ho
314.471	27.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.956E-11	0.379E-07	0.000E+00	0.777E-10
316.947	28.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.269E-09	0.258E-06	0.000E+00	0.143E-08
319.424	29.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.563E-08	0.164E-05	0.000E+00	0.213E-07
321.900	30.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.938E-07	0.982E-05	0.000E+00	0.263E-06
324.376	31.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.127E-05	0.550E-04	0.000E+00	0.271E-05
326.852	32.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.135E-04	0.276E-03	0.000E+00	0.222E-04
329.328	33.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.105E-03	0.114E-02	0.000E+00	0.134E-03
331.805	34.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.580E-03	0.370E-02	0.550E-08	0.591E-03
334.281	35.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.247E-02	0.985E-02	0.103E-06	0.204E-02
336.757	36.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.145E-06	0.849E-02	0.223E-01	0.126E-05	0.584E-02
339.233	37.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.168E-05	0.247E-01	0.445E-01	0.110E-04	0.145E-01
341.709	38.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.137E-04	0.623E-01	0.803E-01	0.741E-04	0.321E-01
344.186	39.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.860E-04	0.139E+00	0.133E+00	0.394E-03	0.644E-01
346.662	40.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.431E-03	0.280E+00	0.205E+00	0.171E-02	0.118E+00
349.138	41.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.180E-02	0.514E+00	0.297E+00	0.620E-02	0.202E+00
351.614	42.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.637E-02	0.874E+00	0.408E+00	0.192E-01	0.324E+00
354.090	43.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.196E-01	0.139E+01	0.538E+00	0.514E-01	0.489E+00
356.566	44.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.527E-01	0.207E+01	0.685E+00	0.122E+00	0.701E+00
359.043	45.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.126E+00	0.294E+01	0.845E+00	0.257E+00	0.958E+00
361.519	46.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.270E+00	0.397E+01	0.102E+01	0.490E+00	0.125E+01
363.995	47.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.523E+00	0.513E+01	0.120E+01	0.857E+00	0.157E+01
366.471	48.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.926E+00	0.639E+01	0.138E+01	0.139E+01	0.191E+01
368.947	49.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.151E+01	0.768E+01	0.157E+01	0.210E+01	0.224E+01
371.424	50.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.231E+01	0.896E+01	0.176E+01	0.300E+01	0.256E+01
373.900	51.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.124E-04	0.332E+01	0.102E+02	0.196E+01	0.407E+01	0.285E+01
376.376	52.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.556E-04	0.452E+01	0.113E+02	0.217E+01	0.530E+01	0.312E+01
378.852	53.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.211E-03	0.587E+01	0.124E+02	0.242E+01	0.663E+01	0.335E+01
381.328	54.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.698E-03	0.733E+01	0.133E+02	0.274E+01	0.805E+01	0.355E+01
383.805	55.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.204E-02	0.881E+01	0.141E+02	0.316E+01	0.948E+01	0.371E+01
386.281	56.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.538E-02	0.103E+02	0.148E+02	0.374E+01	0.109E+02	0.384E+01
388.757	57.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.128E-01	0.116E+02	0.153E+02	0.451E+01	0.123E+02	0.393E+01
391.233	58.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.279E-01	0.127E+02	0.157E+02	0.550E+01	0.135E+02	0.398E+01
393.709	59.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.559E-01	0.136E+02	0.159E+02	0.675E+01	0.147E+02	0.399E+01
396.186	60.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.104E+00	0.143E+02	0.159E+02	0.825E+01	0.157E+02	0.397E+01
398.662	61.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.180E+00	0.146E+02	0.158E+02	0.100E+02	0.165E+02	0.391E+01
401.138	62.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.294E+00	0.147E+02	0.156E+02	0.120E+02	0.172E+02	0.380E+01
