E_lab	E*/MeV	146Tm	147Tm	148Tm	149Tm	150Tm	151Tm	152Tm	153Tm	154Tm	155Tm
314.471	27.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.126E-10	0.869E-06	0.266E-06
316.947	28.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.978E-09	0.549E-05	0.110E-05
319.424	29.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.365E-07	0.325E-04	0.433E-05
321.900	30.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.891E-06	0.181E-03	0.161E-04
324.376	31.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.154E-04	0.935E-03	0.571E-04
326.852	32.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.183E-03	0.430E-02	0.187E-03
329.328	33.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.141E-02	0.160E-01	0.547E-03
331.805	34.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.721E-02	0.465E-01	0.136E-02
334.281	35.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.273E-01	0.110E+00	0.297E-02
336.757	36.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.818E-01	0.224E+00	0.583E-02
339.233	37.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.207E+00	0.403E+00	0.105E-01
341.709	38.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.261E-06	0.459E+00	0.664E+00	0.176E-01
344.186	39.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.737E-05	0.911E+00	0.102E+01	0.280E-01
346.662	40.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.940E-04	0.164E+01	0.146E+01	0.428E-01
349.138	41.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.742E-03	0.273E+01	0.201E+01	0.629E-01
351.614	42.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.414E-02	0.423E+01	0.264E+01	0.896E-01
354.090	43.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.173E-01	0.615E+01	0.337E+01	0.122E+00
356.566	44.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.570E-01	0.846E+01	0.417E+01	0.163E+00
359.043	45.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.154E+00	0.111E+02	0.504E+01	0.208E+00
361.519	46.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.351E+00	0.139E+02	0.597E+01	0.257E+00
363.995	47.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.699E+00	0.168E+02	0.693E+01	0.304E+00
366.471	48.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.124E+01	0.196E+02	0.790E+01	0.346E+00
368.947	49.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.494E-05	0.201E+01	0.222E+02	0.884E+01	0.379E+00
371.424	50.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.390E-04	0.301E+01	0.247E+02	0.970E+01	0.398E+00
373.900	51.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.220E-03	0.421E+01	0.268E+02	0.104E+02	0.401E+00
376.376	52.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.963E-03	0.557E+01	0.287E+02	0.110E+02	0.387E+00
378.852	53.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.339E-02	0.703E+01	0.303E+02	0.114E+02	0.360E+00
381.328	54.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.989E-02	0.853E+01	0.316E+02	0.115E+02	0.321E+00
383.805	55.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.245E-01	0.100E+02	0.326E+02	0.114E+02	0.276E+00
386.281	56.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.532E-01	0.114E+02	0.332E+02	0.110E+02	0.229E+00
