E_lab	E*/MeV	147Yb	148Yb	149Yb	150Yb	151Yb	152Yb	153Yb	154Yb	155Yb	156Yb
314.471	27.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.161E-06	0.199E-06	0.475E-09
316.947	28.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.109E-05	0.793E-06	0.136E-08
319.424	29.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.683E-05	0.302E-05	0.395E-08
321.900	30.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.401E-04	0.108E-04	0.104E-07
324.376	31.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.980E-10	0.216E-03	0.370E-04	0.276E-07
326.852	32.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.398E-07	0.101E-02	0.118E-03	0.713E-07
329.328	33.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.226E-05	0.379E-02	0.338E-03	0.196E-06
331.805	34.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.408E-04	0.109E-01	0.837E-03	0.510E-06
334.281	35.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.333E-03	0.254E-01	0.183E-02	0.134E-05
336.757	36.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.157E-02	0.507E-01	0.363E-02	0.341E-05
339.233	37.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.533E-02	0.897E-01	0.661E-02	0.772E-05
341.709	38.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.146E-01	0.145E+00	0.113E-01	0.169E-04
344.186	39.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.342E-01	0.219E+00	0.182E-01	0.340E-04
346.662	40.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.705E-01	0.311E+00	0.282E-01	0.672E-04
349.138	41.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.131E+00	0.422E+00	0.419E-01	0.130E-03
351.614	42.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.329E-06	0.223E+00	0.550E+00	0.603E-01	0.229E-03
354.090	43.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.640E-05	0.352E+00	0.694E+00	0.829E-01	0.347E-03
356.566	44.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.650E-04	0.516E+00	0.853E+00	0.110E+00	0.478E-03
359.043	45.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.394E-03	0.708E+00	0.102E+01	0.140E+00	0.568E-03
361.519	46.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.159E-02	0.917E+00	0.120E+01	0.169E+00	0.601E-03
363.995	47.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.466E-02	0.113E+01	0.139E+01	0.194E+00	0.574E-03
366.471	48.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.109E-01	0.133E+01	0.157E+01	0.211E+00	0.501E-03
368.947	49.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.216E-01	0.152E+01	0.175E+01	0.218E+00	0.410E-03
371.424	50.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.380E-01	0.168E+01	0.191E+01	0.214E+00	0.311E-03
373.900	51.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.606E-01	0.182E+01	0.204E+01	0.200E+00	0.223E-03
376.376	52.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.896E-01	0.193E+01	0.213E+01	0.179E+00	0.149E-03
378.852	53.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.124E+00	0.203E+01	0.217E+01	0.152E+00	0.909E-04
381.328	54.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.163E+00	0.210E+01	0.216E+01	0.124E+00	0.485E-04
383.805	55.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.204E+00	0.216E+01	0.210E+01	0.978E-01	0.154E-04
386.281	56.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.244E+00	0.219E+01	0.197E+01	0.741E-01	0.000E+00
388.757	57.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.450E-06	0.282E+00	0.221E+01	0.180E+01	0.542E-01	0.000E+00
391.233	58.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.304E-05	0.315E+00	0.220E+01	0.158E+01	0.385E-01	0.000E+00
393.709	59.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.143E-04	0.344E+00	0.217E+01	0.135E+01	0.265E-01	0.000E+00
396.186	60.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.500E-04	0.366E+00	0.211E+01	0.112E+01	0.178E-01	0.000E+00
398.662	61.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.139E-03	0.384E+00	0.202E+01	0.904E+00	0.116E-01	0.000E+00
401.138	62.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.324E-03	0.396E+00	0.192E+01	0.707E+00	0.746E-02	0.000E+00
403.614	63.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.660E-03	0.404E+00	0.179E+01	0.538E+00	0.468E-02	0.000E+00
406.090	64.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.121E-02	0.408E+00	0.164E+01	0.400E+00	0.289E-02	0.000E+00
408.566	65.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.204E-02	0.408E+00	0.147E+01	0.290E+00	0.175E-02	0.000E+00
411.043	66.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.320E-02	0.405E+00	0.130E+01	0.207E+00	0.105E-02	0.000E+00
413.519	67.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.474E-02	0.399E+00	0.113E+01	0.144E+00	0.620E-03	0.000E+00
415.995	68.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.666E-02	0.390E+00	0.964E+00	0.991E-01	0.363E-03	0.000E+00
418.471	69.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.891E-02	0.378E+00	0.805E+00	0.671E-01	0.210E-03	0.000E+00
420.947	70.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.114E-01	0.364E+00	0.660E+00	0.448E-01	0.120E-03	0.000E+00
423.424	71.0	0.000E+00	0.000E+00	0.000E+00	0.969E-07	0.141E-01	0.347E+00	0.532E+00	0.296E-01	0.674E-04	0.000E+00
425.900	72.0	0.000E+00	0.000E+00	0.000E+00	0.386E-06	0.169E-01	0.327E+00	0.421E+00	0.194E-01	0.371E-04	0.000E+00
428.376	73.0	0.000E+00	0.000E+00	0.000E+00	0.124E-05	0.196E-01	0.306E+00	0.328E+00	0.126E-01	0.196E-04	0.000E+00
430.852	74.0	0.000E+00	0.000E+00	0.000E+00	0.338E-05	0.222E-01	0.282E+00	0.252E+00	0.814E-02	0.904E-05	0.000E+00
433.328	75.0	0.000E+00	0.000E+00	0.000E+00	0.802E-05	0.245E-01	0.258E+00	0.191E+00	0.522E-02	0.230E-05	0.000E+00
435.805	76.0	0.000E+00	0.000E+00	0.000E+00	0.170E-04	0.266E-01	0.233E+00	0.143E+00	0.333E-02	0.000E+00	0.000E+00
438.281	77.0	0.000E+00	0.000E+00	0.000E+00	0.328E-04	0.283E-01	0.208E+00	0.106E+00	0.212E-02	0.000E+00	0.000E+00
440.757	78.0	0.000E+00	0.000E+00	0.000E+00	0.585E-04	0.297E-01	0.183E+00	0.773E-01	0.134E-02	0.000E+00	0.000E+00
443.233	79.0	0.000E+00	0.000E+00	0.000E+00	0.976E-04	0.307E-01	0.159E+00	0.560E-01	0.845E-03	0.000E+00	0.000E+00
445.709	80.0	0.000E+00	0.000E+00	0.000E+00	0.153E-03	0.314E-01	0.137E+00	0.403E-01	0.531E-03	0.000E+00	0.000E+00
448.186	81.0	0.000E+00	0.000E+00	0.000E+00	0.228E-03	0.317E-01	0.116E+00	0.287E-01	0.333E-03	0.000E+00	0.000E+00
450.662	82.0	0.000E+00	0.000E+00	0.000E+00	0.323E-03	0.318E-01	0.972E-01	0.204E-01	0.207E-03	0.000E+00	0.000E+00
453.138	83.0	0.000E+00	0.000E+00	0.000E+00	0.438E-03	0.314E-01	0.804E-01	0.143E-01	0.129E-03	0.000E+00	0.000E+00
455.614	84.0	0.000E+00	0.000E+00	0.000E+00	0.570E-03	0.308E-01	0.658E-01	0.100E-01	0.793E-04	0.000E+00	0.000E+00
458.090	85.0	0.000E+00	0.000E+00	0.000E+00	0.717E-03	0.299E-01	0.533E-01	0.698E-02	0.485E-04	0.000E+00	0.000E+00
460.566	86.0	0.000E+00	0.000E+00	0.822E-08	0.872E-03	0.287E-01	0.426E-01	0.484E-02	0.291E-04	0.000E+00	0.000E+00
463.043	87.0	0.000E+00	0.000E+00	0.281E-07	0.103E-02	0.273E-01	0.338E-01	0.334E-02	0.172E-04	0.000E+00	0.000E+00
465.519	88.0	0.000E+00	0.000E+00	0.816E-07	0.119E-02	0.257E-01	0.265E-01	0.229E-02	0.984E-05	0.000E+00	0.000E+00
467.995	89.0	0.000E+00	0.000E+00	0.208E-06	0.134E-02	0.239E-01	0.206E-01	0.157E-02	0.526E-05	0.000E+00	0.000E+00
470.471	90.0	0.000E+00	0.000E+00	0.474E-06	0.148E-02	0.220E-01	0.159E-01	0.107E-02	0.228E-05	0.000E+00	0.000E+00
472.947	91.0	0.000E+00	0.000E+00	0.982E-06	0.161E-02	0.201E-01	0.122E-01	0.724E-03	0.470E-06	0.000E+00	0.000E+00
