E_lab	E*/MeV	172Pt	173Pt	174Pt	175Pt	176Pt	177Pt	178Pt
333.524	16.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.170E-07	0.000E+00	0.181E-08
335.481	17.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.114E-06	0.000E+00	0.292E-07
337.437	18.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.724E-06	0.000E+00	0.380E-06
339.394	19.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.433E-05	0.000E+00	0.417E-05
341.350	20.0	0.000E+00	0.000E+00	0.000E+00	0.111E-07	0.245E-04	0.000E+00	0.390E-04
343.307	21.0	0.000E+00	0.000E+00	0.000E+00	0.348E-06	0.128E-03	0.000E+00	0.304E-03
345.263	22.0	0.000E+00	0.000E+00	0.000E+00	0.483E-05	0.578E-03	0.000E+00	0.185E-02
347.220	23.0	0.000E+00	0.000E+00	0.000E+00	0.407E-04	0.209E-02	0.534E-07	0.830E-02
349.177	24.0	0.000E+00	0.000E+00	0.000E+00	0.222E-03	0.595E-02	0.112E-05	0.276E-01
351.133	25.0	0.000E+00	0.000E+00	0.000E+00	0.896E-03	0.137E-01	0.137E-04	0.718E-01
353.090	26.0	0.000E+00	0.000E+00	0.000E+00	0.286E-02	0.266E-01	0.115E-03	0.157E+00
355.046	27.0	0.000E+00	0.000E+00	0.000E+00	0.770E-02	0.453E-01	0.712E-03	0.298E+00
357.003	28.0	0.000E+00	0.000E+00	0.000E+00	0.180E-01	0.697E-01	0.341E-02	0.512E+00
358.959	29.0	0.000E+00	0.000E+00	0.215E-06	0.374E-01	0.982E-01	0.131E-01	0.807E+00
360.916	30.0	0.000E+00	0.000E+00	0.347E-05	0.704E-01	0.128E+00	0.418E-01	0.118E+01
362.872	31.0	0.000E+00	0.000E+00	0.257E-04	0.122E+00	0.156E+00	0.113E+00	0.161E+01
364.829	32.0	0.000E+00	0.000E+00	0.124E-03	0.194E+00	0.178E+00	0.263E+00	0.208E+01
366.785	33.0	0.000E+00	0.000E+00	0.460E-03	0.290E+00	0.191E+00	0.538E+00	0.255E+01
368.742	34.0	0.000E+00	0.000E+00	0.140E-02	0.408E+00	0.193E+00	0.981E+00	0.296E+01
370.698	35.0	0.000E+00	0.000E+00	0.369E-02	0.542E+00	0.185E+00	0.162E+01	0.328E+01
372.655	36.0	0.000E+00	0.000E+00	0.862E-02	0.683E+00	0.169E+00	0.244E+01	0.347E+01
374.611	37.0	0.000E+00	0.000E+00	0.181E-01	0.819E+00	0.146E+00	0.342E+01	0.353E+01
376.568	38.0	0.000E+00	0.000E+00	0.346E-01	0.937E+00	0.123E+00	0.448E+01	0.345E+01
378.524	39.0	0.000E+00	0.000E+00	0.605E-01	0.102E+01	0.104E+00	0.557E+01	0.325E+01
380.481	40.0	0.000E+00	0.000E+00	0.980E-01	0.107E+01	0.978E-01	0.660E+01	0.297E+01
382.437	41.0	0.000E+00	0.000E+00	0.148E+00	0.108E+01	0.117E+00	0.752E+01	0.262E+01
384.394	42.0	0.000E+00	0.179E-05	0.210E+00	0.104E+01	0.178E+00	0.827E+01	0.225E+01
386.350	43.0	0.000E+00	0.942E-05	0.281E+00	0.970E+00	0.303E+00	0.882E+01	0.188E+01
388.307	44.0	0.000E+00	0.368E-04	0.359E+00	0.873E+00	0.517E+00	0.916E+01	0.153E+01
390.263	45.0	0.000E+00	0.117E-03	0.439E+00	0.759E+00	0.839E+00	0.929E+01	0.121E+01
392.220	46.0	0.000E+00	0.320E-03	0.515E+00	0.640E+00	0.128E+01	0.921E+01	0.941E+00
394.177	47.0	0.000E+00	0.780E-03	0.583E+00	0.524E+00	0.189E+01	0.893E+01	0.716E+00
396.133	48.0	0.000E+00	0.173E-02	0.638E+00	0.417E+00	0.256E+01	0.849E+01	0.534E+00
398.090	49.0	0.000E+00	0.354E-02	0.676E+00	0.325E+00	0.329E+01	0.790E+01	0.392E+00
400.046	50.0	0.000E+00	0.670E-02	0.695E+00	0.248E+00	0.405E+01	0.721E+01	0.283E+00
402.003	51.0	0.000E+00	0.118E-01	0.694E+00	0.189E+00	0.481E+01	0.646E+01	0.201E+00
403.959	52.0	0.000E+00	0.193E-01	0.674E+00	0.149E+00	0.552E+01	0.568E+01	0.141E+00
405.916	53.0	0.000E+00	0.296E-01	0.638E+00	0.132E+00	0.615E+01	0.491E+01	0.976E-01
407.872	54.0	0.000E+00	0.430E-01	0.588E+00	0.141E+00	0.667E+01	0.416E+01	0.669E-01
