E_lab	E*/MeV	186At	187At	188At	189At	190At	191At	192At	193At
346.215	8.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.641E-07
348.089	9.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.110E-06
349.963	10.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.182E-06
351.837	11.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.175E-09	0.263E-06
353.711	12.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.767E-07	0.282E-06
355.584	13.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.203E-05	0.262E-06
357.458	14.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.101E-04	0.235E-06
359.332	15.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.357E-04	0.193E-06
361.206	16.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.875E-04	0.159E-06
363.079	17.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.128E-03	0.123E-06
364.953	18.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.134E-03	0.104E-06
366.827	19.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.121E-03	0.966E-07
368.701	20.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.968E-04	0.829E-07
370.575	21.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.146E-08	0.721E-04	0.608E-07
372.448	22.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.394E-07	0.518E-04	0.000E+00
374.322	23.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.361E-06	0.362E-04	0.000E+00
376.196	24.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.171E-05	0.245E-04	0.000E+00
378.070	25.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.500E-05	0.159E-04	0.000E+00
379.944	26.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.966E-05	0.103E-04	0.000E+00
381.817	27.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.129E-04	0.643E-05	0.000E+00
383.691	28.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.136E-04	0.400E-05	0.000E+00
385.565	29.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.124E-04	0.234E-05	0.000E+00
387.439	30.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.101E-04	0.132E-05	0.000E+00
389.313	31.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.767E-05	0.715E-06	0.000E+00
391.186	32.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.978E-11	0.548E-05	0.377E-06	0.000E+00
393.060	33.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.296E-09	0.375E-05	0.174E-06	0.000E+00
394.934	34.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.333E-08	0.248E-05	0.618E-07	0.000E+00
396.808	35.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.202E-07	0.159E-05	0.204E-07	0.000E+00
398.681	36.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.785E-07	0.998E-06	0.847E-08	0.000E+00
400.555	37.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.218E-06	0.615E-06	0.000E+00	0.000E+00
402.429	38.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.456E-06	0.372E-06	0.000E+00	0.000E+00
404.303	39.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.743E-06	0.222E-06	0.000E+00	0.000E+00
406.177	40.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.988E-06	0.130E-06	0.000E+00	0.000E+00
408.050	41.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.112E-05	0.760E-07	0.000E+00	0.000E+00
409.924	42.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.113E-05	0.436E-07	0.000E+00	0.000E+00
411.798	43.0	0.000E+00	0.000E+00	0.000E+00	0.130E-11	0.105E-05	0.244E-07	0.000E+00	0.000E+00
413.672	44.0	0.000E+00	0.000E+00	0.000E+00	0.160E-10	0.899E-06	0.132E-07	0.000E+00	0.000E+00
415.546	45.0	0.000E+00	0.000E+00	0.000E+00	0.111E-09	0.731E-06	0.286E-08	0.000E+00	0.000E+00
417.419	46.0	0.000E+00	0.000E+00	0.000E+00	0.495E-09	0.568E-06	0.000E+00	0.000E+00	0.000E+00
419.293	47.0	0.000E+00	0.000E+00	0.000E+00	0.155E-08	0.426E-06	0.000E+00	0.000E+00	0.000E+00
421.167	48.0	0.000E+00	0.000E+00	0.000E+00	0.363E-08	0.310E-06	0.000E+00	0.000E+00	0.000E+00
423.041	49.0	0.000E+00	0.000E+00	0.000E+00	0.666E-08	0.220E-06	0.000E+00	0.000E+00	0.000E+00
424.914	50.0	0.000E+00	0.000E+00	0.000E+00	0.101E-07	0.154E-06	0.000E+00	0.000E+00	0.000E+00
426.788	51.0	0.000E+00	0.000E+00	0.000E+00	0.132E-07	0.105E-06	0.000E+00	0.000E+00	0.000E+00
428.662	52.0	0.000E+00	0.000E+00	0.000E+00	0.154E-07	0.710E-07	0.000E+00	0.000E+00	0.000E+00
430.536	53.0	0.000E+00	0.000E+00	0.000E+00	0.164E-07	0.474E-07	0.000E+00	0.000E+00	0.000E+00
432.410	54.0	0.000E+00	0.000E+00	0.000E+00	0.162E-07	0.313E-07	0.000E+00	0.000E+00	0.000E+00
434.283	55.0	0.000E+00	0.000E+00	0.968E-14	0.151E-07	0.205E-07	0.000E+00	0.000E+00	0.000E+00
436.157	56.0	0.000E+00	0.000E+00	0.102E-12	0.135E-07	0.133E-07	0.000E+00	0.000E+00	0.000E+00
438.031	57.0	0.000E+00	0.000E+00	0.714E-12	0.115E-07	0.863E-08	0.000E+00	0.000E+00	0.000E+00
439.905	58.0	0.000E+00	0.000E+00	0.354E-11	0.949E-08	0.556E-08	0.000E+00	0.000E+00	0.000E+00
441.779	59.0	0.000E+00	0.000E+00	0.132E-10	0.763E-08	0.355E-08	0.000E+00	0.000E+00	0.000E+00
443.652	60.0	0.000E+00	0.000E+00	0.387E-10	0.598E-08	0.223E-08	0.000E+00	0.000E+00	0.000E+00
445.526	61.0	0.000E+00	0.000E+00	0.921E-10	0.459E-08	0.139E-08	0.000E+00	0.000E+00	0.000E+00
447.400	62.0	0.000E+00	0.000E+00	0.183E-09	0.347E-08	0.792E-09	0.000E+00	0.000E+00	0.000E+00
449.274	63.0	0.000E+00	0.000E+00	0.315E-09	0.258E-08	0.349E-09	0.000E+00	0.000E+00	0.000E+00
451.147	64.0	0.000E+00	0.000E+00	0.477E-09	0.189E-08	0.000E+00	0.000E+00	0.000E+00	0.000E+00
453.021	65.0	0.000E+00	0.000E+00	0.651E-09	0.137E-08	0.000E+00	0.000E+00	0.000E+00	0.000E+00
454.895	66.0	0.000E+00	0.000E+00	0.815E-09	0.984E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00
456.769	67.0	0.000E+00	0.878E-15	0.950E-09	0.700E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00
458.643	68.0	0.000E+00	0.586E-14	0.104E-08	0.494E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00
460.516	69.0	0.000E+00	0.288E-13	0.108E-08	0.346E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00
462.390	70.0	0.000E+00	0.108E-12	0.108E-08	0.240E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00
464.264	71.0	0.000E+00	0.326E-12	0.104E-08	0.165E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00
466.138	72.0	0.000E+00	0.807E-12	0.961E-09	0.111E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00
468.012	73.0	0.000E+00	0.170E-11	0.867E-09	0.729E-10	0.000E+00	0.000E+00	0.000E+00	0.000E+00
469.885	74.0	0.000E+00	0.310E-11	0.762E-09	0.444E-10	0.000E+00	0.000E+00	0.000E+00	0.000E+00
471.759	75.0	0.000E+00	0.506E-11	0.656E-09	0.186E-10	0.000E+00	0.000E+00	0.000E+00	0.000E+00
473.633	76.0	0.000E+00	0.747E-11	0.553E-09	0.439E-11	0.000E+00	0.000E+00	0.000E+00	0.000E+00
475.507	77.0	0.000E+00	0.102E-10	0.458E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
477.380	78.0	0.000E+00	0.129E-10	0.374E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
479.254	79.0	0.000E+00	0.155E-10	0.301E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
481.128	80.0	0.000E+00	0.176E-10	0.240E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
483.002	81.0	0.103E-15	0.191E-10	0.189E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
484.876	82.0	0.471E-15	0.200E-10	0.147E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
486.749	83.0	0.175E-14	0.202E-10	0.113E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
488.623	84.0	0.543E-14	0.198E-10	0.868E-10	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
490.497	85.0	0.143E-13	0.189E-10	0.660E-10	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
492.371	86.0	0.329E-13	0.176E-10	0.498E-10	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
494.245	87.0	0.668E-13	0.161E-10	0.373E-10	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
496.118	88.0	0.122E-12	0.144E-10	0.278E-10	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
497.992	89.0	0.203E-12	0.127E-10	0.206E-10	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
499.866	90.0	0.312E-12	0.110E-10	0.151E-10	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
