E_lab	E*/MeV	187At	188At	189At	190At	191At	192At	193At
346.215	8.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.314E-06
348.089	9.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.179E-06
349.963	10.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.298E-06
351.837	11.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.235E-09	0.438E-06
353.711	12.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.102E-06	0.500E-06
355.584	13.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.267E-05	0.476E-06
357.458	14.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.131E-04	0.428E-06
359.332	15.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.457E-04	0.355E-06
361.206	16.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.115E-03	0.248E-06
363.079	17.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.181E-03	0.195E-06
364.953	18.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.196E-03	0.139E-06
366.827	19.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.175E-03	0.120E-06
368.701	20.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.143E-03	0.878E-07
370.575	21.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.243E-08	0.109E-03	0.641E-07
372.448	22.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.644E-07	0.780E-04	0.000E+00
374.322	23.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.579E-06	0.537E-04	0.000E+00
376.196	24.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.279E-05	0.357E-04	0.000E+00
378.070	25.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.869E-05	0.229E-04	0.000E+00
379.944	26.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.179E-04	0.145E-04	0.000E+00
381.817	27.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.244E-04	0.888E-05	0.000E+00
383.691	28.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.259E-04	0.541E-05	0.000E+00
385.565	29.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.234E-04	0.313E-05	0.000E+00
387.439	30.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.191E-04	0.175E-05	0.000E+00
389.313	31.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.144E-04	0.953E-06	0.000E+00
391.186	32.0	0.000E+00	0.000E+00	0.000E+00	0.184E-10	0.102E-04	0.505E-06	0.000E+00
393.060	33.0	0.000E+00	0.000E+00	0.000E+00	0.546E-09	0.700E-05	0.240E-06	0.000E+00
394.934	34.0	0.000E+00	0.000E+00	0.000E+00	0.605E-08	0.462E-05	0.671E-07	0.000E+00
396.808	35.0	0.000E+00	0.000E+00	0.000E+00	0.361E-07	0.296E-05	0.216E-07	0.000E+00
398.681	36.0	0.000E+00	0.000E+00	0.000E+00	0.139E-06	0.185E-05	0.895E-08	0.000E+00
400.555	37.0	0.000E+00	0.000E+00	0.000E+00	0.391E-06	0.114E-05	0.000E+00	0.000E+00
402.429	38.0	0.000E+00	0.000E+00	0.000E+00	0.845E-06	0.684E-06	0.000E+00	0.000E+00
404.303	39.0	0.000E+00	0.000E+00	0.000E+00	0.144E-05	0.407E-06	0.000E+00	0.000E+00
406.177	40.0	0.000E+00	0.000E+00	0.000E+00	0.199E-05	0.239E-06	0.000E+00	0.000E+00
408.050	41.0	0.000E+00	0.000E+00	0.000E+00	0.232E-05	0.138E-06	0.000E+00	0.000E+00
409.924	42.0	0.000E+00	0.000E+00	0.000E+00	0.239E-05	0.795E-07	0.000E+00	0.000E+00
411.798	43.0	0.000E+00	0.000E+00	0.271E-11	0.223E-05	0.453E-07	0.000E+00	0.000E+00
413.672	44.0	0.000E+00	0.000E+00	0.329E-10	0.193E-05	0.249E-07	0.000E+00	0.000E+00
415.546	45.0	0.000E+00	0.000E+00	0.225E-09	0.158E-05	0.847E-08	0.000E+00	0.000E+00
417.419	46.0	0.000E+00	0.000E+00	0.994E-09	0.123E-05	0.000E+00	0.000E+00	0.000E+00
419.293	47.0	0.000E+00	0.000E+00	0.310E-08	0.923E-06	0.000E+00	0.000E+00	0.000E+00
421.167	48.0	0.000E+00	0.000E+00	0.723E-08	0.672E-06	0.000E+00	0.000E+00	0.000E+00
423.041	49.0	0.000E+00	0.000E+00	0.133E-07	0.478E-06	0.000E+00	0.000E+00	0.000E+00
424.914	50.0	0.000E+00	0.000E+00	0.202E-07	0.333E-06	0.000E+00	0.000E+00	0.000E+00
426.788	51.0	0.000E+00	0.000E+00	0.265E-07	0.228E-06	0.000E+00	0.000E+00	0.000E+00
428.662	52.0	0.000E+00	0.000E+00	0.310E-07	0.153E-06	0.000E+00	0.000E+00	0.000E+00
430.536	53.0	0.000E+00	0.000E+00	0.331E-07	0.102E-06	0.000E+00	0.000E+00	0.000E+00
432.410	54.0	0.000E+00	0.000E+00	0.328E-07	0.675E-07	0.000E+00	0.000E+00	0.000E+00
434.283	55.0	0.000E+00	0.213E-13	0.306E-07	0.442E-07	0.000E+00	0.000E+00	0.000E+00
436.157	56.0	0.000E+00	0.223E-12	0.273E-07	0.287E-07	0.000E+00	0.000E+00	0.000E+00
438.031	57.0	0.000E+00	0.154E-11	0.233E-07	0.186E-07	0.000E+00	0.000E+00	0.000E+00
439.905	58.0	0.000E+00	0.757E-11	0.192E-07	0.119E-07	0.000E+00	0.000E+00	0.000E+00
441.779	59.0	0.000E+00	0.283E-10	0.155E-07	0.760E-08	0.000E+00	0.000E+00	0.000E+00
443.652	60.0	0.000E+00	0.840E-10	0.121E-07	0.482E-08	0.000E+00	0.000E+00	0.000E+00
445.526	61.0	0.000E+00	0.205E-09	0.930E-08	0.300E-08	0.000E+00	0.000E+00	0.000E+00
447.400	62.0	0.000E+00	0.419E-09	0.702E-08	0.183E-08	0.000E+00	0.000E+00	0.000E+00
449.274	63.0	0.000E+00	0.740E-09	0.521E-08	0.974E-09	0.000E+00	0.000E+00	0.000E+00
451.147	64.0	0.000E+00	0.115E-08	0.382E-08	0.290E-09	0.000E+00	0.000E+00	0.000E+00
453.021	65.0	0.000E+00	0.160E-08	0.277E-08	0.963E-10	0.000E+00	0.000E+00	0.000E+00
454.895	66.0	0.217E-15	0.204E-08	0.198E-08	0.000E+00	0.000E+00	0.000E+00	0.000E+00
456.769	67.0	0.206E-14	0.241E-08	0.141E-08	0.000E+00	0.000E+00	0.000E+00	0.000E+00
458.643	68.0	0.137E-13	0.268E-08	0.992E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00
460.516	69.0	0.672E-13	0.281E-08	0.695E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00
462.390	70.0	0.254E-12	0.282E-08	0.482E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00
464.264	71.0	0.768E-12	0.272E-08	0.333E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00
466.138	72.0	0.191E-11	0.253E-08	0.226E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00
468.012	73.0	0.403E-11	0.229E-08	0.150E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00
469.885	74.0	0.740E-11	0.202E-08	0.977E-10	0.000E+00	0.000E+00	0.000E+00	0.000E+00
471.759	75.0	0.121E-10	0.174E-08	0.561E-10	0.000E+00	0.000E+00	0.000E+00	0.000E+00
473.633	76.0	0.179E-10	0.147E-08	0.204E-10	0.000E+00	0.000E+00	0.000E+00	0.000E+00
475.507	77.0	0.244E-10	0.122E-08	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
477.380	78.0	0.310E-10	0.996E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
479.254	79.0	0.371E-10	0.802E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
481.128	80.0	0.421E-10	0.638E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
483.002	81.0	0.458E-10	0.502E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
484.876	82.0	0.478E-10	0.390E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
486.749	83.0	0.482E-10	0.301E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
488.623	84.0	0.472E-10	0.230E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
490.497	85.0	0.450E-10	0.175E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
492.371	86.0	0.419E-10	0.132E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
494.245	87.0	0.382E-10	0.988E-10	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
496.118	88.0	0.341E-10	0.736E-10	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
497.992	89.0	0.300E-10	0.544E-10	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
499.866	90.0	0.259E-10	0.399E-10	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
501.740	91.0	0.221E-10	0.292E-10	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
