E_lab	E*/MeV	188At	189At	190At	191At	192At	193At	194At	195At
204.047	20.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.537E-15	0.665E-09	0.000E+00
205.402	21.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.373E-12	0.161E-08	0.000E+00
206.756	22.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.282E-10	0.382E-08	0.000E+00
208.110	23.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.704E-09	0.889E-08	0.000E+00
209.464	24.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.944E-08	0.202E-07	0.000E+00
210.818	25.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.902E-07	0.437E-07	0.000E+00
212.172	26.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.574E-06	0.890E-07	0.000E+00
213.527	27.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.216E-05	0.160E-06	0.000E+00
214.881	28.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.515E-05	0.235E-06	0.000E+00
216.235	29.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.860E-05	0.279E-06	0.000E+00
217.589	30.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.113E-04	0.281E-06	0.000E+00
218.943	31.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.125E-04	0.249E-06	0.000E+00
220.297	32.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.174E-09	0.123E-04	0.200E-06	0.000E+00
221.652	33.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.551E-08	0.111E-04	0.141E-06	0.000E+00
223.006	34.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.621E-07	0.927E-05	0.725E-07	0.000E+00
224.360	35.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.358E-06	0.727E-05	0.000E+00	0.000E+00
