E_lab	E*/MeV	188At	189At	190At	191At	51V+144Sm->192At+3n SHIP	193At	194At	195At
204.047	20.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.793E-15	0.848E-09	0.000E+00
205.402	21.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.541E-12	0.209E-08	0.000E+00
206.756	22.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.404E-10	0.504E-08	0.000E+00
208.110	23.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.999E-09	0.119E-07	0.000E+00
209.464	24.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.132E-07	0.274E-07	0.000E+00
210.818	25.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.125E-06	0.601E-07	0.000E+00
212.172	26.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.794E-06	0.124E-06	0.000E+00
213.527	27.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.300E-05	0.225E-06	0.000E+00
214.881	28.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.721E-05	0.335E-06	0.000E+00
216.235	29.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.122E-04	0.402E-06	0.000E+00
217.589	30.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.162E-04	0.406E-06	0.000E+00
218.943	31.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.182E-04	0.361E-06	0.000E+00
220.297	32.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.273E-09	0.181E-04	0.290E-06	0.000E+00
221.652	33.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.855E-08	0.165E-04	0.210E-06	0.000E+00
223.006	34.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.955E-07	0.139E-04	0.119E-06	0.000E+00
224.360	35.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.545E-06	0.110E-04	0.310E-08	0.000E+00
225.714	36.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.198E-05	0.818E-05	0.000E+00	0.000E+00
227.068	37.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.532E-05	0.582E-05	0.000E+00	0.000E+00
228.422	38.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.110E-04	0.397E-05	0.000E+00	0.000E+00
229.777	39.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.178E-04	0.261E-05	0.000E+00	0.000E+00
231.131	40.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.237E-04	0.166E-05	0.000E+00	0.000E+00
232.485	41.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.268E-04	0.103E-05	0.000E+00	0.000E+00
233.839	42.0	0.000E+00	0.000E+00	0.000E+00	0.621E-10	0.269E-04	0.618E-06	0.000E+00	0.000E+00
235.193	43.0	0.000E+00	0.000E+00	0.000E+00	0.733E-09	0.245E-04	0.363E-06	0.000E+00	0.000E+00
236.547	44.0	0.000E+00	0.000E+00	0.000E+00	0.492E-08	0.208E-04	0.206E-06	0.000E+00	0.000E+00
237.902	45.0	0.000E+00	0.000E+00	0.000E+00	0.218E-07	0.166E-04	0.110E-06	0.000E+00	0.000E+00
239.256	46.0	0.000E+00	0.000E+00	0.000E+00	0.701E-07	0.127E-04	0.409E-07	0.000E+00	0.000E+00
240.610	47.0	0.000E+00	0.000E+00	0.000E+00	0.174E-06	0.931E-05	0.000E+00	0.000E+00	0.000E+00
241.964	48.0	0.000E+00	0.000E+00	0.000E+00	0.341E-06	0.663E-05	0.000E+00	0.000E+00	0.000E+00
243.318	49.0	0.000E+00	0.000E+00	0.000E+00	0.546E-06	0.461E-05	0.000E+00	0.000E+00	0.000E+00
244.672	50.0	0.000E+00	0.000E+00	0.000E+00	0.742E-06	0.315E-05	0.000E+00	0.000E+00	0.000E+00
246.027	51.0	0.000E+00	0.000E+00	0.000E+00	0.885E-06	0.211E-05	0.000E+00	0.000E+00	0.000E+00
247.381	52.0	0.000E+00	0.000E+00	0.000E+00	0.954E-06	0.140E-05	0.000E+00	0.000E+00	0.000E+00
248.735	53.0	0.000E+00	0.000E+00	0.124E-12	0.949E-06	0.915E-06	0.000E+00	0.000E+00	0.000E+00
250.089	54.0	0.000E+00	0.000E+00	0.185E-11	0.885E-06	0.594E-06	0.000E+00	0.000E+00	0.000E+00
251.443	55.0	0.000E+00	0.000E+00	0.159E-10	0.783E-06	0.382E-06	0.000E+00	0.000E+00	0.000E+00
252.797	56.0	0.000E+00	0.000E+00	0.901E-10	0.664E-06	0.245E-06	0.000E+00	0.000E+00	0.000E+00
254.152	57.0	0.000E+00	0.000E+00	0.373E-09	0.543E-06	0.156E-06	0.000E+00	0.000E+00	0.000E+00
255.506	58.0	0.000E+00	0.000E+00	0.120E-08	0.431E-06	0.989E-07	0.000E+00	0.000E+00	0.000E+00
256.860	59.0	0.000E+00	0.000E+00	0.317E-08	0.334E-06	0.624E-07	0.000E+00	0.000E+00	0.000E+00
258.214	60.0	0.000E+00	0.000E+00	0.706E-08	0.253E-06	0.390E-07	0.000E+00	0.000E+00	0.000E+00
259.568	61.0	0.000E+00	0.000E+00	0.135E-07	0.188E-06	0.241E-07	0.000E+00	0.000E+00	0.000E+00
260.922	62.0	0.000E+00	0.000E+00	0.224E-07	0.138E-06	0.145E-07	0.000E+00	0.000E+00	0.000E+00
262.277	63.0	0.000E+00	0.000E+00	0.331E-07	0.995E-07	0.830E-08	0.000E+00	0.000E+00	0.000E+00
263.631	64.0	0.000E+00	0.000E+00	0.443E-07	0.711E-07	0.368E-08	0.000E+00	0.000E+00	0.000E+00
264.985	65.0	0.000E+00	0.545E-13	0.544E-07	0.502E-07	0.794E-09	0.000E+00	0.000E+00	0.000E+00
266.339	66.0	0.000E+00	0.385E-12	0.621E-07	0.352E-07	0.000E+00	0.000E+00	0.000E+00	0.000E+00
267.693	67.0	0.000E+00	0.197E-11	0.668E-07	0.245E-07	0.000E+00	0.000E+00	0.000E+00	0.000E+00
269.047	68.0	0.000E+00	0.764E-11	0.682E-07	0.169E-07	0.000E+00	0.000E+00	0.000E+00	0.000E+00
270.402	69.0	0.000E+00	0.235E-10	0.667E-07	0.116E-07	0.000E+00	0.000E+00	0.000E+00	0.000E+00
271.756	70.0	0.000E+00	0.590E-10	0.627E-07	0.790E-08	0.000E+00	0.000E+00	0.000E+00	0.000E+00
273.110	71.0	0.000E+00	0.125E-09	0.571E-07	0.536E-08	0.000E+00	0.000E+00	0.000E+00	0.000E+00
274.464	72.0	0.000E+00	0.230E-09	0.505E-07	0.362E-08	0.000E+00	0.000E+00	0.000E+00	0.000E+00
275.818	73.0	0.000E+00	0.374E-09	0.435E-07	0.240E-08	0.000E+00	0.000E+00	0.000E+00	0.000E+00
277.172	74.0	0.000E+00	0.551E-09	0.367E-07	0.156E-08	0.000E+00	0.000E+00	0.000E+00	0.000E+00
278.527	75.0	0.000E+00	0.745E-09	0.304E-07	0.923E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00
279.881	76.0	0.000E+00	0.938E-09	0.248E-07	0.538E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00
281.235	77.0	0.000E+00	0.111E-08	0.198E-07	0.183E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00
282.589	78.0	0.289E-14	0.125E-08	0.157E-07	0.470E-10	0.000E+00	0.000E+00	0.000E+00	0.000E+00
283.943	79.0	0.155E-13	0.134E-08	0.123E-07	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
285.297	80.0	0.660E-13	0.138E-08	0.948E-08	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
286.652	81.0	0.231E-12	0.137E-08	0.726E-08	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
288.006	82.0	0.682E-12	0.132E-08	0.551E-08	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
289.360	83.0	0.172E-11	0.124E-08	0.415E-08	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
290.714	84.0	0.381E-11	0.114E-08	0.310E-08	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
292.068	85.0	0.748E-11	0.102E-08	0.230E-08	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
293.422	86.0	0.133E-10	0.903E-09	0.170E-08	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
294.777	87.0	0.215E-10	0.782E-09	0.125E-08	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
296.131	88.0	0.323E-10	0.667E-09	0.911E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
297.485	89.0	0.453E-10	0.561E-09	0.660E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
298.839	90.0	0.598E-10	0.466E-09	0.477E-09	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00
