E_lab	E*/MeV	183Bi	184Bi	185Bi	186Bi	187Bi	188Bi	189Bi	190Bi	191Bi	192Bi	193Bi
236.199	32.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.109E-11	0.127E-09	0.106E-12	0.441E-10	0.824E-10
237.582	33.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.846E-11	0.348E-09	0.175E-12	0.209E-09	0.197E-09
238.965	34.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.217E-08	0.866E-07	0.338E-09	0.340E-07	0.659E-07
240.348	35.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.253E-07	0.665E-06	0.365E-08	0.301E-06	0.520E-06
241.731	36.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.153E-06	0.197E-05	0.851E-08	0.134E-05	0.144E-05
243.114	37.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.822E-06	0.513E-05	0.204E-07	0.558E-05	0.363E-05
244.497	38.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.404E-05	0.127E-04	0.819E-07	0.222E-04	0.876E-05
245.880	39.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.182E-04	0.297E-04	0.518E-06	0.832E-04	0.204E-04
247.263	40.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.145E-09	0.725E-04	0.653E-04	0.342E-05	0.286E-03	0.446E-04
248.646	41.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.220E-08	0.238E-03	0.126E-03	0.185E-04	0.836E-03	0.864E-04
250.029	42.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.191E-07	0.574E-03	0.196E-03	0.706E-04	0.185E-02	0.134E-03
251.412	43.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.100E-06	0.975E-03	0.231E-03	0.167E-03	0.295E-02	0.156E-03
252.795	44.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.361E-06	0.125E-02	0.216E-03	0.334E-03	0.363E-02	0.143E-03
