E_lab	E*/MeV	188At	189At	190At	54Fe+141Pr->191At+4n RITU	192At	193At	194At	195At
225.135	24.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.319E-10	0.669E-10	0.000E+00
226.518	25.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.319E-09	0.155E-09	0.000E+00
227.901	26.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.223E-08	0.347E-09	0.000E+00
229.284	27.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.105E-07	0.760E-09	0.000E+00
230.667	28.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.390E-07	0.163E-08	0.000E+00
232.050	29.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.123E-06	0.341E-08	0.000E+00
233.433	30.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.333E-06	0.672E-08	0.000E+00
234.816	31.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.731E-06	0.116E-07	0.000E+00
236.199	32.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.233E-10	0.124E-05	0.161E-07	0.000E+00
237.582	33.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.103E-08	0.165E-05	0.181E-07	0.000E+00
238.965	34.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.151E-07	0.187E-05	0.137E-07	0.000E+00
240.348	35.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.107E-06	0.187E-05	0.000E+00	0.000E+00
241.731	36.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.469E-06	0.170E-05	0.000E+00	0.000E+00
243.114	37.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.150E-05	0.145E-05	0.000E+00	0.000E+00
244.497	38.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.361E-05	0.116E-05	0.000E+00	0.000E+00
245.880	39.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.674E-05	0.884E-06	0.000E+00	0.000E+00
247.263	40.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.102E-04	0.644E-06	0.000E+00	0.000E+00
248.646	41.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.130E-04	0.451E-06	0.000E+00	0.000E+00
250.029	42.0	0.000E+00	0.000E+00	0.000E+00	0.357E-10	0.145E-04	0.303E-06	0.000E+00	0.000E+00
251.412	43.0	0.000E+00	0.000E+00	0.000E+00	0.463E-09	0.145E-04	0.197E-06	0.000E+00	0.000E+00
252.795	44.0	0.000E+00	0.000E+00	0.000E+00	0.336E-08	0.134E-04	0.122E-06	0.000E+00	0.000E+00
254.178	45.0	0.000E+00	0.000E+00	0.000E+00	0.159E-07	0.115E-04	0.711E-07	0.000E+00	0.000E+00
255.561	46.0	0.000E+00	0.000E+00	0.000E+00	0.542E-07	0.932E-05	0.289E-07	0.000E+00	0.000E+00
