E_lab	E*/MeV	188At	189At	190At	191At	192At	193At	194At	195At
225.135	24.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.447E-10	0.939E-10	0.000E+00
226.518	25.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.444E-09	0.220E-09	0.000E+00
227.901	26.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.310E-08	0.500E-09	0.000E+00
229.284	27.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.147E-07	0.111E-08	0.000E+00
230.667	28.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.547E-07	0.239E-08	0.000E+00
232.050	29.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.173E-06	0.504E-08	0.000E+00
233.433	30.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.472E-06	0.100E-07	0.000E+00
234.816	31.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.105E-05	0.175E-07	0.000E+00
236.199	32.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.366E-10	0.179E-05	0.249E-07	0.000E+00
237.582	33.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.161E-08	0.241E-05	0.281E-07	0.000E+00
238.965	34.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.232E-07	0.274E-05	0.250E-07	0.000E+00
240.348	35.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.163E-06	0.275E-05	0.123E-07	0.000E+00
241.731	36.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.709E-06	0.253E-05	0.000E+00	0.000E+00
243.114	37.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.225E-05	0.216E-05	0.000E+00	0.000E+00
244.497	38.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.542E-05	0.173E-05	0.000E+00	0.000E+00
245.880	39.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.102E-04	0.132E-05	0.000E+00	0.000E+00
247.263	40.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.155E-04	0.967E-06	0.000E+00	0.000E+00
248.646	41.0	0.000E+00	0.000E+00	0.000E+00	0.200E-11	0.199E-04	0.679E-06	0.000E+00	0.000E+00
250.029	42.0	0.000E+00	0.000E+00	0.000E+00	0.612E-10	0.223E-04	0.459E-06	0.000E+00	0.000E+00
251.412	43.0	0.000E+00	0.000E+00	0.000E+00	0.785E-09	0.225E-04	0.300E-06	0.000E+00	0.000E+00
252.795	44.0	0.000E+00	0.000E+00	0.000E+00	0.566E-08	0.208E-04	0.190E-06	0.000E+00	0.000E+00
254.178	45.0	0.000E+00	0.000E+00	0.000E+00	0.267E-07	0.180E-04	0.111E-06	0.000E+00	0.000E+00
255.561	46.0	0.000E+00	0.000E+00	0.000E+00	0.908E-07	0.146E-04	0.504E-07	0.000E+00	0.000E+00
256.944	47.0	0.000E+00	0.000E+00	0.000E+00	0.236E-06	0.113E-04	0.613E-08	0.000E+00	0.000E+00
258.327	48.0	0.000E+00	0.000E+00	0.000E+00	0.483E-06	0.846E-05	0.000E+00	0.000E+00	0.000E+00
259.710	49.0	0.000E+00	0.000E+00	0.000E+00	0.799E-06	0.610E-05	0.000E+00	0.000E+00	0.000E+00
261.093	50.0	0.000E+00	0.000E+00	0.000E+00	0.111E-05	0.428E-05	0.000E+00	0.000E+00	0.000E+00
262.476	51.0	0.000E+00	0.000E+00	0.000E+00	0.135E-05	0.294E-05	0.000E+00	0.000E+00	0.000E+00
263.859	52.0	0.000E+00	0.000E+00	0.000E+00	0.147E-05	0.198E-05	0.000E+00	0.000E+00	0.000E+00
265.242	53.0	0.000E+00	0.000E+00	0.203E-12	0.148E-05	0.131E-05	0.000E+00	0.000E+00	0.000E+00
266.625	54.0	0.000E+00	0.000E+00	0.302E-11	0.138E-05	0.860E-06	0.000E+00	0.000E+00	0.000E+00
268.008	55.0	0.000E+00	0.000E+00	0.257E-10	0.123E-05	0.557E-06	0.000E+00	0.000E+00	0.000E+00
269.391	56.0	0.000E+00	0.000E+00	0.145E-09	0.104E-05	0.358E-06	0.000E+00	0.000E+00	0.000E+00
270.774	57.0	0.000E+00	0.000E+00	0.596E-09	0.852E-06	0.229E-06	0.000E+00	0.000E+00	0.000E+00
272.157	58.0	0.000E+00	0.000E+00	0.192E-08	0.676E-06	0.145E-06	0.000E+00	0.000E+00	0.000E+00
273.540	59.0	0.000E+00	0.000E+00	0.505E-08	0.523E-06	0.919E-07	0.000E+00	0.000E+00	0.000E+00
274.923	60.0	0.000E+00	0.000E+00	0.112E-07	0.396E-06	0.575E-07	0.000E+00	0.000E+00	0.000E+00
276.306	61.0	0.000E+00	0.000E+00	0.215E-07	0.295E-06	0.357E-07	0.000E+00	0.000E+00	0.000E+00
277.689	62.0	0.000E+00	0.000E+00	0.360E-07	0.216E-06	0.216E-07	0.000E+00	0.000E+00	0.000E+00
279.071	63.0	0.000E+00	0.000E+00	0.534E-07	0.156E-06	0.128E-07	0.000E+00	0.000E+00	0.000E+00
280.454	64.0	0.000E+00	0.000E+00	0.716E-07	0.111E-06	0.645E-08	0.000E+00	0.000E+00	0.000E+00
281.837	65.0	0.000E+00	0.938E-13	0.882E-07	0.784E-07	0.221E-08	0.000E+00	0.000E+00	0.000E+00
283.220	66.0	0.000E+00	0.658E-12	0.101E-06	0.549E-07	0.000E+00	0.000E+00	0.000E+00	0.000E+00
284.603	67.0	0.000E+00	0.334E-11	0.109E-06	0.381E-07	0.000E+00	0.000E+00	0.000E+00	0.000E+00
