E_lab	E*/MeV	185Po	186Po	187Po	188Po	189Po	190Po	191Po	192Po	193Po	194Po
226.099	26.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.280E-12	0.107E-13	0.867E-15	0.180E-11
227.460	27.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.132E-11	0.162E-13	0.904E-14	0.470E-11
228.821	28.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.540E-09	0.772E-11	0.469E-11	0.141E-08
230.182	29.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.203E-14	0.238E-08	0.163E-10	0.409E-10	0.394E-08
231.543	30.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.564E-13	0.838E-08	0.289E-10	0.310E-09	0.953E-08
232.904	31.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.972E-12	0.256E-07	0.400E-10	0.210E-08	0.216E-07
234.266	32.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.122E-10	0.700E-07	0.310E-10	0.127E-07	0.467E-07
235.627	33.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.118E-09	0.171E-06	0.000E+00	0.668E-07	0.956E-07
236.988	34.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.870E-09	0.358E-06	0.000E+00	0.286E-06	0.176E-06
238.349	35.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.444E-08	0.598E-06	0.000E+00	0.893E-06	0.265E-06
239.710	36.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.147E-07	0.745E-06	0.000E+00	0.191E-05	0.305E-06
241.071	37.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.334E-07	0.724E-06	0.000E+00	0.297E-05	0.273E-06
242.432	38.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.583E-07	0.596E-06	0.000E+00	0.374E-05	0.208E-06
243.793	39.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.837E-07	0.442E-06	0.000E+00	0.410E-05	0.143E-06
245.154	40.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.104E-06	0.307E-06	0.000E+00	0.409E-05	0.929E-07
246.516	41.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.114E-06	0.204E-06	0.000E+00	0.381E-05	0.580E-07
247.877	42.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.609E-12	0.114E-06	0.132E-06	0.197E-08	0.336E-05	0.352E-07
249.238	43.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.305E-11	0.106E-06	0.829E-07	0.760E-08	0.283E-05	0.209E-07
250.599	44.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.121E-10	0.916E-07	0.514E-07	0.234E-07	0.229E-05	0.123E-07
251.960	45.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.404E-10	0.754E-07	0.316E-07	0.393E-07	0.180E-05	0.685E-08
253.321	46.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.116E-09	0.595E-07	0.193E-07	0.572E-07	0.137E-05	0.344E-08
254.682	47.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.294E-09	0.453E-07	0.117E-07	0.749E-07	0.102E-05	0.648E-09
256.043	48.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.660E-09	0.335E-07	0.705E-08	0.900E-07	0.744E-06	0.000E+00
