E_lab	E*/MeV	184Bi	185Bi	186Bi	187Bi	188Bi	189Bi	190Bi	191Bi	192Bi	193Bi
213.849	17.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.360E-14	0.000E+00	0.000E+00
215.210	18.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.489E-13	0.000E+00	0.132E-20
216.571	19.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.572E-12	0.000E+00	0.541E-18
217.932	20.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.592E-11	0.000E+00	0.358E-16
219.293	21.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.554E-10	0.000E+00	0.129E-14
220.654	22.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.470E-09	0.000E+00	0.316E-13
222.016	23.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.356E-08	0.000E+00	0.574E-12
223.377	24.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.228E-07	0.000E+00	0.767E-11
224.738	25.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.217E-12	0.112E-06	0.000E+00	0.703E-10
226.099	26.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.361E-11	0.408E-06	0.000E+00	0.439E-09
227.460	27.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.364E-10	0.116E-05	0.000E+00	0.204E-08
228.821	28.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.260E-09	0.272E-05	0.000E+00	0.763E-08
230.182	29.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.143E-08	0.549E-05	0.000E+00	0.242E-07
231.543	30.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.646E-08	0.968E-05	0.000E+00	0.670E-07
232.904	31.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.245E-07	0.151E-04	0.295E-13	0.165E-06
234.266	32.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.805E-07	0.211E-04	0.254E-11	0.368E-06
