E_lab	E*/MeV	187Rn	188Rn	189Rn	190Rn	191Rn	192Rn	193Rn	194Rn	195Rn	196Rn
213.849	17.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.469E-10	0.000E+00
215.210	18.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.108E-09	0.000E+00
216.571	19.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.235E-09	0.000E+00
217.932	20.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.224E-15	0.497E-09	0.000E+00
219.293	21.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.328E-12	0.103E-08	0.000E+00
220.654	22.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.283E-10	0.211E-08	0.000E+00
222.016	23.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.659E-09	0.418E-08	0.000E+00
223.377	24.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.611E-08	0.757E-08	0.000E+00
224.738	25.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.269E-07	0.116E-07	0.000E+00
226.099	26.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.678E-07	0.146E-07	0.000E+00
227.460	27.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.117E-06	0.152E-07	0.000E+00
228.821	28.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.156E-06	0.137E-07	0.000E+00
230.182	29.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.176E-06	0.101E-07	0.000E+00
231.543	30.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.175E-06	0.192E-08	0.000E+00
232.904	31.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.159E-06	0.000E+00	0.000E+00
234.266	32.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.476E-11	0.134E-06	0.000E+00	0.000E+00
235.627	33.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.152E-09	0.105E-06	0.000E+00	0.000E+00
236.988	34.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.176E-08	0.787E-07	0.000E+00	0.000E+00
238.349	35.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.106E-07	0.561E-07	0.000E+00	0.000E+00
239.710	36.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.385E-07	0.385E-07	0.000E+00	0.000E+00
