E_lab	E*/MeV	185Po	186Po	187Po	188Po	189Po	190Po	191Po	192Po	193Po	194Po
213.849	17.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.101E-10	0.000E+00	0.206E-12
215.210	18.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.132E-15	0.422E-10	0.000E+00	0.215E-11
216.571	19.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.705E-14	0.148E-09	0.000E+00	0.200E-10
217.932	20.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.175E-12	0.453E-09	0.000E+00	0.166E-09
219.293	21.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.304E-11	0.125E-08	0.000E+00	0.122E-08
220.654	22.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.424E-10	0.321E-08	0.619E-13	0.795E-08
222.016	23.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.481E-09	0.773E-08	0.293E-11	0.449E-07
223.377	24.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.424E-08	0.168E-07	0.571E-10	0.207E-06
224.738	25.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.268E-07	0.307E-07	0.554E-09	0.709E-06
226.099	26.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.119E-06	0.449E-07	0.301E-08	0.176E-05
227.460	27.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.395E-06	0.537E-07	0.111E-07	0.337E-05
228.821	28.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.102E-05	0.551E-07	0.325E-07	0.531E-05
230.182	29.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.251E-11	0.216E-05	0.505E-07	0.870E-07	0.720E-05
231.543	30.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.311E-10	0.378E-05	0.424E-07	0.229E-06	0.866E-05
232.904	31.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.230E-09	0.556E-05	0.331E-07	0.585E-06	0.941E-05
234.266	32.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.121E-08	0.705E-05	0.238E-07	0.140E-05	0.939E-05
235.627	33.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.495E-08	0.786E-05	0.161E-07	0.307E-05	0.868E-05
236.988	34.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.166E-07	0.788E-05	0.915E-08	0.604E-05	0.751E-05
238.349	35.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.468E-07	0.723E-05	0.109E-08	0.106E-04	0.613E-05
239.710	36.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.112E-06	0.616E-05	0.000E+00	0.168E-04	0.475E-05
241.071	37.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.231E-06	0.494E-05	0.000E+00	0.239E-04	0.352E-05
242.432	38.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.411E-06	0.376E-05	0.000E+00	0.308E-04	0.251E-05
243.793	39.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.631E-06	0.273E-05	0.252E-08	0.362E-04	0.172E-05
245.154	40.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.848E-06	0.192E-05	0.214E-07	0.392E-04	0.115E-05
246.516	41.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.101E-05	0.130E-05	0.754E-07	0.395E-04	0.745E-06
247.877	42.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.625E-11	0.108E-05	0.857E-06	0.176E-06	0.374E-04	0.473E-06
249.238	43.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.321E-10	0.106E-05	0.552E-06	0.340E-06	0.335E-04	0.294E-06
250.599	44.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.132E-09	0.961E-06	0.349E-06	0.580E-06	0.286E-04	0.180E-06
251.960	45.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.454E-09	0.821E-06	0.217E-06	0.889E-06	0.234E-04	0.109E-06
