E_lab	E*/MeV	191Po	192Po	193Po	194Po	195Po	196Po	197Po
212.265	33.0	0.000E+00	0.000E+00	0.000E+00	0.767E-13	0.234E-08	0.224E-08	0.987E-12
213.612	34.0	0.000E+00	0.000E+00	0.000E+00	0.298E-11	0.106E-07	0.446E-08	0.158E-11
214.959	35.0	0.000E+00	0.000E+00	0.000E+00	0.655E-10	0.159E-05	0.157E-05	0.289E-08
216.305	36.0	0.000E+00	0.000E+00	0.000E+00	0.135E-08	0.163E-04	0.157E-04	0.517E-07
217.652	37.0	0.000E+00	0.000E+00	0.000E+00	0.183E-07	0.694E-04	0.396E-04	0.122E-06
218.999	38.0	0.000E+00	0.000E+00	0.000E+00	0.221E-06	0.272E-03	0.883E-04	0.227E-06
220.346	39.0	0.000E+00	0.000E+00	0.000E+00	0.229E-05	0.100E-02	0.190E-03	0.402E-06
221.693	40.0	0.000E+00	0.000E+00	0.000E+00	0.199E-04	0.344E-02	0.395E-03	0.696E-06
223.040	41.0	0.000E+00	0.000E+00	0.000E+00	0.140E-03	0.107E-01	0.780E-03	0.116E-05
224.387	42.0	0.000E+00	0.000E+00	0.000E+00	0.748E-03	0.274E-01	0.136E-02	0.175E-05
225.734	43.0	0.000E+00	0.000E+00	0.000E+00	0.270E-02	0.524E-01	0.187E-02	0.218E-05
227.081	44.0	0.000E+00	0.000E+00	0.000E+00	0.651E-02	0.716E-01	0.194E-02	0.209E-05
228.428	45.0	0.000E+00	0.000E+00	0.000E+00	0.117E-01	0.758E-01	0.158E-02	0.154E-05
229.775	46.0	0.000E+00	0.000E+00	0.573E-07	0.176E-01	0.685E-01	0.111E-02	0.897E-06
231.122	47.0	0.000E+00	0.000E+00	0.284E-06	0.236E-01	0.565E-01	0.705E-03	0.297E-06
232.469	48.0	0.000E+00	0.000E+00	0.100E-05	0.291E-01	0.441E-01	0.428E-03	0.000E+00
233.816	49.0	0.000E+00	0.000E+00	0.293E-05	0.334E-01	0.332E-01	0.254E-03	0.000E+00
235.163	50.0	0.000E+00	0.000E+00	0.773E-05	0.360E-01	0.243E-01	0.148E-03	0.000E+00
236.510	51.0	0.000E+00	0.000E+00	0.190E-04	0.367E-01	0.175E-01	0.861E-04	0.000E+00
237.857	52.0	0.000E+00	0.000E+00	0.433E-04	0.357E-01	0.123E-01	0.496E-04	0.000E+00
239.203	53.0	0.000E+00	0.000E+00	0.912E-04	0.331E-01	0.859E-02	0.284E-04	0.000E+00
240.550	54.0	0.000E+00	0.000E+00	0.177E-03	0.296E-01	0.590E-02	0.161E-04	0.000E+00
241.897	55.0	0.000E+00	0.000E+00	0.318E-03	0.255E-01	0.400E-02	0.907E-05	0.000E+00
243.244	56.0	0.000E+00	0.000E+00	0.532E-03	0.213E-01	0.269E-02	0.503E-05	0.000E+00
244.591	57.0	0.000E+00	0.264E-08	0.830E-03	0.174E-01	0.179E-02	0.267E-05	0.000E+00
