E_lab	E*/MeV	188At	189At	190At	191At	192At	193At	194At	195At	196At	197At
241.254	27.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.901E-16	0.283E-10	0.606E-13
242.648	28.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.285E-14	0.975E-10	0.926E-13
244.043	29.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.789E-12	0.173E-07	0.888E-10
245.437	30.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.241E-10	0.119E-06	0.474E-09
246.831	31.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.338E-09	0.355E-06	0.936E-09
248.226	32.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.359E-08	0.919E-06	0.157E-08
249.620	33.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.305E-07	0.222E-05	0.255E-08
251.014	34.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.211E-06	0.502E-05	0.379E-08
252.409	35.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.116E-05	0.105E-04	0.501E-08
253.803	36.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.472E-05	0.187E-04	0.000E+00
255.198	37.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.129E-04	0.260E-04	0.000E+00
256.592	38.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.232E-04	0.271E-04	0.000E+00
257.986	39.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.134E-10	0.308E-04	0.225E-04	0.000E+00
259.381	40.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.120E-09	0.334E-04	0.163E-04	0.000E+00
260.775	41.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.749E-09	0.320E-04	0.108E-04	0.000E+00
262.169	42.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.351E-08	0.280E-04	0.687E-05	0.000E+00
263.564	43.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.131E-07	0.231E-04	0.422E-05	0.000E+00
264.958	44.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.402E-07	0.181E-04	0.255E-05	0.000E+00
266.352	45.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.105E-06	0.137E-04	0.152E-05	0.000E+00
267.747	46.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.234E-06	0.100E-04	0.897E-06	0.000E+00
269.141	47.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.459E-06	0.715E-05	0.526E-06	0.000E+00
270.536	48.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.794E-06	0.499E-05	0.305E-06	0.000E+00
271.930	49.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.123E-05	0.342E-05	0.176E-06	0.000E+00
273.324	50.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.220E-11	0.171E-05	0.231E-05	0.992E-07	0.000E+00
274.719	51.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.139E-10	0.217E-05	0.154E-05	0.507E-07	0.000E+00
276.113	52.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.683E-10	0.254E-05	0.102E-05	0.249E-07	0.000E+00
277.507	53.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.270E-09	0.277E-05	0.664E-06	0.331E-08	0.000E+00
278.902	54.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.880E-09	0.283E-05	0.430E-06	0.000E+00	0.000E+00
280.296	55.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.242E-08	0.274E-05	0.277E-06	0.000E+00	0.000E+00
281.690	56.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.568E-08	0.253E-05	0.177E-06	0.000E+00	0.000E+00
283.085	57.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.116E-07	0.225E-05	0.112E-06	0.000E+00	0.000E+00
284.479	58.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.210E-07	0.193E-05	0.706E-07	0.000E+00	0.000E+00
285.874	59.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.339E-07	0.161E-05	0.440E-07	0.000E+00	0.000E+00
287.268	60.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.496E-07	0.130E-05	0.271E-07	0.000E+00	0.000E+00
288.662	61.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.665E-07	0.103E-05	0.162E-07	0.000E+00	0.000E+00
290.057	62.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.924E-13	0.827E-07	0.801E-06	0.912E-08	0.000E+00	0.000E+00
291.451	63.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.514E-12	0.961E-07	0.611E-06	0.443E-08	0.000E+00	0.000E+00
292.845	64.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.235E-11	0.105E-06	0.460E-06	0.607E-09	0.000E+00	0.000E+00
294.240	65.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.902E-11	0.110E-06	0.341E-06	0.000E+00	0.000E+00	0.000E+00
295.634	66.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.297E-10	0.110E-06	0.250E-06	0.000E+00	0.000E+00	0.000E+00
