E_lab	E*/MeV	191Po	192Po	193Po	194Po	195Po	196Po	197Po	198Po
180.999	49.0	0.000E+00	0.000E+00	0.000E+00	0.839E-10	0.229E-07	0.518E-08	0.879E-11	0.000E+00
182.251	50.0	0.000E+00	0.000E+00	0.000E+00	0.609E-09	0.782E-07	0.108E-07	0.152E-10	0.000E+00
183.502	51.0	0.000E+00	0.000E+00	0.000E+00	0.889E-07	0.200E-04	0.105E-04	0.483E-07	0.000E+00
184.754	52.0	0.000E+00	0.000E+00	0.000E+00	0.783E-06	0.907E-04	0.373E-04	0.184E-06	0.000E+00
186.005	53.0	0.000E+00	0.000E+00	0.000E+00	0.520E-05	0.307E-03	0.876E-04	0.386E-06	0.000E+00
187.257	54.0	0.000E+00	0.000E+00	0.000E+00	0.309E-04	0.985E-03	0.195E-03	0.738E-06	0.000E+00
188.508	55.0	0.000E+00	0.000E+00	0.000E+00	0.167E-03	0.302E-02	0.424E-03	0.137E-05	0.000E+00
189.760	56.0	0.000E+00	0.000E+00	0.000E+00	0.811E-03	0.881E-02	0.897E-03	0.249E-05	0.000E+00
191.012	57.0	0.000E+00	0.000E+00	0.782E-08	0.346E-02	0.235E-01	0.179E-02	0.432E-05	0.000E+00
192.263	58.0	0.000E+00	0.000E+00	0.937E-07	0.119E-01	0.530E-01	0.314E-02	0.678E-05	0.000E+00
193.515	59.0	0.000E+00	0.000E+00	0.645E-06	0.301E-01	0.921E-01	0.443E-02	0.886E-05	0.000E+00
194.766	60.0	0.000E+00	0.000E+00	0.280E-05	0.554E-01	0.121E+00	0.483E-02	0.925E-05	0.000E+00
196.018	61.0	0.000E+00	0.000E+00	0.909E-05	0.803E-01	0.127E+00	0.427E-02	0.794E-05	0.000E+00
197.269	62.0	0.000E+00	0.000E+00	0.248E-04	0.999E-01	0.117E+00	0.328E-02	0.572E-05	0.000E+00
198.521	63.0	0.000E+00	0.000E+00	0.603E-04	0.113E+00	0.984E-01	0.231E-02	0.367E-05	0.000E+00
199.773	64.0	0.000E+00	0.000E+00	0.133E-03	0.120E+00	0.790E-01	0.155E-02	0.209E-05	0.000E+00
201.024	65.0	0.000E+00	0.000E+00	0.270E-03	0.122E+00	0.614E-01	0.101E-02	0.892E-06	0.000E+00
202.276	66.0	0.000E+00	0.000E+00	0.506E-03	0.119E+00	0.467E-01	0.648E-03	0.000E+00	0.000E+00
203.527	67.0	0.000E+00	0.000E+00	0.882E-03	0.113E+00	0.350E-01	0.412E-03	0.000E+00	0.000E+00
204.779	68.0	0.000E+00	0.000E+00	0.144E-02	0.103E+00	0.259E-01	0.260E-03	0.000E+00	0.000E+00
206.030	69.0	0.000E+00	0.307E-07	0.222E-02	0.924E-01	0.190E-01	0.163E-03	0.000E+00	0.000E+00
207.282	70.0	0.000E+00	0.115E-06	0.324E-02	0.807E-01	0.137E-01	0.102E-03	0.000E+00	0.000E+00
208.534	71.0	0.000E+00	0.392E-06	0.449E-02	0.690E-01	0.988E-02	0.634E-04	0.000E+00	0.000E+00
209.785	72.0	0.000E+00	0.120E-05	0.593E-02	0.579E-01	0.704E-02	0.393E-04	0.000E+00	0.000E+00
211.037	73.0	0.000E+00	0.333E-05	0.749E-02	0.477E-01	0.498E-02	0.241E-04	0.000E+00	0.000E+00
212.288	74.0	0.000E+00	0.834E-05	0.907E-02	0.387E-01	0.350E-02	0.147E-04	0.000E+00	0.000E+00
213.540	75.0	0.000E+00	0.190E-04	0.106E-01	0.309E-01	0.244E-02	0.887E-05	0.000E+00	0.000E+00
214.791	76.0	0.000E+00	0.398E-04	0.119E-01	0.244E-01	0.169E-02	0.528E-05	0.000E+00	0.000E+00
216.043	77.0	0.000E+00	0.767E-04	0.129E-01	0.190E-01	0.117E-02	0.301E-05	0.000E+00	0.000E+00
217.295	78.0	0.000E+00	0.137E-03	0.135E-01	0.146E-01	0.801E-03	0.163E-05	0.000E+00	0.000E+00
218.546	79.0	0.000E+00	0.230E-03	0.138E-01	0.112E-01	0.547E-03	0.772E-06	0.000E+00	0.000E+00
219.798	80.0	0.000E+00	0.360E-03	0.137E-01	0.845E-02	0.372E-03	0.165E-06	0.000E+00	0.000E+00
221.049	81.0	0.192E-08	0.533E-03	0.132E-01	0.634E-02	0.252E-03	0.000E+00	0.000E+00	0.000E+00
222.301	82.0	0.618E-08	0.746E-03	0.125E-01	0.472E-02	0.170E-03	0.000E+00	0.000E+00	0.000E+00
223.552	83.0	0.183E-07	0.994E-03	0.116E-01	0.348E-02	0.114E-03	0.000E+00	0.000E+00	0.000E+00
224.804	84.0	0.505E-07	0.126E-02	0.105E-01	0.256E-02	0.759E-04	0.000E+00	0.000E+00	0.000E+00
226.056	85.0	0.130E-06	0.154E-02	0.936E-02	0.186E-02	0.505E-04	0.000E+00	0.000E+00	0.000E+00
227.307	86.0	0.313E-06	0.180E-02	0.820E-02	0.135E-02	0.334E-04	0.000E+00	0.000E+00	0.000E+00
228.559	87.0	0.702E-06	0.203E-02	0.709E-02	0.975E-03	0.220E-04	0.000E+00	0.000E+00	0.000E+00
229.810	88.0	0.147E-05	0.222E-02	0.604E-02	0.699E-03	0.144E-04	0.000E+00	0.000E+00	0.000E+00
231.062	89.0	0.287E-05	0.235E-02	0.508E-02	0.499E-03	0.942E-05	0.000E+00	0.000E+00	0.000E+00
232.313	90.0	0.528E-05	0.242E-02	0.422E-02	0.354E-03	0.607E-05	0.000E+00	0.000E+00	0.000E+00
