E_lab	E*/MeV	191Po	192Po	193Po	194Po	195Po	196Po	197Po
223.949	32.0	0.000E+00	0.000E+00	0.863E-12	0.159E-09	0.520E-12	0.259E-09	0.308E-09
225.302	33.0	0.000E+00	0.000E+00	0.717E-11	0.352E-09	0.863E-12	0.112E-08	0.759E-09
226.656	34.0	0.000E+00	0.000E+00	0.327E-08	0.324E-06	0.577E-08	0.325E-06	0.536E-06
228.010	35.0	0.000E+00	0.000E+00	0.247E-07	0.971E-06	0.158E-07	0.154E-05	0.173E-05
229.364	36.0	0.000E+00	0.000E+00	0.156E-06	0.235E-05	0.314E-07	0.646E-05	0.463E-05
230.717	37.0	0.000E+00	0.000E+00	0.899E-06	0.536E-05	0.638E-07	0.256E-04	0.118E-04
232.071	38.0	0.000E+00	0.130E-10	0.469E-05	0.118E-04	0.169E-06	0.953E-04	0.286E-04
233.425	39.0	0.000E+00	0.263E-09	0.218E-04	0.245E-04	0.689E-06	0.326E-03	0.658E-04
234.779	40.0	0.000E+00	0.352E-08	0.843E-04	0.461E-04	0.341E-05	0.962E-03	0.136E-03
236.132	41.0	0.000E+00	0.299E-07	0.244E-03	0.711E-04	0.141E-04	0.219E-02	0.227E-03
237.486	42.0	0.000E+00	0.160E-06	0.491E-03	0.834E-04	0.417E-04	0.357E-02	0.287E-03
238.840	43.0	0.000E+00	0.588E-06	0.720E-03	0.759E-04	0.916E-04	0.436E-02	0.280E-03
240.194	44.0	0.000E+00	0.168E-05	0.849E-03	0.576E-04	0.167E-03	0.443E-02	0.227E-03
241.547	45.0	0.000E+00	0.407E-05	0.870E-03	0.390E-04	0.270E-03	0.402E-02	0.165E-03
242.901	46.0	0.000E+00	0.866E-05	0.815E-03	0.248E-04	0.407E-03	0.342E-02	0.112E-03
244.255	47.0	0.000E+00	0.165E-04	0.716E-03	0.152E-04	0.577E-03	0.277E-02	0.731E-04
245.608	48.0	0.000E+00	0.285E-04	0.599E-03	0.930E-05	0.780E-03	0.218E-02	0.467E-04
246.962	49.0	0.000E+00	0.448E-04	0.483E-03	0.594E-05	0.101E-02	0.167E-02	0.294E-04
248.316	50.0	0.000E+00	0.642E-04	0.377E-03	0.458E-05	0.124E-02	0.125E-02	0.183E-04
249.670	51.0	0.208E-09	0.844E-04	0.286E-03	0.520E-05	0.147E-02	0.923E-03	0.113E-04
251.023	52.0	0.947E-09	0.102E-03	0.213E-03	0.842E-05	0.166E-02	0.668E-03	0.695E-05
252.377	53.0	0.362E-08	0.115E-03	0.155E-03	0.155E-04	0.181E-02	0.476E-03	0.424E-05
253.731	54.0	0.120E-07	0.122E-03	0.111E-03	0.284E-04	0.189E-02	0.335E-03	0.257E-05
255.085	55.0	0.354E-07	0.122E-03	0.781E-04	0.493E-04	0.190E-02	0.233E-03	0.155E-05
256.438	56.0	0.930E-07	0.116E-03	0.543E-04	0.803E-04	0.185E-02	0.160E-03	0.924E-06
257.792	57.0	0.221E-06	0.105E-03	0.374E-04	0.123E-03	0.175E-02	0.109E-03	0.548E-06
259.146	58.0	0.476E-06	0.919E-04	0.254E-04	0.178E-03	0.160E-02	0.738E-04	0.322E-06
260.500	59.0	0.939E-06	0.779E-04	0.172E-04	0.242E-03	0.142E-02	0.495E-04	0.188E-06
261.853	60.0	0.170E-05	0.641E-04	0.115E-04	0.313E-03	0.123E-02	0.329E-04	0.107E-06
263.207	61.0	0.282E-05	0.515E-04	0.771E-05	0.384E-03	0.104E-02	0.218E-04	0.594E-07
264.561	62.0	0.435E-05	0.405E-04	0.521E-05	0.450E-03	0.864E-03	0.143E-04	0.317E-07
265.915	63.0	0.621E-05	0.312E-04	0.367E-05	0.504E-03	0.703E-03	0.936E-05	0.141E-07
267.268	64.0	0.828E-05	0.237E-04	0.287E-05	0.541E-03	0.562E-03	0.607E-05	0.000E+00
268.622	65.0	0.104E-04	0.177E-04	0.275E-05	0.560E-03	0.442E-03	0.392E-05	0.000E+00
269.976	66.0	0.122E-04	0.131E-04	0.336E-05	0.559E-03	0.343E-03	0.251E-05	0.000E+00
