E_lab	E*/MeV	192At	193At	194At	195At	196At	197At	198At
204.996	18.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.714E-11	0.352E-08
206.350	19.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.141E-09	0.176E-07
207.704	20.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.200E-08	0.788E-07
209.057	21.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.218E-07	0.315E-06
210.411	22.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.192E-06	0.113E-05
211.765	23.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.137E-05	0.357E-05
213.119	24.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.743E-05	0.928E-05
214.472	25.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.287E-04	0.184E-04
215.826	26.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.826E-04	0.284E-04
217.180	27.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.986E-10	0.193E-03	0.369E-04
218.534	28.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.279E-08	0.375E-03	0.422E-04
219.887	29.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.371E-07	0.616E-03	0.434E-04
221.241	30.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.305E-06	0.885E-03	0.412E-04
222.595	31.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.174E-05	0.113E-02	0.366E-04
223.949	32.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.733E-05	0.131E-02	0.307E-04
225.302	33.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.244E-04	0.139E-02	0.245E-04
226.656	34.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.665E-04	0.136E-02	0.186E-04
228.010	35.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.155E-03	0.125E-02	0.136E-04
229.364	36.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.318E-03	0.109E-02	0.952E-05
230.717	37.0	0.000E+00	0.000E+00	0.000E+00	0.554E-09	0.580E-03	0.897E-03	0.645E-05
232.071	38.0	0.000E+00	0.000E+00	0.000E+00	0.764E-08	0.955E-03	0.709E-03	0.424E-05
233.425	39.0	0.000E+00	0.000E+00	0.000E+00	0.648E-07	0.142E-02	0.538E-03	0.271E-05
234.779	40.0	0.000E+00	0.000E+00	0.000E+00	0.382E-06	0.191E-02	0.393E-03	0.167E-05
236.132	41.0	0.000E+00	0.000E+00	0.000E+00	0.168E-05	0.235E-02	0.279E-03	0.100E-05
237.486	42.0	0.000E+00	0.000E+00	0.000E+00	0.584E-05	0.265E-02	0.192E-03	0.573E-06
238.840	43.0	0.000E+00	0.000E+00	0.000E+00	0.166E-04	0.276E-02	0.128E-03	0.303E-06
240.194	44.0	0.000E+00	0.000E+00	0.000E+00	0.399E-04	0.269E-02	0.840E-04	0.135E-06
241.547	45.0	0.000E+00	0.000E+00	0.000E+00	0.829E-04	0.247E-02	0.538E-04	0.000E+00
242.901	46.0	0.000E+00	0.000E+00	0.000E+00	0.151E-03	0.215E-02	0.338E-04	0.000E+00
244.255	47.0	0.000E+00	0.000E+00	0.000E+00	0.246E-03	0.178E-02	0.209E-04	0.000E+00
245.608	48.0	0.000E+00	0.000E+00	0.000E+00	0.358E-03	0.143E-02	0.127E-04	0.000E+00
246.962	49.0	0.000E+00	0.000E+00	0.262E-09	0.474E-03	0.110E-02	0.756E-05	0.000E+00
248.316	50.0	0.000E+00	0.000E+00	0.183E-08	0.573E-03	0.827E-03	0.445E-05	0.000E+00
249.670	51.0	0.000E+00	0.000E+00	0.973E-08	0.641E-03	0.605E-03	0.258E-05	0.000E+00
251.023	52.0	0.000E+00	0.000E+00	0.411E-07	0.669E-03	0.433E-03	0.147E-05	0.000E+00
252.377	53.0	0.000E+00	0.000E+00	0.142E-06	0.658E-03	0.304E-03	0.804E-06	0.000E+00
253.731	54.0	0.000E+00	0.000E+00	0.418E-06	0.614E-03	0.210E-03	0.433E-06	0.000E+00
255.085	55.0	0.000E+00	0.000E+00	0.106E-05	0.549E-03	0.143E-03	0.206E-06	0.000E+00
256.438	56.0	0.000E+00	0.000E+00	0.238E-05	0.472E-03	0.964E-04	0.717E-07	0.000E+00
257.792	57.0	0.000E+00	0.000E+00	0.477E-05	0.392E-03	0.643E-04	0.000E+00	0.000E+00
259.146	58.0	0.000E+00	0.000E+00	0.866E-05	0.317E-03	0.425E-04	0.000E+00	0.000E+00
260.500	59.0	0.000E+00	0.000E+00	0.144E-04	0.250E-03	0.279E-04	0.000E+00	0.000E+00
261.853	60.0	0.000E+00	0.613E-10	0.219E-04	0.194E-03	0.182E-04	0.000E+00	0.000E+00
263.207	61.0	0.000E+00	0.324E-09	0.309E-04	0.147E-03	0.118E-04	0.000E+00	0.000E+00
264.561	62.0	0.000E+00	0.140E-08	0.407E-04	0.110E-03	0.757E-05	0.000E+00	0.000E+00
