E_lab	E*/MeV	190Rn	191Rn	192Rn	193Rn	194Rn	195Rn	196Rn	197Rn	198Rn	199Rn
223.949	32.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.408E-12	0.119E-10	0.000E+00	0.000E+00
225.302	33.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.387E-11	0.216E-10	0.000E+00	0.000E+00
226.656	34.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.185E-08	0.154E-07	0.000E+00	0.000E+00
228.010	35.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.124E-07	0.361E-07	0.000E+00	0.000E+00
229.364	36.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.573E-07	0.702E-07	0.000E+00	0.000E+00
230.717	37.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.211E-06	0.133E-06	0.000E+00	0.000E+00
232.071	38.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.661E-06	0.245E-06	0.000E+00	0.000E+00
233.425	39.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.179E-05	0.437E-06	0.000E+00	0.000E+00
234.779	40.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.113E-11	0.404E-05	0.708E-06	0.000E+00	0.000E+00
236.132	41.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.714E-10	0.689E-05	0.942E-06	0.000E+00	0.000E+00
237.486	42.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.132E-08	0.839E-05	0.958E-06	0.000E+00	0.000E+00
238.840	43.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.109E-07	0.780E-05	0.761E-06	0.000E+00	0.000E+00
240.194	44.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.536E-07	0.614E-05	0.510E-06	0.000E+00	0.000E+00
241.547	45.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.186E-06	0.439E-05	0.307E-06	0.000E+00	0.000E+00
242.901	46.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.487E-06	0.297E-05	0.152E-06	0.000E+00	0.000E+00
244.255	47.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.100E-05	0.195E-05	0.219E-07	0.000E+00	0.000E+00
245.608	48.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.168E-05	0.125E-05	0.000E+00	0.000E+00	0.000E+00
246.962	49.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.236E-05	0.795E-06	0.000E+00	0.000E+00	0.000E+00
248.316	50.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.290E-05	0.499E-06	0.000E+00	0.000E+00	0.000E+00
249.670	51.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.176E-11	0.320E-05	0.310E-06	0.000E+00	0.000E+00	0.000E+00
251.023	52.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.200E-10	0.325E-05	0.191E-06	0.000E+00	0.000E+00	0.000E+00
252.377	53.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.146E-09	0.309E-05	0.118E-06	0.000E+00	0.000E+00	0.000E+00
253.731	54.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.730E-09	0.277E-05	0.704E-07	0.000E+00	0.000E+00	0.000E+00
255.085	55.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.266E-08	0.238E-05	0.414E-07	0.000E+00	0.000E+00	0.000E+00
256.438	56.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.736E-08	0.197E-05	0.218E-07	0.000E+00	0.000E+00	0.000E+00
