E_lab	E*/MeV	195Rn	196Rn	197Rn	198Rn	199Rn	200Rn	201Rn
222.216	36.0	0.000E+00	0.000E+00	0.000E+00	0.706E-10	0.186E-10	0.000E+00	0.000E+00
223.565	37.0	0.000E+00	0.000E+00	0.000E+00	0.213E-09	0.328E-10	0.000E+00	0.000E+00
224.914	38.0	0.000E+00	0.000E+00	0.000E+00	0.777E-07	0.232E-07	0.000E+00	0.000E+00
226.263	39.0	0.000E+00	0.000E+00	0.000E+00	0.282E-06	0.693E-07	0.000E+00	0.000E+00
227.612	40.0	0.000E+00	0.000E+00	0.226E-11	0.757E-06	0.138E-06	0.000E+00	0.000E+00
228.961	41.0	0.000E+00	0.000E+00	0.940E-10	0.188E-05	0.261E-06	0.000E+00	0.000E+00
230.310	42.0	0.000E+00	0.000E+00	0.223E-08	0.446E-05	0.487E-06	0.000E+00	0.000E+00
231.659	43.0	0.000E+00	0.000E+00	0.340E-07	0.996E-05	0.883E-06	0.000E+00	0.000E+00
233.008	44.0	0.000E+00	0.000E+00	0.346E-06	0.201E-04	0.150E-05	0.000E+00	0.000E+00
234.357	45.0	0.000E+00	0.000E+00	0.224E-05	0.333E-04	0.217E-05	0.000E+00	0.000E+00
235.706	46.0	0.000E+00	0.000E+00	0.868E-05	0.412E-04	0.240E-05	0.000E+00	0.000E+00
237.055	47.0	0.000E+00	0.000E+00	0.210E-04	0.386E-04	0.201E-05	0.000E+00	0.000E+00
238.404	48.0	0.000E+00	0.000E+00	0.361E-04	0.298E-04	0.135E-05	0.000E+00	0.000E+00
239.753	49.0	0.000E+00	0.000E+00	0.496E-04	0.205E-04	0.777E-06	0.000E+00	0.000E+00
241.102	50.0	0.000E+00	0.254E-10	0.585E-04	0.133E-04	0.388E-06	0.000E+00	0.000E+00
242.451	51.0	0.000E+00	0.316E-09	0.619E-04	0.837E-05	0.244E-07	0.000E+00	0.000E+00
243.800	52.0	0.000E+00	0.243E-08	0.604E-04	0.518E-05	0.000E+00	0.000E+00	0.000E+00
245.149	53.0	0.000E+00	0.126E-07	0.553E-04	0.318E-05	0.000E+00	0.000E+00	0.000E+00
246.498	54.0	0.000E+00	0.475E-07	0.481E-04	0.194E-05	0.000E+00	0.000E+00	0.000E+00
247.847	55.0	0.000E+00	0.135E-06	0.401E-04	0.117E-05	0.000E+00	0.000E+00	0.000E+00
249.196	56.0	0.000E+00	0.301E-06	0.323E-04	0.703E-06	0.000E+00	0.000E+00	0.000E+00
250.545	57.0	0.000E+00	0.551E-06	0.252E-04	0.422E-06	0.000E+00	0.000E+00	0.000E+00
251.894	58.0	0.000E+00	0.856E-06	0.193E-04	0.244E-06	0.000E+00	0.000E+00	0.000E+00
253.243	59.0	0.000E+00	0.117E-05	0.144E-04	0.135E-06	0.000E+00	0.000E+00	0.000E+00
254.592	60.0	0.000E+00	0.143E-05	0.106E-04	0.597E-07	0.000E+00	0.000E+00	0.000E+00
255.941	61.0	0.000E+00	0.161E-05	0.763E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00
257.290	62.0	0.524E-11	0.170E-05	0.544E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00
258.639	63.0	0.373E-10	0.168E-05	0.384E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00
