E_lab	E*/MeV	196At	197At	198At	199At	200At	201At	202At
170.329	31.0	0.000E+00	0.000E+00	0.000E+00	0.444E-07	0.290E-06	0.490E-08	0.000E+00
171.615	32.0	0.000E+00	0.000E+00	0.000E+00	0.408E-06	0.129E-05	0.143E-07	0.000E+00
172.902	33.0	0.000E+00	0.000E+00	0.000E+00	0.307E-05	0.526E-05	0.404E-07	0.000E+00
174.189	34.0	0.000E+00	0.000E+00	0.000E+00	0.199E-04	0.198E-04	0.110E-06	0.000E+00
175.475	35.0	0.000E+00	0.000E+00	0.000E+00	0.115E-03	0.687E-04	0.285E-06	0.000E+00
176.762	36.0	0.000E+00	0.000E+00	0.000E+00	0.567E-03	0.212E-03	0.687E-06	0.000E+00
178.049	37.0	0.000E+00	0.000E+00	0.428E-08	0.216E-02	0.526E-03	0.141E-05	0.000E+00
179.335	38.0	0.000E+00	0.000E+00	0.202E-06	0.589E-02	0.982E-03	0.225E-05	0.000E+00
180.622	39.0	0.000E+00	0.000E+00	0.340E-05	0.122E-01	0.143E-02	0.281E-05	0.000E+00
181.908	40.0	0.000E+00	0.000E+00	0.297E-04	0.210E-01	0.173E-02	0.291E-05	0.000E+00
183.195	41.0	0.000E+00	0.000E+00	0.163E-03	0.316E-01	0.188E-02	0.266E-05	0.000E+00
184.482	42.0	0.000E+00	0.000E+00	0.623E-03	0.432E-01	0.188E-02	0.224E-05	0.000E+00
185.768	43.0	0.000E+00	0.000E+00	0.181E-02	0.541E-01	0.177E-02	0.175E-05	0.000E+00
187.055	44.0	0.000E+00	0.000E+00	0.425E-02	0.623E-01	0.158E-02	0.129E-05	0.000E+00
188.342	45.0	0.000E+00	0.000E+00	0.858E-02	0.668E-01	0.135E-02	0.827E-06	0.000E+00
189.628	46.0	0.000E+00	0.105E-07	0.154E-01	0.673E-01	0.110E-02	0.290E-06	0.000E+00
190.915	47.0	0.000E+00	0.273E-06	0.255E-01	0.644E-01	0.862E-03	0.000E+00	0.000E+00
192.201	48.0	0.000E+00	0.350E-05	0.391E-01	0.590E-01	0.658E-03	0.000E+00	0.000E+00
193.488	49.0	0.000E+00	0.270E-04	0.561E-01	0.520E-01	0.489E-03	0.000E+00	0.000E+00
194.775	50.0	0.000E+00	0.139E-03	0.758E-01	0.442E-01	0.356E-03	0.000E+00	0.000E+00
196.061	51.0	0.000E+00	0.514E-03	0.962E-01	0.365E-01	0.254E-03	0.000E+00	0.000E+00
197.348	52.0	0.000E+00	0.148E-02	0.115E+00	0.292E-01	0.177E-03	0.000E+00	0.000E+00
198.635	53.0	0.000E+00	0.350E-02	0.129E+00	0.228E-01	0.122E-03	0.000E+00	0.000E+00
199.921	54.0	0.000E+00	0.711E-02	0.138E+00	0.174E-01	0.822E-04	0.000E+00	0.000E+00
201.208	55.0	0.000E+00	0.128E-01	0.140E+00	0.130E-01	0.544E-04	0.000E+00	0.000E+00
202.494	56.0	0.000E+00	0.210E-01	0.136E+00	0.946E-02	0.354E-04	0.000E+00	0.000E+00
203.781	57.0	0.000E+00	0.315E-01	0.126E+00	0.677E-02	0.225E-04	0.000E+00	0.000E+00
205.068	58.0	0.197E-07	0.438E-01	0.113E+00	0.476E-02	0.139E-04	0.000E+00	0.000E+00
206.354	59.0	0.192E-06	0.567E-01	0.970E-01	0.329E-02	0.823E-05	0.000E+00	0.000E+00
207.641	60.0	0.126E-05	0.684E-01	0.808E-01	0.224E-02	0.465E-05	0.000E+00	0.000E+00
208.928	61.0	0.597E-05	0.776E-01	0.653E-01	0.150E-02	0.216E-05	0.000E+00	0.000E+00
210.214	62.0	0.216E-04	0.830E-01	0.514E-01	0.987E-03	0.000E+00	0.000E+00	0.000E+00
211.501	63.0	0.627E-04	0.843E-01	0.395E-01	0.642E-03	0.000E+00	0.000E+00	0.000E+00
212.787	64.0	0.151E-03	0.817E-01	0.296E-01	0.412E-03	0.000E+00	0.000E+00	0.000E+00
214.074	65.0	0.315E-03	0.759E-01	0.218E-01	0.261E-03	0.000E+00	0.000E+00	0.000E+00
215.361	66.0	0.581E-03	0.680E-01	0.158E-01	0.164E-03	0.000E+00	0.000E+00	0.000E+00
216.647	67.0	0.973E-03	0.590E-01	0.113E-01	0.102E-03	0.000E+00	0.000E+00	0.000E+00
217.934	68.0	0.150E-02	0.497E-01	0.792E-02	0.624E-04	0.000E+00	0.000E+00	0.000E+00
219.221	69.0	0.215E-02	0.409E-01	0.551E-02	0.378E-04	0.000E+00	0.000E+00	0.000E+00
220.507	70.0	0.290E-02	0.329E-01	0.379E-02	0.227E-04	0.000E+00	0.000E+00	0.000E+00
221.794	71.0	0.368E-02	0.259E-01	0.259E-02	0.134E-04	0.000E+00	0.000E+00	0.000E+00
223.080	72.0	0.442E-02	0.201E-01	0.176E-02	0.774E-05	0.000E+00	0.000E+00	0.000E+00
224.367	73.0	0.506E-02	0.154E-01	0.118E-02	0.428E-05	0.000E+00	0.000E+00	0.000E+00
225.654	74.0	0.555E-02	0.116E-01	0.793E-03	0.223E-05	0.000E+00	0.000E+00	0.000E+00
226.940	75.0	0.584E-02	0.866E-02	0.529E-03	0.991E-06	0.000E+00	0.000E+00	0.000E+00
228.227	76.0	0.593E-02	0.640E-02	0.351E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00
229.514	77.0	0.583E-02	0.469E-02	0.232E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00
230.800	78.0	0.556E-02	0.340E-02	0.153E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00
232.087	79.0	0.517E-02	0.246E-02	0.101E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00
233.373	80.0	0.469E-02	0.176E-02	0.658E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00
234.660	81.0	0.416E-02	0.125E-02	0.429E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00
235.947	82.0	0.363E-02	0.889E-03	0.278E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00
237.233	83.0	0.310E-02	0.627E-03	0.180E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00
238.520	84.0	0.261E-02	0.440E-03	0.116E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00
239.807	85.0	0.217E-02	0.308E-03	0.740E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00
241.093	86.0	0.178E-02	0.214E-03	0.467E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00
242.380	87.0	0.144E-02	0.149E-03	0.291E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00
243.666	88.0	0.115E-02	0.103E-03	0.180E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00
244.953	89.0	0.912E-03	0.707E-04	0.108E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00
246.240	90.0	0.716E-03	0.485E-04	0.615E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00
