E_lab	E*/MeV	196Po	197Po	198Po	199Po	200Po	201Po	202Po
182.760	44.0	0.000E+00	0.000E+00	0.892E-11	0.360E-07	0.329E-07	0.347E-10	0.000E+00
184.037	45.0	0.000E+00	0.000E+00	0.155E-09	0.139E-06	0.842E-07	0.635E-10	0.000E+00
185.314	46.0	0.000E+00	0.000E+00	0.749E-08	0.271E-04	0.389E-04	0.148E-06	0.792E-10
186.591	47.0	0.000E+00	0.000E+00	0.119E-06	0.144E-03	0.169E-03	0.652E-06	0.552E-09
187.867	48.0	0.000E+00	0.000E+00	0.136E-05	0.563E-03	0.487E-03	0.161E-05	0.146E-08
189.144	49.0	0.000E+00	0.000E+00	0.131E-04	0.208E-02	0.128E-02	0.335E-05	0.225E-08
190.421	50.0	0.000E+00	0.000E+00	0.107E-03	0.737E-02	0.325E-02	0.666E-05	0.424E-09
191.697	51.0	0.000E+00	0.000E+00	0.740E-03	0.247E-01	0.788E-02	0.128E-04	0.000E+00
192.974	52.0	0.000E+00	0.000E+00	0.414E-02	0.742E-01	0.176E-01	0.235E-04	0.000E+00
194.251	53.0	0.000E+00	0.000E+00	0.170E-01	0.181E+00	0.330E-01	0.383E-04	0.000E+00
195.528	54.0	0.000E+00	0.000E+00	0.472E-01	0.324E+00	0.481E-01	0.523E-04	0.000E+00
196.804	55.0	0.000E+00	0.296E-06	0.931E-01	0.436E+00	0.543E-01	0.588E-04	0.000E+00
198.081	56.0	0.000E+00	0.184E-05	0.146E+00	0.481E+00	0.506E-01	0.561E-04	0.000E+00
199.358	57.0	0.000E+00	0.853E-05	0.199E+00	0.469E+00	0.414E-01	0.466E-04	0.000E+00
200.635	58.0	0.000E+00	0.318E-04	0.249E+00	0.425E+00	0.310E-01	0.346E-04	0.000E+00
201.911	59.0	0.000E+00	0.100E-03	0.294E+00	0.366E+00	0.219E-01	0.235E-04	0.000E+00
203.188	60.0	0.000E+00	0.273E-03	0.333E+00	0.304E+00	0.149E-01	0.148E-04	0.000E+00
204.465	61.0	0.000E+00	0.653E-03	0.363E+00	0.246E+00	0.993E-02	0.886E-05	0.000E+00
205.742	62.0	0.000E+00	0.139E-02	0.383E+00	0.195E+00	0.652E-02	0.509E-05	0.000E+00
207.018	63.0	0.000E+00	0.269E-02	0.393E+00	0.151E+00	0.424E-02	0.281E-05	0.000E+00
208.295	64.0	0.000E+00	0.472E-02	0.392E+00	0.116E+00	0.274E-02	0.146E-05	0.000E+00
209.572	65.0	0.579E-07	0.766E-02	0.380E+00	0.870E-01	0.176E-02	0.718E-06	0.000E+00
210.848	66.0	0.298E-06	0.116E-01	0.359E+00	0.646E-01	0.112E-02	0.261E-06	0.000E+00
212.125	67.0	0.128E-05	0.165E-01	0.331E+00	0.474E-01	0.712E-03	0.000E+00	0.000E+00
213.402	68.0	0.467E-05	0.222E-01	0.298E+00	0.343E-01	0.450E-03	0.000E+00	0.000E+00
214.679	69.0	0.148E-04	0.286E-01	0.263E+00	0.246E-01	0.283E-03	0.000E+00	0.000E+00
215.955	70.0	0.413E-04	0.354E-01	0.227E+00	0.175E-01	0.177E-03	0.000E+00	0.000E+00
217.232	71.0	0.102E-03	0.422E-01	0.192E+00	0.123E-01	0.110E-03	0.000E+00	0.000E+00
218.509	72.0	0.226E-03	0.487E-01	0.160E+00	0.864E-02	0.684E-04	0.000E+00	0.000E+00
219.786	73.0	0.457E-03	0.545E-01	0.131E+00	0.600E-02	0.422E-04	0.000E+00	0.000E+00
221.062	74.0	0.845E-03	0.593E-01	0.105E+00	0.414E-02	0.259E-04	0.000E+00	0.000E+00
222.339	75.0	0.145E-02	0.629E-01	0.837E-01	0.284E-02	0.158E-04	0.000E+00	0.000E+00
223.616	76.0	0.233E-02	0.649E-01	0.657E-01	0.194E-02	0.959E-05	0.000E+00	0.000E+00
224.892	77.0	0.351E-02	0.653E-01	0.510E-01	0.132E-02	0.576E-05	0.000E+00	0.000E+00
226.169	78.0	0.503E-02	0.643E-01	0.391E-01	0.888E-03	0.338E-05	0.000E+00	0.000E+00
227.446	79.0	0.685E-02	0.618E-01	0.297E-01	0.596E-03	0.195E-05	0.000E+00	0.000E+00
228.723	80.0	0.893E-02	0.582E-01	0.224E-01	0.399E-03	0.104E-05	0.000E+00	0.000E+00
229.999	81.0	0.112E-01	0.538E-01	0.167E-01	0.265E-03	0.464E-06	0.000E+00	0.000E+00
231.276	82.0	0.135E-01	0.487E-01	0.124E-01	0.176E-03	0.522E-07	0.000E+00	0.000E+00
232.553	83.0	0.157E-01	0.434E-01	0.909E-02	0.116E-03	0.000E+00	0.000E+00	0.000E+00
233.830	84.0	0.177E-01	0.380E-01	0.664E-02	0.763E-04	0.000E+00	0.000E+00	0.000E+00
235.106	85.0	0.194E-01	0.328E-01	0.482E-02	0.499E-04	0.000E+00	0.000E+00	0.000E+00
236.383	86.0	0.207E-01	0.279E-01	0.348E-02	0.325E-04	0.000E+00	0.000E+00	0.000E+00
237.660	87.0	0.214E-01	0.234E-01	0.250E-02	0.211E-04	0.000E+00	0.000E+00	0.000E+00
238.936	88.0	0.217E-01	0.194E-01	0.178E-02	0.136E-04	0.000E+00	0.000E+00	0.000E+00
240.213	89.0	0.214E-01	0.159E-01	0.127E-02	0.876E-05	0.000E+00	0.000E+00	0.000E+00
241.490	90.0	0.207E-01	0.129E-01	0.895E-03	0.557E-05	0.000E+00	0.000E+00	0.000E+00
