E_lab	E*/MeV	197At	198At	199At	200At	201At	202At	203At
182.760	44.0	0.000E+00	0.000E+00	0.789E-07	0.569E-07	0.127E-09	0.000E+00	0.000E+00
184.037	45.0	0.000E+00	0.000E+00	0.293E-06	0.130E-06	0.227E-09	0.000E+00	0.000E+00
185.314	46.0	0.000E+00	0.000E+00	0.612E-04	0.612E-04	0.660E-06	0.000E+00	0.000E+00
186.591	47.0	0.000E+00	0.784E-10	0.312E-03	0.234E-03	0.257E-05	0.000E+00	0.000E+00
187.867	48.0	0.000E+00	0.530E-08	0.116E-02	0.597E-03	0.556E-05	0.000E+00	0.000E+00
189.144	49.0	0.000E+00	0.175E-06	0.404E-02	0.141E-02	0.108E-04	0.000E+00	0.000E+00
190.421	50.0	0.000E+00	0.345E-05	0.133E-01	0.324E-02	0.205E-04	0.000E+00	0.000E+00
191.697	51.0	0.000E+00	0.441E-04	0.409E-01	0.715E-02	0.380E-04	0.000E+00	0.000E+00
192.974	52.0	0.000E+00	0.374E-03	0.112E+00	0.145E-01	0.666E-04	0.000E+00	0.000E+00
194.251	53.0	0.000E+00	0.202E-02	0.245E+00	0.249E-01	0.102E-03	0.000E+00	0.000E+00
195.528	54.0	0.000E+00	0.666E-02	0.393E+00	0.327E-01	0.123E-03	0.000E+00	0.000E+00
196.804	55.0	0.000E+00	0.146E-01	0.470E+00	0.331E-01	0.116E-03	0.000E+00	0.000E+00
198.081	56.0	0.000E+00	0.247E-01	0.457E+00	0.276E-01	0.887E-04	0.000E+00	0.000E+00
199.358	57.0	0.775E-07	0.357E-01	0.393E+00	0.203E-01	0.590E-04	0.000E+00	0.000E+00
200.635	58.0	0.730E-06	0.470E-01	0.314E+00	0.138E-01	0.357E-04	0.000E+00	0.000E+00
201.911	59.0	0.467E-05	0.581E-01	0.239E+00	0.902E-02	0.201E-04	0.000E+00	0.000E+00
203.188	60.0	0.217E-04	0.682E-01	0.178E+00	0.574E-02	0.107E-04	0.000E+00	0.000E+00
204.465	61.0	0.771E-04	0.765E-01	0.129E+00	0.360E-02	0.519E-05	0.000E+00	0.000E+00
205.742	62.0	0.218E-03	0.822E-01	0.924E-01	0.224E-02	0.124E-05	0.000E+00	0.000E+00
207.018	63.0	0.514E-03	0.848E-01	0.653E-01	0.139E-02	0.000E+00	0.000E+00	0.000E+00
208.295	64.0	0.104E-02	0.842E-01	0.456E-01	0.856E-03	0.000E+00	0.000E+00	0.000E+00
209.572	65.0	0.187E-02	0.807E-01	0.316E-01	0.526E-03	0.000E+00	0.000E+00	0.000E+00
210.848	66.0	0.304E-02	0.748E-01	0.216E-01	0.323E-03	0.000E+00	0.000E+00	0.000E+00
212.125	67.0	0.455E-02	0.672E-01	0.147E-01	0.197E-03	0.000E+00	0.000E+00	0.000E+00
213.402	68.0	0.634E-02	0.588E-01	0.996E-02	0.120E-03	0.000E+00	0.000E+00	0.000E+00
214.679	69.0	0.828E-02	0.502E-01	0.669E-02	0.727E-04	0.000E+00	0.000E+00	0.000E+00
215.955	70.0	0.102E-01	0.419E-01	0.447E-02	0.439E-04	0.000E+00	0.000E+00	0.000E+00
217.232	71.0	0.119E-01	0.343E-01	0.298E-02	0.263E-04	0.000E+00	0.000E+00	0.000E+00
218.509	72.0	0.132E-01	0.276E-01	0.197E-02	0.156E-04	0.000E+00	0.000E+00	0.000E+00
219.786	73.0	0.141E-01	0.218E-01	0.130E-02	0.919E-05	0.000E+00	0.000E+00	0.000E+00
221.062	74.0	0.144E-01	0.170E-01	0.856E-03	0.530E-05	0.000E+00	0.000E+00	0.000E+00
222.339	75.0	0.143E-01	0.131E-01	0.561E-03	0.298E-05	0.000E+00	0.000E+00	0.000E+00
223.616	76.0	0.136E-01	0.994E-02	0.366E-03	0.163E-05	0.000E+00	0.000E+00	0.000E+00
224.892	77.0	0.127E-01	0.747E-02	0.238E-03	0.739E-06	0.000E+00	0.000E+00	0.000E+00
226.169	78.0	0.115E-01	0.557E-02	0.154E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00
227.446	79.0	0.102E-01	0.411E-02	0.998E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00
228.723	80.0	0.882E-02	0.301E-02	0.642E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00
229.999	81.0	0.751E-02	0.219E-02	0.412E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00
231.276	82.0	0.628E-02	0.158E-02	0.262E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00
232.553	83.0	0.517E-02	0.114E-02	0.166E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00
233.830	84.0	0.420E-02	0.811E-03	0.105E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00
235.106	85.0	0.337E-02	0.577E-03	0.656E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00
236.383	86.0	0.267E-02	0.408E-03	0.406E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00
237.660	87.0	0.210E-02	0.287E-03	0.245E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00
238.936	88.0	0.163E-02	0.201E-03	0.144E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00
240.213	89.0	0.126E-02	0.141E-03	0.816E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00
241.490	90.0	0.961E-03	0.979E-04	0.431E-06	0.000E+00	0.000E+00	0.000E+00	0.000E+00
