E_lab	E*/MeV	196Bi	197Bi	198Bi	199Bi	200Bi	201Bi	202Bi	203Bi
107.309	45.0	0.000E+00	0.173E-10	0.139E-07	0.244E-07	0.274E-10	0.712E-09	0.394E-09	0.231E-11
108.441	46.0	0.000E+00	0.259E-09	0.605E-07	0.644E-07	0.538E-10	0.297E-08	0.101E-08	0.417E-11
109.574	47.0	0.000E+00	0.271E-08	0.244E-06	0.162E-06	0.158E-09	0.118E-07	0.247E-08	0.747E-11
110.706	48.0	0.000E+00	0.156E-06	0.571E-04	0.480E-04	0.106E-06	0.326E-05	0.896E-06	0.650E-08
111.839	49.0	0.000E+00	0.164E-05	0.271E-03	0.174E-03	0.375E-06	0.152E-04	0.300E-05	0.208E-07
112.972	50.0	0.000E+00	0.131E-04	0.102E-02	0.459E-03	0.126E-05	0.566E-04	0.766E-05	0.458E-07
114.104	51.0	0.000E+00	0.912E-04	0.361E-02	0.115E-02	0.592E-05	0.201E-03	0.185E-04	0.961E-07
115.237	52.0	0.000E+00	0.570E-03	0.121E-01	0.270E-02	0.329E-04	0.681E-03	0.424E-04	0.187E-06
116.369	53.0	0.000E+00	0.319E-02	0.384E-01	0.613E-02	0.180E-03	0.221E-02	0.930E-04	0.357E-06
117.502	54.0	0.000E+00	0.154E-01	0.111E+00	0.130E-01	0.875E-03	0.657E-02	0.190E-03	0.646E-06
118.635	55.0	0.133E-06	0.596E-01	0.272E+00	0.244E-01	0.342E-02	0.167E-01	0.340E-03	0.107E-05
119.767	56.0	0.416E-05	0.173E+00	0.528E+00	0.384E-01	0.994E-02	0.336E-01	0.504E-03	0.157E-05
120.900	57.0	0.285E-04	0.378E+00	0.814E+00	0.503E-01	0.219E-01	0.534E-01	0.618E-03	0.198E-05
122.032	58.0	0.135E-03	0.673E+00	0.106E+01	0.576E-01	0.391E-01	0.711E-01	0.665E-03	0.227E-05
123.165	59.0	0.501E-03	0.104E+01	0.122E+01	0.608E-01	0.606E-01	0.839E-01	0.658E-03	0.241E-05
124.298	60.0	0.155E-02	0.144E+01	0.131E+01	0.613E-01	0.848E-01	0.914E-01	0.616E-03	0.243E-05
125.430	61.0	0.417E-02	0.187E+01	0.132E+01	0.605E-01	0.111E+00	0.940E-01	0.552E-03	0.235E-05
126.563	62.0	0.101E-01	0.229E+01	0.127E+01	0.598E-01	0.137E+00	0.925E-01	0.480E-03	0.219E-05
127.695	63.0	0.224E-01	0.269E+01	0.118E+01	0.606E-01	0.161E+00	0.881E-01	0.406E-03	0.198E-05
128.828	64.0	0.456E-01	0.304E+01	0.106E+01	0.643E-01	0.183E+00	0.814E-01	0.336E-03	0.174E-05
129.961	65.0	0.859E-01	0.333E+01	0.927E+00	0.722E-01	0.202E+00	0.735E-01	0.272E-03	0.149E-05
131.093	66.0	0.150E+00	0.356E+01	0.789E+00	0.851E-01	0.215E+00	0.650E-01	0.217E-03	0.125E-05
132.226	67.0	0.246E+00	0.370E+01	0.657E+00	0.104E+00	0.224E+00	0.564E-01	0.170E-03	0.102E-05
133.358	68.0	0.377E+00	0.376E+01	0.534E+00	0.128E+00	0.226E+00	0.481E-01	0.131E-03	0.811E-06
134.491	69.0	0.546E+00	0.373E+01	0.425E+00	0.158E+00	0.223E+00	0.405E-01	0.994E-04	0.628E-06
135.624	70.0	0.751E+00	0.362E+01	0.333E+00	0.192E+00	0.215E+00	0.336E-01	0.739E-04	0.473E-06
136.756	71.0	0.985E+00	0.345E+01	0.256E+00	0.230E+00	0.203E+00	0.275E-01	0.540E-04	0.346E-06
137.889	72.0	0.124E+01	0.322E+01	0.195E+00	0.269E+00	0.188E+00	0.222E-01	0.388E-04	0.244E-06
139.021	73.0	0.150E+01	0.295E+01	0.148E+00	0.308E+00	0.171E+00	0.177E-01	0.275E-04	0.167E-06
140.154	74.0	0.176E+01	0.266E+01	0.115E+00	0.345E+00	0.152E+00	0.140E-01	0.191E-04	0.110E-06
141.287	75.0	0.200E+01	0.236E+01	0.929E-01	0.379E+00	0.133E+00	0.109E-01	0.131E-04	0.699E-07
142.419	76.0	0.221E+01	0.205E+01	0.818E-01	0.409E+00	0.115E+00	0.841E-02	0.889E-05	0.400E-07
143.552	77.0	0.238E+01	0.176E+01	0.806E-01	0.432E+00	0.978E-01	0.608E-02	0.594E-05	0.218E-07
144.684	78.0	0.249E+01	0.149E+01	0.884E-01	0.448E+00	0.820E-01	0.413E-02	0.392E-05	0.692E-08
145.817	79.0	0.255E+01	0.125E+01	0.104E+00	0.456E+00	0.677E-01	0.263E-02	0.255E-05	0.000E+00
146.950	80.0	0.255E+01	0.103E+01	0.128E+00	0.457E+00	0.545E-01	0.159E-02	0.164E-05	0.000E+00
148.082	81.0	0.249E+01	0.841E+00	0.158E+00	0.450E+00	0.435E-01	0.104E-02	0.104E-05	0.000E+00
