E_lab	E*/MeV	194Po	195Po	196Po	197Po	198Po	199Po	200Po	201Po	202Po	203Po	204Po
107.309	45.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.102E-08	0.185E-06	0.633E-07	0.198E-10	0.000E+00
108.441	46.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.121E-07	0.641E-06	0.142E-06	0.328E-10	0.000E+00
109.574	47.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.110E-06	0.214E-05	0.310E-06	0.542E-10	0.000E+00
110.706	48.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.917E-05	0.480E-03	0.145E-03	0.121E-06	0.260E-10
111.839	49.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.752E-04	0.204E-02	0.494E-03	0.385E-06	0.113E-09
112.972	50.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.491E-03	0.681E-02	0.122E-02	0.783E-06	0.000E+00
114.104	51.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.278E-02	0.216E-01	0.286E-02	0.152E-05	0.000E+00
115.237	52.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.140E-01	0.653E-01	0.638E-02	0.270E-05	0.000E+00
116.369	53.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.139E-06	0.628E-01	0.187E+00	0.138E-01	0.469E-05	0.000E+00
117.502	54.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.340E-05	0.245E+00	0.489E+00	0.279E-01	0.773E-05	0.000E+00
118.635	55.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.492E-04	0.773E+00	0.109E+01	0.506E-01	0.117E-04	0.000E+00
119.767	56.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.423E-03	0.186E+01	0.195E+01	0.771E-01	0.156E-04	0.000E+00
120.900	57.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.234E-02	0.347E+01	0.277E+01	0.980E-01	0.182E-04	0.000E+00
122.032	58.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.932E-02	0.534E+01	0.332E+01	0.109E+00	0.189E-04	0.000E+00
123.165	59.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.288E-01	0.724E+01	0.354E+01	0.110E+00	0.184E-04	0.000E+00
124.298	60.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.734E-01	0.898E+01	0.349E+01	0.105E+00	0.167E-04	0.000E+00
125.430	61.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.162E+00	0.105E+02	0.326E+01	0.952E-01	0.144E-04	0.000E+00
126.563	62.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.316E+00	0.117E+02	0.291E+01	0.825E-01	0.118E-04	0.000E+00
127.695	63.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.473E-05	0.560E+00	0.125E+02	0.250E+01	0.687E-01	0.925E-05	0.000E+00
128.828	64.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.299E-04	0.914E+00	0.130E+02	0.208E+01	0.551E-01	0.699E-05	0.000E+00
129.961	65.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.148E-03	0.139E+01	0.132E+02	0.169E+01	0.426E-01	0.500E-05	0.000E+00
131.093	66.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.603E-03	0.198E+01	0.130E+02	0.133E+01	0.318E-01	0.338E-05	0.000E+00
