E_lab	E*/MeV	199At	200At	201At	202At	203At	204At	205At
98.248	37.0	0.000E+00	0.000E+00	0.284E-08	0.232E-05	0.433E-06	0.716E-10	0.000E+00
99.381	38.0	0.000E+00	0.000E+00	0.944E-07	0.125E-04	0.152E-05	0.186E-09	0.000E+00
100.513	39.0	0.000E+00	0.000E+00	0.188E-05	0.619E-04	0.499E-05	0.463E-09	0.000E+00
101.646	40.0	0.000E+00	0.000E+00	0.243E-04	0.283E-03	0.155E-04	0.110E-08	0.000E+00
102.778	41.0	0.000E+00	0.000E+00	0.222E-03	0.117E-02	0.454E-04	0.252E-08	0.000E+00
103.911	42.0	0.000E+00	0.000E+00	0.152E-02	0.430E-02	0.123E-03	0.531E-08	0.000E+00
105.044	43.0	0.000E+00	0.000E+00	0.767E-02	0.130E-01	0.293E-03	0.853E-08	0.000E+00
106.176	44.0	0.000E+00	0.000E+00	0.281E-01	0.307E-01	0.578E-03	0.000E+00	0.000E+00
107.309	45.0	0.000E+00	0.000E+00	0.787E-01	0.579E-01	0.945E-03	0.000E+00	0.000E+00
108.441	46.0	0.000E+00	0.373E-06	0.183E+00	0.927E-01	0.133E-02	0.000E+00	0.000E+00
109.574	47.0	0.000E+00	0.114E-04	0.369E+00	0.131E+00	0.166E-02	0.000E+00	0.000E+00
110.706	48.0	0.000E+00	0.174E-03	0.667E+00	0.167E+00	0.188E-02	0.000E+00	0.000E+00
111.839	49.0	0.000E+00	0.154E-02	0.110E+01	0.194E+00	0.196E-02	0.000E+00	0.000E+00
112.972	50.0	0.000E+00	0.873E-02	0.166E+01	0.211E+00	0.190E-02	0.000E+00	0.000E+00
114.104	51.0	0.000E+00	0.345E-01	0.235E+01	0.215E+00	0.174E-02	0.000E+00	0.000E+00
115.237	52.0	0.000E+00	0.103E+00	0.311E+01	0.208E+00	0.152E-02	0.000E+00	0.000E+00
116.369	53.0	0.000E+00	0.246E+00	0.387E+01	0.192E+00	0.127E-02	0.000E+00	0.000E+00
117.502	54.0	0.000E+00	0.496E+00	0.452E+01	0.170E+00	0.101E-02	0.000E+00	0.000E+00
118.635	55.0	0.357E-05	0.874E+00	0.500E+01	0.144E+00	0.785E-03	0.000E+00	0.000E+00
119.767	56.0	0.462E-04	0.138E+01	0.524E+01	0.119E+00	0.588E-03	0.000E+00	0.000E+00
120.900	57.0	0.381E-03	0.199E+01	0.522E+01	0.947E-01	0.428E-03	0.000E+00	0.000E+00
122.032	58.0	0.216E-02	0.267E+01	0.496E+01	0.733E-01	0.303E-03	0.000E+00	0.000E+00
123.165	59.0	0.888E-02	0.335E+01	0.450E+01	0.551E-01	0.208E-03	0.000E+00	0.000E+00
124.298	60.0	0.279E-01	0.396E+01	0.392E+01	0.404E-01	0.139E-03	0.000E+00	0.000E+00
125.430	61.0	0.701E-01	0.445E+01	0.329E+01	0.290E-01	0.899E-04	0.000E+00	0.000E+00
126.563	62.0	0.147E+00	0.477E+01	0.266E+01	0.203E-01	0.564E-04	0.000E+00	0.000E+00
127.695	63.0	0.267E+00	0.490E+01	0.209E+01	0.139E-01	0.327E-04	0.000E+00	0.000E+00
128.828	64.0	0.432E+00	0.483E+01	0.160E+01	0.937E-02	0.159E-04	0.000E+00	0.000E+00
129.961	65.0	0.636E+00	0.459E+01	0.119E+01	0.620E-02	0.552E-05	0.000E+00	0.000E+00
131.093	66.0	0.865E+00	0.422E+01	0.867E+00	0.404E-02	0.000E+00	0.000E+00	0.000E+00
132.226	67.0	0.110E+01	0.377E+01	0.621E+00	0.260E-02	0.000E+00	0.000E+00	0.000E+00
133.358	68.0	0.134E+01	0.327E+01	0.438E+00	0.165E-02	0.000E+00	0.000E+00	0.000E+00
134.491	69.0	0.155E+01	0.277E+01	0.305E+00	0.103E-02	0.000E+00	0.000E+00	0.000E+00
135.624	70.0	0.172E+01	0.229E+01	0.210E+00	0.640E-03	0.000E+00	0.000E+00	0.000E+00
136.756	71.0	0.184E+01	0.186E+01	0.143E+00	0.393E-03	0.000E+00	0.000E+00	0.000E+00
137.889	72.0	0.192E+01	0.149E+01	0.965E-01	0.238E-03	0.000E+00	0.000E+00	0.000E+00
139.021	73.0	0.194E+01	0.117E+01	0.648E-01	0.142E-03	0.000E+00	0.000E+00	0.000E+00
140.154	74.0	0.190E+01	0.904E+00	0.432E-01	0.847E-04	0.000E+00	0.000E+00	0.000E+00
141.287	75.0	0.182E+01	0.691E+00	0.287E-01	0.498E-04	0.000E+00	0.000E+00	0.000E+00
142.419	76.0	0.170E+01	0.522E+00	0.190E-01	0.286E-04	0.000E+00	0.000E+00	0.000E+00
143.552	77.0	0.155E+01	0.391E+00	0.125E-01	0.158E-04	0.000E+00	0.000E+00	0.000E+00
144.684	78.0	0.139E+01	0.289E+00	0.820E-02	0.726E-05	0.000E+00	0.000E+00	0.000E+00
145.817	79.0	0.122E+01	0.212E+00	0.536E-02	0.246E-05	0.000E+00	0.000E+00	0.000E+00
146.950	80.0	0.105E+01	0.155E+00	0.349E-02	0.000E+00	0.000E+00	0.000E+00	0.000E+00
