E_lab	E*/MeV	196At	197At	198At	199At	200At	201At	202At	203At	204At	205At
98.248	37.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.367E-08	0.291E-05	0.528E-06	0.871E-10	0.000E+00
99.381	38.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.124E-06	0.159E-04	0.187E-05	0.227E-09	0.000E+00
100.513	39.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.249E-05	0.800E-04	0.625E-05	0.566E-09	0.000E+00
101.646	40.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.326E-04	0.371E-03	0.197E-04	0.135E-08	0.000E+00
102.778	41.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.302E-03	0.156E-02	0.586E-04	0.312E-08	0.000E+00
103.911	42.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.209E-02	0.578E-02	0.161E-03	0.659E-08	0.000E+00
105.044	43.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.107E-01	0.177E-01	0.392E-03	0.113E-07	0.000E+00
106.176	44.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.398E-01	0.425E-01	0.792E-03	0.258E-08	0.000E+00
107.309	45.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.113E+00	0.817E-01	0.133E-02	0.000E+00	0.000E+00
108.441	46.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.698E-06	0.267E+00	0.133E+00	0.194E-02	0.000E+00	0.000E+00
109.574	47.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.205E-04	0.548E+00	0.191E+00	0.250E-02	0.000E+00	0.000E+00
110.706	48.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.309E-03	0.100E+01	0.248E+00	0.293E-02	0.000E+00	0.000E+00
111.839	49.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.275E-02	0.168E+01	0.294E+00	0.315E-02	0.000E+00	0.000E+00
112.972	50.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.158E-01	0.259E+01	0.325E+00	0.317E-02	0.000E+00	0.000E+00
114.104	51.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.633E-01	0.373E+01	0.337E+00	0.299E-02	0.000E+00	0.000E+00
115.237	52.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.191E+00	0.503E+01	0.332E+00	0.268E-02	0.000E+00	0.000E+00
116.369	53.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.466E+00	0.638E+01	0.311E+00	0.229E-02	0.000E+00	0.000E+00
117.502	54.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.956E+00	0.764E+01	0.280E+00	0.188E-02	0.000E+00	0.000E+00
118.635	55.0	0.000E+00	0.000E+00	0.000E+00	0.727E-05	0.171E+01	0.866E+01	0.242E+00	0.149E-02	0.000E+00	0.000E+00
119.767	56.0	0.000E+00	0.000E+00	0.000E+00	0.959E-04	0.276E+01	0.930E+01	0.202E+00	0.114E-02	0.000E+00	0.000E+00
120.900	57.0	0.000E+00	0.000E+00	0.000E+00	0.805E-03	0.404E+01	0.950E+01	0.164E+00	0.850E-03	0.000E+00	0.000E+00
122.032	58.0	0.000E+00	0.000E+00	0.000E+00	0.464E-02	0.549E+01	0.925E+01	0.129E+00	0.615E-03	0.000E+00	0.000E+00
123.165	59.0	0.000E+00	0.000E+00	0.000E+00	0.194E-01	0.698E+01	0.862E+01	0.984E-01	0.432E-03	0.000E+00	0.000E+00
124.298	60.0	0.000E+00	0.000E+00	0.000E+00	0.618E-01	0.836E+01	0.770E+01	0.732E-01	0.296E-03	0.000E+00	0.000E+00
125.430	61.0	0.000E+00	0.000E+00	0.000E+00	0.158E+00	0.951E+01	0.662E+01	0.533E-01	0.198E-03	0.000E+00	0.000E+00
126.563	62.0	0.000E+00	0.000E+00	0.000E+00	0.336E+00	0.103E+02	0.549E+01	0.379E-01	0.128E-03	0.000E+00	0.000E+00
127.695	63.0	0.000E+00	0.000E+00	0.000E+00	0.620E+00	0.107E+02	0.442E+01	0.264E-01	0.801E-04	0.000E+00	0.000E+00
128.828	64.0	0.000E+00	0.000E+00	0.000E+00	0.102E+01	0.107E+02	0.345E+01	0.180E-01	0.467E-04	0.000E+00	0.000E+00
129.961	65.0	0.000E+00	0.000E+00	0.000E+00	0.151E+01	0.103E+02	0.263E+01	0.121E-01	0.249E-04	0.000E+00	0.000E+00
131.093	66.0	0.000E+00	0.000E+00	0.134E-05	0.208E+01	0.954E+01	0.196E+01	0.801E-02	0.103E-04	0.000E+00	0.000E+00
132.226	67.0	0.000E+00	0.000E+00	0.123E-04	0.268E+01	0.861E+01	0.143E+01	0.522E-02	0.000E+00	0.000E+00	0.000E+00
133.358	68.0	0.000E+00	0.000E+00	0.783E-04	0.327E+01	0.756E+01	0.103E+01	0.335E-02	0.000E+00	0.000E+00	0.000E+00
134.491	69.0	0.000E+00	0.000E+00	0.367E-03	0.382E+01	0.647E+01	0.729E+00	0.213E-02	0.000E+00	0.000E+00	0.000E+00
135.624	70.0	0.000E+00	0.000E+00	0.133E-02	0.428E+01	0.542E+01	0.510E+00	0.133E-02	0.000E+00	0.000E+00	0.000E+00
136.756	71.0	0.000E+00	0.000E+00	0.391E-02	0.464E+01	0.445E+01	0.352E+00	0.828E-03	0.000E+00	0.000E+00	0.000E+00
137.889	72.0	0.000E+00	0.000E+00	0.957E-02	0.488E+01	0.359E+01	0.241E+00	0.509E-03	0.000E+00	0.000E+00	0.000E+00
139.021	73.0	0.000E+00	0.000E+00	0.202E-01	0.499E+01	0.284E+01	0.164E+00	0.309E-03	0.000E+00	0.000E+00	0.000E+00
140.154	74.0	0.000E+00	0.000E+00	0.378E-01	0.497E+01	0.222E+01	0.111E+00	0.186E-03	0.000E+00	0.000E+00	0.000E+00
141.287	75.0	0.000E+00	0.000E+00	0.638E-01	0.483E+01	0.171E+01	0.744E-01	0.111E-03	0.000E+00	0.000E+00	0.000E+00
142.419	76.0	0.000E+00	0.000E+00	0.991E-01	0.459E+01	0.130E+01	0.497E-01	0.649E-04	0.000E+00	0.000E+00	0.000E+00
