E_lab	E*/MeV	193Bi	194Bi	195Bi	196Bi	197Bi	198Bi	199Bi	200Bi	201Bi	202Bi	203Bi
145.765	30.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.284E-09	0.706E-08	0.655E-09	0.153E-11	0.773E-10
147.007	31.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.370E-08	0.447E-07	0.258E-08	0.257E-10	0.520E-09
148.249	32.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.414E-07	0.263E-06	0.961E-08	0.349E-09	0.327E-08
149.492	33.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.406E-06	0.143E-05	0.339E-07	0.396E-08	0.192E-07
150.734	34.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.347E-05	0.699E-05	0.114E-06	0.377E-07	0.103E-06
151.977	35.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.244E-04	0.295E-04	0.357E-06	0.289E-06	0.478E-06
153.219	36.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.234E-08	0.127E-03	0.971E-04	0.976E-06	0.160E-05	0.173E-05
154.462	37.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.817E-07	0.467E-03	0.238E-03	0.227E-05	0.617E-05	0.458E-05
155.704	38.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.104E-05	0.129E-02	0.460E-03	0.450E-05	0.179E-04	0.938E-05
156.946	39.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.734E-05	0.296E-02	0.750E-03	0.804E-05	0.425E-04	0.161E-04
158.189	40.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.367E-04	0.600E-02	0.109E-02	0.142E-04	0.892E-04	0.245E-04
159.431	41.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.148E-03	0.111E-01	0.144E-02	0.269E-04	0.170E-03	0.340E-04
160.674	42.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.504E-03	0.190E-01	0.178E-02	0.573E-04	0.298E-03	0.441E-04
161.916	43.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.149E-02	0.305E-01	0.208E-02	0.129E-03	0.480E-03	0.538E-04
163.159	44.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.559E-08	0.392E-02	0.457E-01	0.229E-02	0.286E-03	0.716E-03	0.622E-04
164.401	45.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.290E-06	0.920E-02	0.645E-01	0.242E-02	0.597E-03	0.997E-03	0.688E-04
165.643	46.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.303E-05	0.195E-01	0.860E-01	0.244E-02	0.116E-02	0.130E-02	0.732E-04
166.886	47.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.206E-04	0.375E-01	0.109E+00	0.237E-02	0.209E-02	0.161E-02	0.752E-04
168.128	48.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.103E-03	0.663E-01	0.131E+00	0.223E-02	0.353E-02	0.188E-02	0.750E-04
169.371	49.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.404E-03	0.109E+00	0.152E+00	0.204E-02	0.560E-02	0.211E-02	0.727E-04
170.613	50.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.133E-02	0.167E+00	0.168E+00	0.183E-02	0.842E-02	0.226E-02	0.686E-04
171.856	51.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.383E-02	0.243E+00	0.180E+00	0.169E-02	0.121E-01	0.233E-02	0.633E-04
