E_lab	E*/MeV	197Po	198Po	199Po	200Po	201Po	202Po	203Po	204Po
164.401	45.0	0.000E+00	0.000E+00	0.000E+00	0.891E-09	0.164E-06	0.563E-07	0.178E-10	0.000E+00
165.643	46.0	0.000E+00	0.000E+00	0.000E+00	0.115E-07	0.618E-06	0.138E-06	0.321E-10	0.000E+00
166.886	47.0	0.000E+00	0.000E+00	0.000E+00	0.119E-05	0.180E-03	0.843E-04	0.103E-06	0.395E-10
168.128	48.0	0.000E+00	0.000E+00	0.000E+00	0.130E-04	0.907E-03	0.346E-03	0.426E-06	0.287E-09
169.371	49.0	0.000E+00	0.000E+00	0.000E+00	0.109E-03	0.349E-02	0.101E-02	0.110E-05	0.849E-09
170.613	50.0	0.000E+00	0.000E+00	0.000E+00	0.781E-03	0.126E-01	0.266E-02	0.240E-05	0.122E-08
171.856	51.0	0.000E+00	0.000E+00	0.000E+00	0.486E-02	0.431E-01	0.671E-02	0.489E-05	0.000E+00
173.098	52.0	0.000E+00	0.000E+00	0.000E+00	0.263E-01	0.140E+00	0.162E-01	0.945E-05	0.000E+00
174.340	53.0	0.000E+00	0.000E+00	0.490E-07	0.118E+00	0.406E+00	0.364E-01	0.173E-04	0.000E+00
175.583	54.0	0.000E+00	0.000E+00	0.434E-05	0.407E+00	0.966E+00	0.705E-01	0.289E-04	0.000E+00
176.825	55.0	0.000E+00	0.000E+00	0.472E-04	0.996E+00	0.174E+01	0.111E+00	0.421E-04	0.000E+00
178.068	56.0	0.000E+00	0.000E+00	0.307E-03	0.182E+01	0.242E+01	0.144E+00	0.533E-04	0.000E+00
179.310	57.0	0.000E+00	0.000E+00	0.139E-02	0.271E+01	0.283E+01	0.162E+00	0.601E-04	0.000E+00
180.552	58.0	0.000E+00	0.000E+00	0.483E-02	0.356E+01	0.294E+01	0.164E+00	0.614E-04	0.000E+00
181.795	59.0	0.000E+00	0.000E+00	0.138E-01	0.432E+01	0.282E+01	0.152E+00	0.577E-04	0.000E+00
183.037	60.0	0.000E+00	0.000E+00	0.340E-01	0.496E+01	0.255E+01	0.131E+00	0.501E-04	0.000E+00
184.280	61.0	0.000E+00	0.000E+00	0.735E-01	0.547E+01	0.219E+01	0.105E+00	0.405E-04	0.000E+00
185.522	62.0	0.000E+00	0.000E+00	0.143E+00	0.585E+01	0.182E+01	0.801E-01	0.304E-04	0.000E+00
186.765	63.0	0.000E+00	0.206E-05	0.252E+00	0.609E+01	0.146E+01	0.580E-01	0.212E-04	0.000E+00
188.007	64.0	0.000E+00	0.130E-04	0.411E+00	0.620E+01	0.115E+01	0.406E-01	0.139E-04	0.000E+00
189.249	65.0	0.000E+00	0.646E-04	0.626E+00	0.617E+01	0.886E+00	0.277E-01	0.850E-05	0.000E+00
190.492	66.0	0.000E+00	0.264E-03	0.895E+00	0.602E+01	0.671E+00	0.186E-01	0.489E-05	0.000E+00
191.734	67.0	0.000E+00	0.914E-03	0.121E+01	0.576E+01	0.501E+00	0.123E-01	0.264E-05	0.000E+00
192.977	68.0	0.000E+00	0.273E-02	0.157E+01	0.540E+01	0.370E+00	0.809E-02	0.130E-05	0.000E+00
194.219	69.0	0.000E+00	0.719E-02	0.194E+01	0.497E+01	0.270E+00	0.529E-02	0.522E-06	0.000E+00
195.462	70.0	0.000E+00	0.168E-01	0.232E+01	0.449E+01	0.195E+00	0.344E-02	0.000E+00	0.000E+00
196.704	71.0	0.000E+00	0.356E-01	0.268E+01	0.399E+01	0.139E+00	0.222E-02	0.000E+00	0.000E+00
197.946	72.0	0.000E+00	0.686E-01	0.301E+01	0.348E+01	0.987E-01	0.143E-02	0.000E+00	0.000E+00
199.189	73.0	0.000E+00	0.122E+00	0.328E+01	0.299E+01	0.694E-01	0.914E-03	0.000E+00	0.000E+00
200.431	74.0	0.570E-06	0.202E+00	0.349E+01	0.252E+01	0.485E-01	0.583E-03	0.000E+00	0.000E+00
201.674	75.0	0.313E-05	0.313E+00	0.362E+01	0.210E+01	0.336E-01	0.370E-03	0.000E+00	0.000E+00
202.916	76.0	0.140E-04	0.457E+00	0.367E+01	0.173E+01	0.232E-01	0.234E-03	0.000E+00	0.000E+00
204.159	77.0	0.530E-04	0.636E+00	0.363E+01	0.140E+01	0.159E-01	0.147E-03	0.000E+00	0.000E+00
205.401	78.0	0.174E-03	0.845E+00	0.353E+01	0.112E+01	0.108E-01	0.920E-04	0.000E+00	0.000E+00
206.643	79.0	0.504E-03	0.108E+01	0.335E+01	0.891E+00	0.734E-02	0.573E-04	0.000E+00	0.000E+00
207.886	80.0	0.130E-02	0.133E+01	0.313E+01	0.699E+00	0.495E-02	0.355E-04	0.000E+00	0.000E+00
209.128	81.0	0.304E-02	0.158E+01	0.287E+01	0.542E+00	0.332E-02	0.218E-04	0.000E+00	0.000E+00
210.371	82.0	0.649E-02	0.183E+01	0.259E+01	0.417E+00	0.222E-02	0.132E-04	0.000E+00	0.000E+00
