E_lab	E*/MeV	198Po	199Po	200Po	201Po	202Po	203Po	204Po
145.765	30.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.947E-08	0.390E-07	0.123E-08
147.007	31.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.962E-07	0.213E-06	0.450E-08
148.249	32.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.828E-06	0.106E-05	0.157E-07
149.492	33.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.623E-05	0.484E-05	0.522E-07
150.734	34.0	0.000E+00	0.000E+00	0.000E+00	0.397E-09	0.413E-04	0.201E-04	0.167E-06
151.977	35.0	0.000E+00	0.000E+00	0.000E+00	0.277E-07	0.233E-03	0.732E-04	0.499E-06
153.219	36.0	0.000E+00	0.000E+00	0.000E+00	0.706E-06	0.101E-02	0.215E-03	0.132E-05
154.462	37.0	0.000E+00	0.000E+00	0.000E+00	0.859E-05	0.317E-02	0.482E-03	0.295E-05
155.704	38.0	0.000E+00	0.000E+00	0.000E+00	0.624E-04	0.771E-02	0.859E-03	0.553E-05
156.946	39.0	0.000E+00	0.000E+00	0.000E+00	0.313E-03	0.158E-01	0.129E-02	0.872E-05
158.189	40.0	0.000E+00	0.000E+00	0.000E+00	0.122E-02	0.288E-01	0.173E-02	0.120E-04
159.431	41.0	0.000E+00	0.000E+00	0.000E+00	0.387E-02	0.482E-01	0.211E-02	0.146E-04
160.674	42.0	0.000E+00	0.000E+00	0.000E+00	0.104E-01	0.748E-01	0.239E-02	0.160E-04
161.916	43.0	0.000E+00	0.000E+00	0.229E-06	0.243E-01	0.108E+00	0.255E-02	0.161E-04
163.159	44.0	0.000E+00	0.000E+00	0.309E-05	0.499E-01	0.145E+00	0.257E-02	0.150E-04
164.401	45.0	0.000E+00	0.000E+00	0.266E-04	0.927E-01	0.183E+00	0.246E-02	0.132E-04
165.643	46.0	0.000E+00	0.000E+00	0.166E-03	0.158E+00	0.219E+00	0.226E-02	0.111E-04
166.886	47.0	0.000E+00	0.000E+00	0.795E-03	0.250E+00	0.250E+00	0.200E-02	0.885E-05
168.128	48.0	0.000E+00	0.000E+00	0.306E-02	0.373E+00	0.272E+00	0.170E-02	0.680E-05
169.371	49.0	0.000E+00	0.000E+00	0.972E-02	0.525E+00	0.285E+00	0.140E-02	0.503E-05
170.613	50.0	0.000E+00	0.000E+00	0.262E-01	0.702E+00	0.287E+00	0.111E-02	0.359E-05
171.856	51.0	0.000E+00	0.000E+00	0.609E-01	0.895E+00	0.279E+00	0.866E-03	0.249E-05
173.098	52.0	0.000E+00	0.000E+00	0.125E+00	0.109E+01	0.263E+00	0.656E-03	0.166E-05
174.340	53.0	0.000E+00	0.000E+00	0.232E+00	0.127E+01	0.239E+00	0.485E-03	0.107E-05
175.583	54.0	0.000E+00	0.238E-05	0.391E+00	0.141E+01	0.212E+00	0.352E-03	0.638E-06
176.825	55.0	0.000E+00	0.185E-04	0.608E+00	0.150E+01	0.182E+00	0.250E-03	0.324E-06
178.068	56.0	0.000E+00	0.107E-03	0.881E+00	0.153E+01	0.152E+00	0.174E-03	0.869E-07
179.310	57.0	0.000E+00	0.480E-03	0.120E+01	0.151E+01	0.124E+00	0.119E-03	0.000E+00
180.552	58.0	0.000E+00	0.175E-02	0.155E+01	0.143E+01	0.984E-01	0.801E-04	0.000E+00
181.795	59.0	0.000E+00	0.533E-02	0.191E+01	0.131E+01	0.764E-01	0.530E-04	0.000E+00
183.037	60.0	0.000E+00	0.139E-01	0.225E+01	0.116E+01	0.580E-01	0.344E-04	0.000E+00
184.280	61.0	0.000E+00	0.315E-01	0.256E+01	0.995E+00	0.431E-01	0.220E-04	0.000E+00
185.522	62.0	0.000E+00	0.636E-01	0.281E+01	0.832E+00	0.314E-01	0.137E-04	0.000E+00
186.765	63.0	0.764E-06	0.116E+00	0.300E+01	0.678E+00	0.225E-01	0.842E-05	0.000E+00
