E_lab	E*/MeV	194Po	195Po	196Po	197Po	198Po	199Po	200Po	201Po	202Po	203Po	204Po
145.765	30.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.113E-07	0.464E-07	0.149E-08
147.007	31.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.116E-06	0.256E-06	0.553E-08
148.249	32.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.101E-05	0.129E-05	0.195E-07
149.492	33.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.766E-05	0.590E-05	0.652E-07
150.734	34.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.521E-09	0.514E-04	0.247E-04	0.210E-06
151.977	35.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.366E-07	0.293E-03	0.906E-04	0.635E-06
153.219	36.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.939E-06	0.128E-02	0.268E-03	0.170E-05
154.462	37.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.115E-04	0.406E-02	0.608E-03	0.389E-05
155.704	38.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.844E-04	0.100E-01	0.110E-02	0.747E-05
156.946	39.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.428E-03	0.207E-01	0.169E-02	0.122E-04
158.189	40.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.167E-02	0.383E-01	0.230E-02	0.175E-04
159.431	41.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.537E-02	0.650E-01	0.287E-02	0.222E-04
160.674	42.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.146E-01	0.102E+00	0.333E-02	0.255E-04
161.916	43.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.343E-06	0.341E-01	0.149E+00	0.363E-02	0.268E-04
163.159	44.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.466E-05	0.706E-01	0.202E+00	0.374E-02	0.260E-04
164.401	45.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.406E-04	0.132E+00	0.258E+00	0.367E-02	0.237E-04
165.643	46.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.255E-03	0.227E+00	0.313E+00	0.344E-02	0.204E-04
166.886	47.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.124E-02	0.362E+00	0.362E+00	0.310E-02	0.168E-04
168.128	48.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.482E-02	0.544E+00	0.400E+00	0.269E-02	0.133E-04
169.371	49.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.155E-01	0.774E+00	0.425E+00	0.226E-02	0.101E-04
170.613	50.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.420E-01	0.105E+01	0.436E+00	0.184E-02	0.744E-05
171.856	51.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.987E-01	0.135E+01	0.431E+00	0.145E-02	0.529E-05
173.098	52.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.205E+00	0.166E+01	0.413E+00	0.112E-02	0.366E-05
174.340	53.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.381E+00	0.196E+01	0.384E+00	0.841E-03	0.243E-05
175.583	54.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.508E-05	0.648E+00	0.220E+01	0.347E+00	0.619E-03	0.157E-05
176.825	55.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.391E-04	0.102E+01	0.238E+01	0.304E+00	0.446E-03	0.944E-06
178.068	56.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.224E-03	0.148E+01	0.247E+01	0.260E+00	0.315E-03	0.524E-06
179.310	57.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.999E-03	0.204E+01	0.246E+01	0.217E+00	0.219E-03	0.186E-06
180.552	58.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.362E-02	0.266E+01	0.237E+01	0.176E+00	0.149E-03	0.000E+00
181.795	59.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.109E-01	0.330E+01	0.220E+01	0.140E+00	0.999E-04	0.000E+00
183.037	60.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.282E-01	0.393E+01	0.198E+01	0.108E+00	0.658E-04	0.000E+00
184.280	61.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.637E-01	0.452E+01	0.173E+01	0.824E-01	0.426E-04	0.000E+00
185.522	62.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.128E+00	0.502E+01	0.147E+01	0.614E-01	0.271E-04	0.000E+00
186.765	63.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.194E-05	0.233E+00	0.540E+01	0.122E+01	0.449E-01	0.169E-04	0.000E+00
188.007	64.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.125E-04	0.389E+00	0.565E+01	0.985E+00	0.322E-01	0.103E-04	0.000E+00
189.249	65.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.628E-04	0.601E+00	0.576E+01	0.781E+00	0.227E-01	0.620E-05	0.000E+00
190.492	66.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.259E-03	0.870E+00	0.572E+01	0.607E+00	0.158E-01	0.358E-05	0.000E+00
191.734	67.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.904E-03	0.119E+01	0.555E+01	0.463E+00	0.108E-01	0.196E-05	0.000E+00
192.977	68.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.272E-02	0.155E+01	0.526E+01	0.348E+00	0.734E-02	0.940E-06	0.000E+00
194.219	69.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.716E-02	0.193E+01	0.488E+01	0.258E+00	0.491E-02	0.311E-06	0.000E+00
195.462	70.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.168E-01	0.231E+01	0.443E+01	0.188E+00	0.325E-02	0.000E+00	0.000E+00
196.704	71.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.355E-01	0.268E+01	0.395E+01	0.136E+00	0.213E-02	0.000E+00	0.000E+00
197.946	72.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.686E-01	0.301E+01	0.346E+01	0.970E-01	0.139E-02	0.000E+00	0.000E+00
