E_lab	E*/MeV	195At	196At	197At	198At	199At	200At	201At	202At	203At	204At	205At
164.401	45.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.105E-10	0.116E-05	0.172E-06	0.180E-09	0.000E+00	0.000E+00
165.643	46.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.670E-09	0.400E-05	0.371E-06	0.321E-09	0.000E+00	0.000E+00
166.886	47.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.632E-07	0.118E-02	0.307E-03	0.206E-05	0.000E+00	0.000E+00
168.128	48.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.211E-05	0.560E-02	0.113E-02	0.894E-05	0.000E+00	0.000E+00
169.371	49.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.396E-04	0.201E-01	0.293E-02	0.231E-04	0.000E+00	0.000E+00
170.613	50.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.503E-03	0.679E-01	0.687E-02	0.495E-04	0.000E+00	0.000E+00
171.856	51.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.463E-02	0.221E+00	0.155E-01	0.991E-04	0.000E+00	0.000E+00
173.098	52.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.322E-01	0.681E+00	0.335E-01	0.191E-03	0.000E+00	0.000E+00
174.340	53.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.171E+00	0.189E+01	0.675E-01	0.350E-03	0.000E+00	0.000E+00
175.583	54.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.644E+00	0.430E+01	0.118E+00	0.582E-03	0.000E+00	0.000E+00
176.825	55.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.730E-05	0.164E+01	0.736E+01	0.166E+00	0.827E-03	0.000E+00	0.000E+00
178.068	56.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.100E-03	0.298E+01	0.969E+01	0.189E+00	0.979E-03	0.000E+00	0.000E+00
179.310	57.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.789E-03	0.432E+01	0.106E+02	0.185E+00	0.978E-03	0.000E+00	0.000E+00
180.552	58.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.412E-02	0.545E+01	0.102E+02	0.159E+00	0.840E-03	0.000E+00	0.000E+00
181.795	59.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.156E-01	0.630E+01	0.897E+01	0.125E+00	0.634E-03	0.000E+00	0.000E+00
183.037	60.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.459E-01	0.689E+01	0.743E+01	0.908E-01	0.431E-03	0.000E+00	0.000E+00
184.280	61.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.110E+00	0.722E+01	0.588E+01	0.622E-01	0.271E-03	0.000E+00	0.000E+00
185.522	62.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.222E+00	0.733E+01	0.451E+01	0.408E-01	0.161E-03	0.000E+00	0.000E+00
186.765	63.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.394E+00	0.721E+01	0.338E+01	0.260E-01	0.924E-04	0.000E+00	0.000E+00
188.007	64.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.628E+00	0.691E+01	0.249E+01	0.163E-01	0.509E-04	0.000E+00	0.000E+00
189.249	65.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.916E+00	0.645E+01	0.181E+01	0.101E-01	0.267E-04	0.000E+00	0.000E+00
190.492	66.0	0.000E+00	0.000E+00	0.000E+00	0.837E-06	0.124E+01	0.587E+01	0.130E+01	0.624E-02	0.124E-04	0.000E+00	0.000E+00
191.734	67.0	0.000E+00	0.000E+00	0.000E+00	0.767E-05	0.159E+01	0.521E+01	0.919E+00	0.383E-02	0.427E-05	0.000E+00	0.000E+00
192.977	68.0	0.000E+00	0.000E+00	0.000E+00	0.487E-04	0.193E+01	0.453E+01	0.646E+00	0.234E-02	0.000E+00	0.000E+00	0.000E+00
194.219	69.0	0.000E+00	0.000E+00	0.000E+00	0.229E-03	0.225E+01	0.385E+01	0.450E+00	0.143E-02	0.000E+00	0.000E+00	0.000E+00
195.462	70.0	0.000E+00	0.000E+00	0.000E+00	0.832E-03	0.253E+01	0.322E+01	0.311E+00	0.867E-03	0.000E+00	0.000E+00	0.000E+00
196.704	71.0	0.000E+00	0.000E+00	0.000E+00	0.244E-02	0.275E+01	0.264E+01	0.214E+00	0.525E-03	0.000E+00	0.000E+00	0.000E+00
197.946	72.0	0.000E+00	0.000E+00	0.000E+00	0.600E-02	0.290E+01	0.212E+01	0.146E+00	0.316E-03	0.000E+00	0.000E+00	0.000E+00
199.189	73.0	0.000E+00	0.000E+00	0.000E+00	0.127E-01	0.297E+01	0.169E+01	0.989E-01	0.189E-03	0.000E+00	0.000E+00	0.000E+00
200.431	74.0	0.000E+00	0.000E+00	0.000E+00	0.238E-01	0.297E+01	0.132E+01	0.668E-01	0.113E-03	0.000E+00	0.000E+00	0.000E+00
201.674	75.0	0.000E+00	0.000E+00	0.000E+00	0.404E-01	0.290E+01	0.102E+01	0.449E-01	0.667E-04	0.000E+00	0.000E+00	0.000E+00
202.916	76.0	0.000E+00	0.000E+00	0.000E+00	0.629E-01	0.277E+01	0.779E+00	0.301E-01	0.390E-04	0.000E+00	0.000E+00	0.000E+00
204.159	77.0	0.000E+00	0.000E+00	0.868E-06	0.913E-01	0.258E+01	0.588E+00	0.200E-01	0.224E-04	0.000E+00	0.000E+00	0.000E+00
205.401	78.0	0.000E+00	0.000E+00	0.498E-05	0.125E+00	0.236E+01	0.440E+00	0.133E-01	0.117E-04	0.000E+00	0.000E+00	0.000E+00
206.643	79.0	0.000E+00	0.000E+00	0.222E-04	0.163E+00	0.212E+01	0.326E+00	0.881E-02	0.599E-05	0.000E+00	0.000E+00	0.000E+00
207.886	80.0	0.000E+00	0.000E+00	0.798E-04	0.203E+00	0.187E+01	0.240E+00	0.581E-02	0.224E-05	0.000E+00	0.000E+00	0.000E+00
209.128	81.0	0.000E+00	0.000E+00	0.239E-03	0.243E+00	0.162E+01	0.175E+00	0.382E-02	0.000E+00	0.000E+00	0.000E+00	0.000E+00
210.371	82.0	0.000E+00	0.000E+00	0.612E-03	0.282E+00	0.138E+01	0.127E+00	0.250E-02	0.000E+00	0.000E+00	0.000E+00	0.000E+00
