E_lab	E*/MeV	196At	197At	198At	199At	200At	201At	202At	203At	204At	205At
145.765	30.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.620E-07	0.124E-05	0.680E-08	0.619E-11
147.007	31.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.101E-05	0.643E-05	0.207E-07	0.156E-10
148.249	32.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.107E-04	0.305E-04	0.603E-07	0.365E-10
149.492	33.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.865E-04	0.133E-03	0.168E-06	0.705E-10
150.734	34.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.581E-03	0.529E-03	0.456E-06	0.000E+00
151.977	35.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.985E-08	0.321E-02	0.187E-02	0.117E-05	0.000E+00
153.219	36.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.101E-05	0.134E-01	0.540E-02	0.269E-05	0.000E+00
154.462	37.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.324E-04	0.402E-01	0.120E-01	0.535E-05	0.000E+00
155.704	38.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.456E-03	0.929E-01	0.210E-01	0.887E-05	0.000E+00
156.946	39.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.346E-02	0.179E+00	0.309E-01	0.123E-04	0.000E+00
158.189	40.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.165E-01	0.302E+00	0.397E-01	0.148E-04	0.000E+00
159.431	41.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.561E-01	0.462E+00	0.460E-01	0.155E-04	0.000E+00
160.674	42.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.147E+00	0.645E+00	0.492E-01	0.146E-04	0.000E+00
161.916	43.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.319E+00	0.827E+00	0.491E-01	0.126E-04	0.000E+00
163.159	44.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.597E+00	0.982E+00	0.462E-01	0.100E-04	0.000E+00
164.401	45.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.100E+01	0.109E+01	0.412E-01	0.750E-05	0.000E+00
165.643	46.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.253E-05	0.154E+01	0.114E+01	0.351E-01	0.522E-05	0.000E+00
166.886	47.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.569E-04	0.221E+01	0.114E+01	0.287E-01	0.325E-05	0.000E+00
168.128	48.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.667E-03	0.300E+01	0.108E+01	0.227E-01	0.155E-05	0.000E+00
169.371	49.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.474E-02	0.389E+01	0.989E+00	0.174E-01	0.000E+00	0.000E+00
170.613	50.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.225E-01	0.483E+01	0.871E+00	0.130E-01	0.000E+00	0.000E+00
171.856	51.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.762E-01	0.576E+01	0.741E+00	0.946E-02	0.000E+00	0.000E+00
173.098	52.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.199E+00	0.659E+01	0.611E+00	0.675E-02	0.000E+00	0.000E+00
174.340	53.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.424E+00	0.723E+01	0.491E+00	0.472E-02	0.000E+00	0.000E+00
