E_lab	E*/MeV	198At	199At	200At	201At	202At	203At	204At	205At
148.249	32.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.308E-06	0.865E-06	0.166E-08	0.102E-11
149.492	33.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.261E-05	0.392E-05	0.484E-08	0.220E-11
150.734	34.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.186E-04	0.165E-04	0.135E-07	0.000E+00
151.977	35.0	0.000E+00	0.000E+00	0.000E+00	0.405E-09	0.118E-03	0.649E-04	0.361E-07	0.000E+00
153.219	36.0	0.000E+00	0.000E+00	0.000E+00	0.602E-07	0.672E-03	0.238E-03	0.931E-07	0.000E+00
154.462	37.0	0.000E+00	0.000E+00	0.000E+00	0.343E-05	0.343E-02	0.807E-03	0.232E-06	0.000E+00
155.704	38.0	0.000E+00	0.000E+00	0.000E+00	0.889E-04	0.145E-01	0.237E-02	0.543E-06	0.000E+00
156.946	39.0	0.000E+00	0.000E+00	0.000E+00	0.108E-02	0.461E-01	0.564E-02	0.115E-05	0.000E+00
158.189	40.0	0.000E+00	0.000E+00	0.000E+00	0.704E-02	0.111E+00	0.107E-01	0.204E-05	0.000E+00
159.431	41.0	0.000E+00	0.000E+00	0.000E+00	0.291E-01	0.216E+00	0.168E-01	0.310E-05	0.000E+00
160.674	42.0	0.000E+00	0.000E+00	0.000E+00	0.888E-01	0.359E+00	0.228E-01	0.403E-05	0.000E+00
161.916	43.0	0.000E+00	0.000E+00	0.000E+00	0.218E+00	0.530E+00	0.275E-01	0.457E-05	0.000E+00
163.159	44.0	0.000E+00	0.000E+00	0.000E+00	0.456E+00	0.708E+00	0.301E-01	0.456E-05	0.000E+00
164.401	45.0	0.000E+00	0.000E+00	0.000E+00	0.836E+00	0.866E+00	0.306E-01	0.410E-05	0.000E+00
165.643	46.0	0.000E+00	0.000E+00	0.246E-05	0.138E+01	0.982E+00	0.290E-01	0.322E-05	0.000E+00
166.886	47.0	0.000E+00	0.000E+00	0.572E-04	0.208E+01	0.104E+01	0.259E-01	0.225E-05	0.000E+00
168.128	48.0	0.000E+00	0.000E+00	0.691E-03	0.295E+01	0.104E+01	0.220E-01	0.111E-05	0.000E+00
169.371	49.0	0.000E+00	0.000E+00	0.506E-02	0.395E+01	0.992E+00	0.178E-01	0.000E+00	0.000E+00
170.613	50.0	0.000E+00	0.000E+00	0.246E-01	0.505E+01	0.904E+00	0.139E-01	0.000E+00	0.000E+00
171.856	51.0	0.000E+00	0.000E+00	0.855E-01	0.619E+01	0.793E+00	0.105E-01	0.000E+00	0.000E+00
173.098	52.0	0.000E+00	0.000E+00	0.229E+00	0.727E+01	0.672E+00	0.776E-02	0.000E+00	0.000E+00
174.340	53.0	0.000E+00	0.000E+00	0.502E+00	0.819E+01	0.553E+00	0.558E-02	0.000E+00	0.000E+00
175.583	54.0	0.000E+00	0.000E+00	0.941E+00	0.885E+01	0.443E+00	0.393E-02	0.000E+00	0.000E+00
176.825	55.0	0.000E+00	0.586E-05	0.156E+01	0.917E+01	0.345E+00	0.272E-02	0.000E+00	0.000E+00
178.068	56.0	0.000E+00	0.734E-04	0.234E+01	0.911E+01	0.263E+00	0.185E-02	0.000E+00	0.000E+00
179.310	57.0	0.000E+00	0.587E-03	0.324E+01	0.869E+01	0.196E+00	0.123E-02	0.000E+00	0.000E+00
180.552	58.0	0.000E+00	0.323E-02	0.417E+01	0.797E+01	0.143E+00	0.812E-03	0.000E+00	0.000E+00
181.795	59.0	0.000E+00	0.130E-01	0.505E+01	0.703E+01	0.102E+00	0.525E-03	0.000E+00	0.000E+00
183.037	60.0	0.000E+00	0.402E-01	0.581E+01	0.599E+01	0.714E-01	0.333E-03	0.000E+00	0.000E+00
184.280	61.0	0.000E+00	0.100E+00	0.638E+01	0.493E+01	0.490E-01	0.207E-03	0.000E+00	0.000E+00
185.522	62.0	0.000E+00	0.209E+00	0.671E+01	0.394E+01	0.330E-01	0.126E-03	0.000E+00	0.000E+00
186.765	63.0	0.000E+00	0.379E+00	0.679E+01	0.306E+01	0.218E-01	0.753E-04	0.000E+00	0.000E+00
188.007	64.0	0.000E+00	0.612E+00	0.664E+01	0.232E+01	0.142E-01	0.432E-04	0.000E+00	0.000E+00
189.249	65.0	0.000E+00	0.903E+00	0.629E+01	0.172E+01	0.913E-02	0.233E-04	0.000E+00	0.000E+00
190.492	66.0	0.834E-06	0.123E+01	0.578E+01	0.126E+01	0.580E-02	0.114E-04	0.000E+00	0.000E+00
191.734	67.0	0.766E-05	0.158E+01	0.516E+01	0.901E+00	0.364E-02	0.402E-05	0.000E+00	0.000E+00
192.977	68.0	0.487E-04	0.193E+01	0.450E+01	0.638E+00	0.226E-02	0.000E+00	0.000E+00	0.000E+00
