E_lab	E*/MeV	197At	198At	199At	200At	201At	202At	203At	204At	205At
145.765	30.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.644E-07	0.129E-05	0.718E-08	0.686E-11
147.007	31.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.106E-05	0.672E-05	0.220E-07	0.176E-10
148.249	32.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.112E-04	0.320E-04	0.643E-07	0.414E-10
149.492	33.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.912E-04	0.140E-03	0.180E-06	0.863E-10
150.734	34.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.616E-03	0.560E-03	0.490E-06	0.000E+00
151.977	35.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.106E-07	0.343E-02	0.200E-02	0.126E-05	0.000E+00
153.219	36.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.109E-05	0.144E-01	0.580E-02	0.293E-05	0.000E+00
154.462	37.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.353E-04	0.436E-01	0.130E-01	0.589E-05	0.000E+00
155.704	38.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.500E-03	0.102E+00	0.231E-01	0.991E-05	0.000E+00
156.946	39.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.382E-02	0.198E+00	0.345E-01	0.140E-04	0.000E+00
158.189	40.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.184E-01	0.337E+00	0.451E-01	0.171E-04	0.000E+00
159.431	41.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.626E-01	0.520E+00	0.531E-01	0.182E-04	0.000E+00
160.674	42.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.165E+00	0.731E+00	0.576E-01	0.174E-04	0.000E+00
161.916	43.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.360E+00	0.944E+00	0.583E-01	0.152E-04	0.000E+00
163.159	44.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.680E+00	0.113E+01	0.556E-01	0.122E-04	0.000E+00
