E_lab	E*/MeV	197Bi	198Bi	199Bi	200Bi	201Bi	202Bi	203Bi
188.852	51.0	0.970E-09	0.107E-07	0.132E-08	0.423E-10	0.554E-09	0.192E-10	0.226E-13
190.133	52.0	0.553E-08	0.364E-07	0.303E-08	0.245E-09	0.200E-08	0.439E-10	0.427E-13
191.415	53.0	0.221E-06	0.204E-05	0.178E-06	0.126E-07	0.111E-06	0.326E-08	0.317E-11
192.696	54.0	0.692E-05	0.560E-04	0.667E-05	0.392E-06	0.324E-05	0.973E-07	0.294E-09
193.977	55.0	0.415E-04	0.217E-03	0.214E-04	0.231E-05	0.127E-04	0.295E-06	0.978E-09
195.258	56.0	0.211E-03	0.720E-03	0.566E-04	0.119E-04	0.435E-04	0.746E-06	0.250E-08
196.540	57.0	0.991E-03	0.224E-02	0.138E-03	0.574E-04	0.142E-03	0.175E-05	0.561E-08
197.821	58.0	0.431E-02	0.664E-02	0.326E-03	0.257E-03	0.443E-03	0.398E-05	0.119E-07
199.102	59.0	0.170E-01	0.184E-01	0.742E-03	0.105E-02	0.130E-02	0.861E-05	0.240E-07
200.383	60.0	0.575E-01	0.448E-01	0.158E-02	0.365E-02	0.333E-02	0.170E-04	0.456E-07
201.665	61.0	0.150E+00	0.877E-01	0.301E-02	0.966E-02	0.679E-02	0.284E-04	0.781E-07
202.946	62.0	0.291E+00	0.133E+00	0.495E-02	0.187E-01	0.106E-01	0.391E-04	0.118E-06
204.227	63.0	0.444E+00	0.165E+00	0.724E-02	0.284E-01	0.132E-01	0.459E-04	0.158E-06
205.508	64.0	0.581E+00	0.177E+00	0.983E-02	0.367E-01	0.144E-01	0.482E-04	0.192E-06
206.790	65.0	0.686E+00	0.173E+00	0.128E-01	0.430E-01	0.143E-01	0.467E-04	0.213E-06
208.071	66.0	0.757E+00	0.157E+00	0.163E-01	0.472E-01	0.134E-01	0.424E-04	0.219E-06
209.352	67.0	0.795E+00	0.135E+00	0.204E-01	0.496E-01	0.120E-01	0.365E-04	0.208E-06
210.633	68.0	0.806E+00	0.110E+00	0.254E-01	0.502E-01	0.104E-01	0.299E-04	0.183E-06
211.915	69.0	0.793E+00	0.869E-01	0.313E-01	0.494E-01	0.875E-02	0.234E-04	0.149E-06
213.196	70.0	0.761E+00	0.666E-01	0.381E-01	0.474E-01	0.720E-02	0.176E-04	0.112E-06
214.477	71.0	0.714E+00	0.501E-01	0.454E-01	0.444E-01	0.581E-02	0.127E-04	0.784E-07
215.758	72.0	0.657E+00	0.372E-01	0.530E-01	0.407E-01	0.461E-02	0.893E-05	0.517E-07
217.040	73.0	0.593E+00	0.276E-01	0.606E-01	0.367E-01	0.304E-02	0.610E-05	0.323E-07
218.321	74.0	0.526E+00	0.208E-01	0.678E-01	0.324E-01	0.195E-02	0.408E-05	0.189E-07
219.602	75.0	0.459E+00	0.165E-01	0.743E-01	0.281E-01	0.135E-02	0.269E-05	0.102E-07
220.883	76.0	0.394E+00	0.142E-01	0.798E-01	0.236E-01	0.823E-03	0.176E-05	0.449E-08
222.165	77.0	0.333E+00	0.138E-01	0.840E-01	0.196E-01	0.559E-03	0.113E-05	0.000E+00
223.446	78.0	0.278E+00	0.151E-01	0.869E-01	0.145E-01	0.330E-03	0.727E-06	0.000E+00
224.727	79.0	0.229E+00	0.179E-01	0.882E-01	0.988E-02	0.219E-03	0.462E-06	0.000E+00
226.008	80.0	0.186E+00	0.220E-01	0.880E-01	0.674E-02	0.152E-03	0.290E-06	0.000E+00
227.290	81.0	0.149E+00	0.273E-01	0.863E-01	0.436E-02	0.938E-04	0.181E-06	0.000E+00
228.571	82.0	0.119E+00	0.335E-01	0.826E-01	0.280E-02	0.626E-04	0.111E-06	0.000E+00
229.852	83.0	0.937E-01	0.404E-01	0.775E-01	0.173E-02	0.366E-04	0.669E-07	0.000E+00
231.133	84.0	0.922E-01	0.430E-01	0.767E-01	0.180E-02	0.227E-04	0.388E-07	0.000E+00
232.415	85.0	0.729E-01	0.498E-01	0.705E-01	0.111E-02	0.135E-04	0.213E-07	0.000E+00
233.696	86.0	0.580E-01	0.565E-01	0.636E-01	0.656E-03	0.770E-05	0.105E-07	0.000E+00
234.977	87.0	0.493E-01	0.628E-01	0.563E-01	0.367E-03	0.420E-05	0.205E-08	0.000E+00
236.258	88.0	0.499E-01	0.625E-01	0.565E-01	0.207E-03	0.214E-05	0.000E+00	0.000E+00
237.540	89.0	0.422E-01	0.677E-01	0.413E-01	0.114E-03	0.000E+00	0.000E+00	0.000E+00
238.821	90.0	0.376E-01	0.720E-01	0.296E-01	0.614E-04	0.000E+00	0.000E+00	0.000E+00
