E_lab	E*/MeV	198Po	199Po	200Po	201Po	202Po	203Po	204Po
164.401	45.0	0.000E+00	0.000E+00	0.346E-09	0.882E-07	0.337E-07	0.124E-10	0.000E+00
165.643	46.0	0.000E+00	0.000E+00	0.412E-08	0.330E-06	0.823E-07	0.223E-10	0.000E+00
166.886	47.0	0.000E+00	0.000E+00	0.468E-06	0.909E-04	0.468E-04	0.656E-07	0.254E-10
168.128	48.0	0.000E+00	0.000E+00	0.496E-05	0.443E-03	0.185E-03	0.259E-06	0.165E-09
169.371	49.0	0.000E+00	0.000E+00	0.411E-04	0.167E-02	0.525E-03	0.642E-06	0.420E-09
170.613	50.0	0.000E+00	0.000E+00	0.291E-03	0.592E-02	0.136E-02	0.136E-05	0.000E+00
171.856	51.0	0.000E+00	0.000E+00	0.180E-02	0.200E-01	0.338E-02	0.272E-05	0.000E+00
173.098	52.0	0.000E+00	0.000E+00	0.966E-02	0.640E-01	0.805E-02	0.517E-05	0.000E+00
174.340	53.0	0.000E+00	0.000E+00	0.433E-01	0.183E+00	0.177E-01	0.934E-05	0.000E+00
175.583	54.0	0.000E+00	0.893E-06	0.147E+00	0.425E+00	0.335E-01	0.152E-04	0.000E+00
176.825	55.0	0.000E+00	0.983E-05	0.353E+00	0.740E+00	0.507E-01	0.213E-04	0.000E+00
178.068	56.0	0.000E+00	0.647E-04	0.628E+00	0.989E+00	0.620E-01	0.256E-04	0.000E+00
179.310	57.0	0.000E+00	0.296E-03	0.910E+00	0.110E+01	0.648E-01	0.271E-04	0.000E+00
180.552	58.0	0.000E+00	0.105E-02	0.116E+01	0.108E+01	0.602E-01	0.258E-04	0.000E+00
181.795	59.0	0.000E+00	0.305E-02	0.138E+01	0.985E+00	0.509E-01	0.224E-04	0.000E+00
183.037	60.0	0.000E+00	0.761E-02	0.154E+01	0.846E+00	0.399E-01	0.179E-04	0.000E+00
184.280	61.0	0.000E+00	0.167E-01	0.167E+01	0.697E+00	0.294E-01	0.132E-04	0.000E+00
185.522	62.0	0.000E+00	0.326E-01	0.175E+01	0.555E+00	0.207E-01	0.908E-05	0.000E+00
186.765	63.0	0.291E-06	0.578E-01	0.178E+01	0.432E+00	0.141E-01	0.580E-05	0.000E+00
188.007	64.0	0.186E-05	0.942E-01	0.178E+01	0.329E+00	0.942E-02	0.349E-05	0.000E+00
189.249	65.0	0.937E-05	0.142E+00	0.174E+01	0.247E+00	0.619E-02	0.195E-05	0.000E+00
190.492	66.0	0.389E-04	0.202E+00	0.166E+01	0.183E+00	0.402E-02	0.101E-05	0.000E+00
191.734	67.0	0.137E-03	0.270E+00	0.155E+01	0.133E+00	0.260E-02	0.428E-06	0.000E+00
192.977	68.0	0.415E-03	0.343E+00	0.142E+01	0.963E-01	0.167E-02	0.122E-07	0.000E+00
194.219	69.0	0.111E-02	0.418E+00	0.127E+01	0.689E-01	0.106E-02	0.000E+00	0.000E+00
195.462	70.0	0.262E-02	0.491E+00	0.112E+01	0.488E-01	0.675E-03	0.000E+00	0.000E+00
196.704	71.0	0.560E-02	0.556E+00	0.968E+00	0.342E-01	0.427E-03	0.000E+00	0.000E+00
197.946	72.0	0.109E-01	0.612E+00	0.822E+00	0.239E-01	0.268E-03	0.000E+00	0.000E+00
199.189	73.0	0.194E-01	0.654E+00	0.687E+00	0.165E-01	0.168E-03	0.000E+00	0.000E+00
200.431	74.0	0.320E-01	0.682E+00	0.565E+00	0.113E-01	0.105E-03	0.000E+00	0.000E+00
201.674	75.0	0.495E-01	0.694E+00	0.458E+00	0.775E-02	0.650E-04	0.000E+00	0.000E+00
202.916	76.0	0.721E-01	0.691E+00	0.366E+00	0.527E-02	0.402E-04	0.000E+00	0.000E+00
204.159	77.0	0.997E-01	0.673E+00	0.289E+00	0.356E-02	0.247E-04	0.000E+00	0.000E+00
205.401	78.0	0.131E+00	0.642E+00	0.226E+00	0.239E-02	0.151E-04	0.000E+00	0.000E+00
206.643	79.0	0.166E+00	0.601E+00	0.174E+00	0.160E-02	0.910E-05	0.000E+00	0.000E+00
207.886	80.0	0.203E+00	0.552E+00	0.133E+00	0.107E-02	0.544E-05	0.000E+00	0.000E+00
209.128	81.0	0.239E+00	0.498E+00	0.101E+00	0.707E-03	0.321E-05	0.000E+00	0.000E+00
210.371	82.0	0.273E+00	0.442E+00	0.759E-01	0.467E-03	0.174E-05	0.000E+00	0.000E+00
211.613	83.0	0.304E+00	0.386E+00	0.566E-01	0.307E-03	0.855E-06	0.000E+00	0.000E+00
212.856	84.0	0.329E+00	0.332E+00	0.418E-01	0.201E-03	0.295E-06	0.000E+00	0.000E+00
214.098	85.0	0.349E+00	0.282E+00	0.308E-01	0.131E-03	0.000E+00	0.000E+00	0.000E+00
215.340	86.0	0.362E+00	0.237E+00	0.225E-01	0.850E-04	0.000E+00	0.000E+00	0.000E+00
216.583	87.0	0.367E+00	0.196E+00	0.163E-01	0.549E-04	0.000E+00	0.000E+00	0.000E+00
217.825	88.0	0.365E+00	0.160E+00	0.118E-01	0.353E-04	0.000E+00	0.000E+00	0.000E+00
219.068	89.0	0.357E+00	0.130E+00	0.845E-02	0.226E-04	0.000E+00	0.000E+00	0.000E+00
220.310	90.0	0.343E+00	0.104E+00	0.603E-02	0.143E-04	0.000E+00	0.000E+00	0.000E+00
