E_lab	E*/MeV	199At	200At	201At	202At	203At	204At	205At
164.401	45.0	0.000E+00	0.242E-11	0.621E-06	0.102E-06	0.130E-09	0.000E+00	0.000E+00
165.643	46.0	0.000E+00	0.160E-09	0.210E-05	0.219E-06	0.231E-09	0.000E+00	0.000E+00
166.886	47.0	0.000E+00	0.198E-07	0.580E-03	0.161E-03	0.115E-05	0.000E+00	0.000E+00
168.128	48.0	0.000E+00	0.680E-06	0.263E-02	0.563E-03	0.451E-05	0.000E+00	0.000E+00
169.371	49.0	0.000E+00	0.127E-04	0.915E-02	0.140E-02	0.107E-04	0.000E+00	0.000E+00
170.613	50.0	0.000E+00	0.159E-03	0.301E-01	0.322E-02	0.217E-04	0.000E+00	0.000E+00
171.856	51.0	0.000E+00	0.143E-02	0.951E-01	0.713E-02	0.419E-04	0.000E+00	0.000E+00
173.098	52.0	0.000E+00	0.975E-02	0.284E+00	0.152E-01	0.786E-04	0.000E+00	0.000E+00
174.340	53.0	0.000E+00	0.503E-01	0.761E+00	0.301E-01	0.140E-03	0.000E+00	0.000E+00
175.583	54.0	0.000E+00	0.184E+00	0.165E+01	0.509E-01	0.223E-03	0.000E+00	0.000E+00
176.825	55.0	0.185E-05	0.451E+00	0.267E+01	0.684E-01	0.295E-03	0.000E+00	0.000E+00
178.068	56.0	0.242E-04	0.786E+00	0.329E+01	0.736E-01	0.317E-03	0.000E+00	0.000E+00
179.310	57.0	0.184E-03	0.109E+01	0.333E+01	0.667E-01	0.283E-03	0.000E+00	0.000E+00
180.552	58.0	0.931E-03	0.133E+01	0.298E+01	0.535E-01	0.218E-03	0.000E+00	0.000E+00
181.795	59.0	0.343E-02	0.150E+01	0.246E+01	0.391E-01	0.148E-03	0.000E+00	0.000E+00
183.037	60.0	0.979E-02	0.161E+01	0.192E+01	0.268E-01	0.927E-04	0.000E+00	0.000E+00
184.280	61.0	0.228E-01	0.165E+01	0.145E+01	0.175E-01	0.544E-04	0.000E+00	0.000E+00
185.522	62.0	0.450E-01	0.165E+01	0.107E+01	0.111E-01	0.300E-04	0.000E+00	0.000E+00
186.765	63.0	0.779E-01	0.160E+01	0.769E+00	0.691E-02	0.150E-04	0.000E+00	0.000E+00
188.007	64.0	0.122E+00	0.151E+01	0.547E+00	0.426E-02	0.648E-05	0.000E+00	0.000E+00
189.249	65.0	0.174E+00	0.138E+01	0.385E+00	0.261E-02	0.822E-06	0.000E+00	0.000E+00
190.492	66.0	0.233E+00	0.124E+01	0.268E+00	0.159E-02	0.000E+00	0.000E+00	0.000E+00
191.734	67.0	0.293E+00	0.108E+01	0.185E+00	0.965E-03	0.000E+00	0.000E+00	0.000E+00
192.977	68.0	0.352E+00	0.923E+00	0.126E+00	0.584E-03	0.000E+00	0.000E+00	0.000E+00
194.219	69.0	0.404E+00	0.772E+00	0.859E-01	0.352E-03	0.000E+00	0.000E+00	0.000E+00
195.462	70.0	0.447E+00	0.633E+00	0.580E-01	0.212E-03	0.000E+00	0.000E+00	0.000E+00
196.704	71.0	0.477E+00	0.510E+00	0.390E-01	0.127E-03	0.000E+00	0.000E+00	0.000E+00
197.946	72.0	0.493E+00	0.404E+00	0.260E-01	0.751E-04	0.000E+00	0.000E+00	0.000E+00
199.189	73.0	0.495E+00	0.316E+00	0.173E-01	0.442E-04	0.000E+00	0.000E+00	0.000E+00
200.431	74.0	0.483E+00	0.243E+00	0.115E-01	0.258E-04	0.000E+00	0.000E+00	0.000E+00
201.674	75.0	0.459E+00	0.185E+00	0.756E-02	0.149E-04	0.000E+00	0.000E+00	0.000E+00
202.916	76.0	0.425E+00	0.140E+00	0.497E-02	0.841E-05	0.000E+00	0.000E+00	0.000E+00
204.159	77.0	0.386E+00	0.104E+00	0.326E-02	0.448E-05	0.000E+00	0.000E+00	0.000E+00
205.401	78.0	0.343E+00	0.768E-01	0.213E-02	0.177E-05	0.000E+00	0.000E+00	0.000E+00
206.643	79.0	0.299E+00	0.563E-01	0.138E-02	0.000E+00	0.000E+00	0.000E+00	0.000E+00
207.886	80.0	0.256E+00	0.409E-01	0.898E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00
209.128	81.0	0.215E+00	0.295E-01	0.580E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00
210.371	82.0	0.178E+00	0.212E-01	0.374E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00
211.613	83.0	0.146E+00	0.151E-01	0.240E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00
212.856	84.0	0.118E+00	0.107E-01	0.153E-03	0.000E+00	0.000E+00	0.000E+00	0.000E+00
214.098	85.0	0.941E-01	0.756E-02	0.976E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00
215.340	86.0	0.743E-01	0.531E-02	0.618E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00
216.583	87.0	0.581E-01	0.371E-02	0.388E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00
217.825	88.0	0.451E-01	0.259E-02	0.242E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00
219.068	89.0	0.346E-01	0.180E-02	0.150E-04	0.000E+00	0.000E+00	0.000E+00	0.000E+00
220.310	90.0	0.264E-01	0.124E-02	0.918E-05	0.000E+00	0.000E+00	0.000E+00	0.000E+00
