E_lab	E*/MeV	194Bi	195Bi	196Bi	197Bi	198Bi	199Bi	200Bi	201Bi	202Bi	203Bi
164.020	28.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.806E-14	0.194E-10	0.000E+00	0.355E-16
165.292	29.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.248E-12	0.146E-09	0.000E+00	0.952E-15
166.563	30.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.537E-11	0.102E-08	0.000E+00	0.195E-13
167.835	31.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.901E-10	0.672E-08	0.000E+00	0.319E-12
169.107	32.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.122E-08	0.411E-07	0.000E+00	0.428E-11
170.378	33.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.129E-07	0.222E-06	0.000E+00	0.451E-10
171.650	34.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.976E-07	0.945E-06	0.000E+00	0.336E-09
172.921	35.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.633E-12	0.500E-06	0.296E-05	0.221E-15	0.168E-08
174.193	36.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.105E-09	0.189E-05	0.715E-05	0.897E-14	0.617E-08
175.465	37.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.208E-08	0.578E-05	0.144E-04	0.180E-12	0.184E-07
176.736	38.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.175E-07	0.152E-04	0.254E-04	0.765E-11	0.477E-07
178.008	39.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.108E-06	0.357E-04	0.408E-04	0.646E-10	0.112E-06
179.280	40.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.528E-06	0.757E-04	0.603E-04	0.420E-09	0.239E-06
180.551	41.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.213E-05	0.146E-03	0.826E-04	0.218E-08	0.468E-06
181.823	42.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.734E-05	0.259E-03	0.106E-03	0.940E-08	0.853E-06
183.094	43.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.222E-04	0.427E-03	0.128E-03	0.343E-07	0.146E-05
184.366	44.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.600E-04	0.664E-03	0.147E-03	0.109E-06	0.236E-05
185.638	45.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.147E-03	0.975E-03	0.162E-03	0.304E-06	0.364E-05
186.909	46.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.746E-09	0.325E-03	0.136E-02	0.172E-03	0.757E-06	0.535E-05
188.181	47.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.229E-07	0.663E-03	0.180E-02	0.177E-03	0.170E-05	0.750E-05
189.452	48.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.186E-06	0.124E-02	0.228E-02	0.176E-03	0.350E-05	0.100E-04
190.724	49.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.890E-06	0.217E-02	0.274E-02	0.172E-03	0.661E-05	0.128E-04
191.996	50.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.357E-05	0.354E-02	0.315E-02	0.163E-03	0.116E-04	0.157E-04
193.267	51.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.123E-04	0.543E-02	0.347E-02	0.152E-03	0.190E-04	0.184E-04
194.539	52.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.376E-04	0.790E-02	0.367E-02	0.139E-03	0.294E-04	0.206E-04
195.810	53.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.103E-03	0.110E-01	0.374E-02	0.126E-03	0.430E-04	0.222E-04
197.082	54.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.253E-03	0.146E-01	0.368E-02	0.115E-03	0.597E-04	0.231E-04
198.354	55.0	0.000E+00	0.000E+00	0.000E+00	0.210E-08	0.570E-03	0.186E-01	0.350E-02	0.108E-03	0.790E-04	0.233E-04
199.625	56.0	0.000E+00	0.000E+00	0.000E+00	0.166E-07	0.118E-02	0.229E-01	0.324E-02	0.109E-03	0.999E-04	0.227E-04
200.897	57.0	0.000E+00	0.000E+00	0.000E+00	0.289E-06	0.223E-02	0.272E-01	0.291E-02	0.119E-03	0.121E-03	0.215E-04
202.168	58.0	0.000E+00	0.000E+00	0.000E+00	0.127E-05	0.394E-02	0.313E-01	0.256E-02	0.143E-03	0.141E-03	0.198E-04
203.440	59.0	0.000E+00	0.000E+00	0.000E+00	0.475E-05	0.647E-02	0.348E-01	0.219E-02	0.181E-03	0.157E-03	0.179E-04
204.712	60.0	0.000E+00	0.000E+00	0.000E+00	0.155E-04	0.998E-02	0.375E-01	0.184E-02	0.235E-03	0.169E-03	0.158E-04
205.983	61.0	0.000E+00	0.000E+00	0.000E+00	0.452E-04	0.145E-01	0.392E-01	0.151E-02	0.305E-03	0.176E-03	0.136E-04
207.255	62.0	0.000E+00	0.000E+00	0.000E+00	0.118E-03	0.200E-01	0.399E-01	0.122E-02	0.391E-03	0.177E-03	0.116E-04
208.526	63.0	0.000E+00	0.000E+00	0.000E+00	0.283E-03	0.264E-01	0.394E-01	0.971E-03	0.488E-03	0.172E-03	0.968E-05
209.798	64.0	0.000E+00	0.000E+00	0.000E+00	0.621E-03	0.334E-01	0.380E-01	0.767E-03	0.595E-03	0.164E-03	0.797E-05
211.070	65.0	0.000E+00	0.000E+00	0.000E+00	0.126E-02	0.407E-01	0.358E-01	0.607E-03	0.707E-03	0.151E-03	0.647E-05
212.341	66.0	0.000E+00	0.000E+00	0.000E+00	0.237E-02	0.479E-01	0.329E-01	0.492E-03	0.817E-03	0.137E-03	0.519E-05
213.613	67.0	0.000E+00	0.000E+00	0.161E-07	0.418E-02	0.547E-01	0.298E-01	0.422E-03	0.922E-03	0.121E-03	0.411E-05
214.884	68.0	0.000E+00	0.000E+00	0.187E-06	0.691E-02	0.607E-01	0.264E-01	0.396E-03	0.102E-02	0.105E-03	0.322E-05
216.156	69.0	0.000E+00	0.000E+00	0.897E-06	0.108E-01	0.654E-01	0.230E-01	0.413E-03	0.109E-02	0.893E-04	0.250E-05
217.428	70.0	0.000E+00	0.000E+00	0.306E-05	0.159E-01	0.687E-01	0.197E-01	0.473E-03	0.115E-02	0.749E-04	0.192E-05
218.699	71.0	0.000E+00	0.000E+00	0.935E-05	0.225E-01	0.703E-01	0.167E-01	0.572E-03	0.118E-02	0.619E-04	0.146E-05
219.971	72.0	0.000E+00	0.000E+00	0.259E-04	0.304E-01	0.703E-01	0.139E-01	0.709E-03	0.119E-02	0.505E-04	0.110E-05
221.242	73.0	0.000E+00	0.000E+00	0.659E-04	0.394E-01	0.687E-01	0.114E-01	0.878E-03	0.118E-02	0.406E-04	0.823E-06
222.514	74.0	0.000E+00	0.000E+00	0.155E-03	0.494E-01	0.657E-01	0.931E-02	0.107E-02	0.114E-02	0.324E-04	0.610E-06
223.786	75.0	0.000E+00	0.000E+00	0.336E-03	0.601E-01	0.616E-01	0.752E-02	0.128E-02	0.108E-02	0.255E-04	0.449E-06
225.057	76.0	0.000E+00	0.000E+00	0.683E-03	0.710E-01	0.566E-01	0.603E-02	0.150E-02	0.101E-02	0.199E-04	0.327E-06
226.329	77.0	0.000E+00	0.212E-07	0.130E-02	0.818E-01	0.511E-01	0.485E-02	0.172E-02	0.924E-03	0.154E-04	0.237E-06
227.601	78.0	0.000E+00	0.161E-06	0.215E-02	0.893E-01	0.489E-01	0.472E-02	0.179E-02	0.103E-02	0.118E-04	0.171E-06
228.872	79.0	0.000E+00	0.656E-06	0.364E-02	0.990E-01	0.431E-01	0.391E-02	0.206E-02	0.837E-03	0.893E-05	0.122E-06
