E_lab	E*/MeV	196At	197At	198At	199At	200At	201At	202At	203At	204At	205At
184.366	44.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.182E-14	0.397E-08	0.654E-08	0.129E-10	0.345E-15
185.638	45.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.137E-12	0.171E-07	0.175E-07	0.235E-10	0.000E+00
186.909	46.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.704E-10	0.309E-05	0.723E-05	0.375E-07	0.229E-10
188.181	47.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.180E-08	0.176E-04	0.318E-04	0.156E-06	0.152E-09
189.452	48.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.321E-07	0.732E-04	0.932E-04	0.375E-06	0.395E-09
190.724	49.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.437E-06	0.283E-03	0.252E-03	0.797E-06	0.715E-09
191.996	50.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.473E-05	0.104E-02	0.653E-03	0.159E-05	0.734E-09
193.267	51.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.411E-04	0.359E-02	0.161E-02	0.306E-05	0.000E+00
194.539	52.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.277E-03	0.111E-01	0.367E-02	0.560E-05	0.000E+00
195.810	53.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.133E-02	0.281E-01	0.707E-02	0.920E-05	0.000E+00
197.082	54.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.421E-02	0.523E-01	0.106E-01	0.127E-04	0.000E+00
198.354	55.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.922E-02	0.725E-01	0.122E-01	0.145E-04	0.000E+00
199.625	56.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.158E-01	0.820E-01	0.117E-01	0.140E-04	0.000E+00
