E_lab	E*/MeV	199Bi	200Bi	201Bi	202Bi	203Bi	204Bi	205Bi
98.094	34.0	0.000E+00	0.000E+00	0.459E-08	0.699E-08	0.534E-10	0.129E-10	0.424E-10
99.238	35.0	0.000E+00	0.282E-13	0.392E-07	0.341E-07	0.180E-09	0.134E-09	0.244E-09
100.382	36.0	0.000E+00	0.895E-11	0.294E-06	0.149E-06	0.581E-09	0.118E-08	0.127E-08
101.525	37.0	0.000E+00	0.545E-09	0.197E-05	0.591E-06	0.181E-08	0.916E-08	0.600E-08
102.669	38.0	0.000E+00	0.161E-07	0.118E-04	0.212E-05	0.574E-08	0.624E-07	0.255E-07
103.813	39.0	0.000E+00	0.285E-06	0.628E-04	0.681E-05	0.226E-07	0.367E-06	0.951E-07
104.956	40.0	0.000E+00	0.323E-05	0.275E-03	0.184E-04	0.120E-06	0.173E-05	0.293E-06
106.100	41.0	0.000E+00	0.242E-04	0.926E-03	0.397E-04	0.647E-06	0.613E-05	0.710E-06
107.244	42.0	0.000E+00	0.130E-03	0.247E-02	0.702E-04	0.294E-05	0.169E-04	0.138E-05
108.387	43.0	0.815E-09	0.541E-03	0.554E-02	0.107E-03	0.111E-04	0.388E-04	0.230E-05
109.531	44.0	0.287E-07	0.185E-02	0.108E-01	0.147E-03	0.352E-04	0.770E-04	0.340E-05
110.675	45.0	0.870E-06	0.531E-02	0.187E-01	0.184E-03	0.954E-04	0.135E-03	0.457E-05
111.818	46.0	0.754E-05	0.130E-01	0.291E-01	0.215E-03	0.226E-03	0.213E-03	0.569E-05
112.962	47.0	0.453E-04	0.280E-01	0.414E-01	0.237E-03	0.476E-03	0.304E-03	0.666E-05
114.106	48.0	0.209E-03	0.540E-01	0.544E-01	0.250E-03	0.911E-03	0.401E-03	0.738E-05
115.249	49.0	0.790E-03	0.947E-01	0.669E-01	0.254E-03	0.148E-02	0.492E-03	0.784E-05
116.393	50.0	0.256E-02	0.153E+00	0.777E-01	0.259E-03	0.248E-02	0.567E-03	0.800E-05
117.536	51.0	0.729E-02	0.231E+00	0.857E-01	0.283E-03	0.390E-02	0.618E-03	0.788E-05
118.680	52.0	0.184E-01	0.326E+00	0.905E-01	0.372E-03	0.577E-02	0.641E-03	0.754E-05
119.824	53.0	0.415E-01	0.434E+00	0.920E-01	0.605E-03	0.808E-02	0.637E-03	0.704E-05
120.967	54.0	0.842E-01	0.544E+00	0.903E-01	0.111E-02	0.107E-01	0.609E-03	0.641E-05
122.111	55.0	0.154E+00	0.645E+00	0.859E-01	0.205E-02	0.135E-01	0.562E-03	0.571E-05
123.255	56.0	0.257E+00	0.725E+00	0.794E-01	0.361E-02	0.161E-01	0.504E-03	0.498E-05
124.398	57.0	0.395E+00	0.776E+00	0.715E-01	0.594E-02	0.184E-01	0.440E-03	0.426E-05
125.542	58.0	0.564E+00	0.793E+00	0.629E-01	0.914E-02	0.201E-01	0.375E-03	0.358E-05
126.686	59.0	0.757E+00	0.777E+00	0.542E-01	0.132E-01	0.210E-01	0.313E-03	0.295E-05
127.829	60.0	0.962E+00	0.735E+00	0.458E-01	0.179E-01	0.212E-01	0.256E-03	0.240E-05
128.973	61.0	0.117E+01	0.672E+00	0.382E-01	0.231E-01	0.206E-01	0.207E-03	0.191E-05
130.117	62.0	0.136E+01	0.597E+00	0.318E-01	0.284E-01	0.195E-01	0.164E-03	0.150E-05
131.260	63.0	0.153E+01	0.517E+00	0.269E-01	0.336E-01	0.180E-01	0.128E-03	0.116E-05
132.404	64.0	0.167E+01	0.437E+00	0.237E-01	0.382E-01	0.162E-01	0.988E-04	0.878E-06
133.547	65.0	0.178E+01	0.361E+00	0.224E-01	0.420E-01	0.143E-01	0.752E-04	0.656E-06
134.691	66.0	0.184E+01	0.293E+00	0.231E-01	0.447E-01	0.124E-01	0.565E-04	0.482E-06
135.835	67.0	0.185E+01	0.233E+00	0.256E-01	0.462E-01	0.106E-01	0.420E-04	0.348E-06
136.978	68.0	0.182E+01	0.182E+00	0.299E-01	0.465E-01	0.885E-02	0.308E-04	0.248E-06
138.122	69.0	0.175E+01	0.140E+00	0.357E-01	0.456E-01	0.684E-02	0.223E-04	0.173E-06
139.266	70.0	0.165E+01	0.106E+00	0.427E-01	0.437E-01	0.526E-02	0.160E-04	0.119E-06
140.409	71.0	0.152E+01	0.797E-01	0.505E-01	0.409E-01	0.398E-02	0.113E-04	0.807E-07
141.553	72.0	0.138E+01	0.593E-01	0.587E-01	0.374E-01	0.261E-02	0.796E-05	0.537E-07
142.697	73.0	0.123E+01	0.442E-01	0.669E-01	0.334E-01	0.195E-02	0.552E-05	0.349E-07
143.840	74.0	0.107E+01	0.336E-01	0.746E-01	0.291E-01	0.139E-02	0.379E-05	0.221E-07
144.984	75.0	0.921E+00	0.267E-01	0.814E-01	0.248E-01	0.101E-02	0.258E-05	0.133E-07
146.128	76.0	0.780E+00	0.231E-01	0.871E-01	0.207E-01	0.726E-03	0.174E-05	0.741E-08
147.271	77.0	0.651E+00	0.223E-01	0.913E-01	0.165E-01	0.486E-03	0.116E-05	0.344E-08
148.415	78.0	0.536E+00	0.240E-01	0.938E-01	0.118E-01	0.325E-03	0.768E-06	0.000E+00
149.559	79.0	0.435E+00	0.279E-01	0.946E-01	0.831E-02	0.212E-03	0.500E-06	0.000E+00
150.702	80.0	0.350E+00	0.336E-01	0.935E-01	0.566E-02	0.144E-03	0.323E-06	0.000E+00
