E_lab	E*/MeV	200Po	201Po	202Po	203Po	204Po	205Po	206Po
98.094	34.0	0.000E+00	0.000E+00	0.000E+00	0.334E-11	0.602E-07	0.191E-07	0.741E-10
99.238	35.0	0.000E+00	0.000E+00	0.000E+00	0.184E-09	0.417E-06	0.796E-07	0.242E-09
100.382	36.0	0.000E+00	0.000E+00	0.000E+00	0.582E-08	0.265E-05	0.306E-06	0.760E-09
101.525	37.0	0.000E+00	0.000E+00	0.000E+00	0.123E-06	0.157E-04	0.109E-05	0.227E-08
102.669	38.0	0.000E+00	0.000E+00	0.000E+00	0.189E-05	0.859E-04	0.363E-05	0.642E-08
103.813	39.0	0.000E+00	0.000E+00	0.000E+00	0.216E-04	0.421E-03	0.110E-04	0.171E-07
104.956	40.0	0.000E+00	0.000E+00	0.000E+00	0.175E-03	0.170E-02	0.285E-04	0.416E-07
106.100	41.0	0.000E+00	0.000E+00	0.000E+00	0.964E-03	0.525E-02	0.608E-04	0.901E-07
107.244	42.0	0.000E+00	0.000E+00	0.687E-08	0.384E-02	0.127E-01	0.107E-03	0.168E-06
108.387	43.0	0.000E+00	0.000E+00	0.536E-06	0.121E-01	0.257E-01	0.161E-03	0.276E-06
109.531	44.0	0.000E+00	0.000E+00	0.772E-05	0.317E-01	0.451E-01	0.218E-03	0.404E-06
110.675	45.0	0.000E+00	0.000E+00	0.725E-04	0.719E-01	0.706E-01	0.270E-03	0.538E-06
111.818	46.0	0.000E+00	0.000E+00	0.483E-03	0.144E+00	0.100E+00	0.311E-03	0.666E-06
112.962	47.0	0.000E+00	0.000E+00	0.242E-02	0.262E+00	0.132E+00	0.337E-03	0.767E-06
114.106	48.0	0.000E+00	0.000E+00	0.952E-02	0.436E+00	0.161E+00	0.346E-03	0.830E-06
115.249	49.0	0.000E+00	0.000E+00	0.306E-01	0.675E+00	0.187E+00	0.340E-03	0.842E-06
116.393	50.0	0.000E+00	0.000E+00	0.826E-01	0.976E+00	0.206E+00	0.320E-03	0.800E-06
117.536	51.0	0.000E+00	0.000E+00	0.192E+00	0.132E+01	0.217E+00	0.290E-03	0.714E-06
118.680	52.0	0.000E+00	0.217E-06	0.394E+00	0.169E+01	0.219E+00	0.253E-03	0.584E-06
119.824	53.0	0.000E+00	0.984E-05	0.722E+00	0.203E+01	0.214E+00	0.215E-03	0.428E-06
120.967	54.0	0.000E+00	0.776E-04	0.120E+01	0.231E+01	0.202E+00	0.177E-03	0.260E-06
122.111	55.0	0.000E+00	0.447E-03	0.184E+01	0.249E+01	0.185E+00	0.141E-03	0.514E-07
123.255	56.0	0.000E+00	0.199E-02	0.262E+01	0.257E+01	0.164E+00	0.109E-03	0.000E+00
124.398	57.0	0.000E+00	0.714E-02	0.350E+01	0.253E+01	0.142E+00	0.827E-04	0.000E+00
125.542	58.0	0.000E+00	0.212E-01	0.442E+01	0.240E+01	0.120E+00	0.610E-04	0.000E+00
126.686	59.0	0.000E+00	0.539E-01	0.533E+01	0.219E+01	0.984E-01	0.439E-04	0.000E+00
127.829	60.0	0.000E+00	0.119E+00	0.616E+01	0.194E+01	0.791E-01	0.308E-04	0.000E+00
128.973	61.0	0.000E+00	0.236E+00	0.685E+01	0.167E+01	0.621E-01	0.211E-04	0.000E+00
130.117	62.0	0.536E-05	0.420E+00	0.737E+01	0.140E+01	0.478E-01	0.142E-04	0.000E+00
131.260	63.0	0.345E-04	0.688E+00	0.770E+01	0.114E+01	0.360E-01	0.929E-05	0.000E+00
132.404	64.0	0.173E-03	0.105E+01	0.781E+01	0.916E+00	0.267E-01	0.596E-05	0.000E+00
133.547	65.0	0.709E-03	0.149E+01	0.772E+01	0.719E+00	0.194E-01	0.365E-05	0.000E+00
134.691	66.0	0.244E-02	0.201E+01	0.744E+01	0.554E+00	0.138E-01	0.211E-05	0.000E+00
135.835	67.0	0.721E-02	0.259E+01	0.702E+01	0.420E+00	0.971E-02	0.113E-05	0.000E+00
136.978	68.0	0.186E-01	0.320E+01	0.648E+01	0.313E+00	0.671E-02	0.466E-06	0.000E+00
138.122	69.0	0.426E-01	0.380E+01	0.586E+01	0.231E+00	0.458E-02	0.000E+00	0.000E+00
139.266	70.0	0.878E-01	0.436E+01	0.521E+01	0.167E+00	0.308E-02	0.000E+00	0.000E+00
140.409	71.0	0.165E+00	0.486E+01	0.454E+01	0.120E+00	0.204E-02	0.000E+00	0.000E+00
141.553	72.0	0.285E+00	0.526E+01	0.389E+01	0.851E-01	0.134E-02	0.000E+00	0.000E+00
142.697	73.0	0.458E+00	0.554E+01	0.329E+01	0.597E-01	0.873E-03	0.000E+00	0.000E+00
143.840	74.0	0.691E+00	0.569E+01	0.273E+01	0.415E-01	0.562E-03	0.000E+00	0.000E+00
144.984	75.0	0.985E+00	0.570E+01	0.224E+01	0.286E-01	0.359E-03	0.000E+00	0.000E+00
146.128	76.0	0.134E+01	0.558E+01	0.181E+01	0.196E-01	0.227E-03	0.000E+00	0.000E+00
147.271	77.0	0.173E+01	0.535E+01	0.145E+01	0.133E-01	0.143E-03	0.000E+00	0.000E+00
148.415	78.0	0.216E+01	0.502E+01	0.114E+01	0.897E-02	0.893E-04	0.000E+00	0.000E+00
149.559	79.0	0.260E+01	0.463E+01	0.893E+00	0.602E-02	0.552E-04	0.000E+00	0.000E+00
150.702	80.0	0.304E+01	0.418E+01	0.691E+00	0.402E-02	0.339E-04	0.000E+00	0.000E+00
