E_lab	E*/MeV	200At	201At	202At	203At	204At	205At	206At	207At
98.094	34.0	0.000E+00	0.000E+00	0.000E+00	0.141E-10	0.207E-05	0.707E-06	0.186E-09	0.000E+00
99.238	35.0	0.000E+00	0.000E+00	0.000E+00	0.248E-08	0.132E-04	0.279E-05	0.516E-09	0.000E+00
100.382	36.0	0.000E+00	0.000E+00	0.000E+00	0.157E-06	0.778E-04	0.103E-04	0.139E-08	0.000E+00
101.525	37.0	0.000E+00	0.000E+00	0.000E+00	0.510E-05	0.424E-03	0.360E-04	0.357E-08	0.000E+00
102.669	38.0	0.000E+00	0.000E+00	0.000E+00	0.965E-04	0.212E-02	0.117E-03	0.869E-08	0.000E+00
103.813	39.0	0.000E+00	0.000E+00	0.000E+00	0.114E-02	0.923E-02	0.351E-03	0.201E-07	0.000E+00
104.956	40.0	0.000E+00	0.000E+00	0.000E+00	0.841E-02	0.325E-01	0.921E-03	0.422E-07	0.000E+00
106.100	41.0	0.000E+00	0.000E+00	0.000E+00	0.401E-01	0.867E-01	0.201E-02	0.748E-07	0.000E+00
107.244	42.0	0.000E+00	0.000E+00	0.000E+00	0.136E+00	0.181E+00	0.364E-02	0.949E-07	0.000E+00
108.387	43.0	0.000E+00	0.000E+00	0.000E+00	0.362E+00	0.315E+00	0.569E-02	0.766E-07	0.000E+00
109.531	44.0	0.000E+00	0.000E+00	0.106E-05	0.815E+00	0.480E+00	0.790E-02	0.000E+00	0.000E+00
110.675	45.0	0.000E+00	0.000E+00	0.392E-04	0.161E+01	0.654E+00	0.998E-02	0.000E+00	0.000E+00
111.818	46.0	0.000E+00	0.000E+00	0.622E-03	0.284E+01	0.812E+00	0.116E-01	0.000E+00	0.000E+00
112.962	47.0	0.000E+00	0.000E+00	0.569E-02	0.462E+01	0.935E+00	0.125E-01	0.000E+00	0.000E+00
114.106	48.0	0.000E+00	0.000E+00	0.342E-01	0.698E+01	0.101E+01	0.127E-01	0.000E+00	0.000E+00
115.249	49.0	0.000E+00	0.000E+00	0.146E+00	0.991E+01	0.103E+01	0.122E-01	0.000E+00	0.000E+00
116.393	50.0	0.000E+00	0.000E+00	0.470E+00	0.133E+02	0.997E+00	0.110E-01	0.000E+00	0.000E+00
117.536	51.0	0.000E+00	0.000E+00	0.121E+01	0.168E+02	0.924E+00	0.955E-02	0.000E+00	0.000E+00
118.680	52.0	0.000E+00	0.000E+00	0.259E+01	0.201E+02	0.823E+00	0.793E-02	0.000E+00	0.000E+00
119.824	53.0	0.000E+00	0.125E-04	0.479E+01	0.228E+02	0.706E+00	0.635E-02	0.000E+00	0.000E+00
120.967	54.0	0.000E+00	0.190E-03	0.789E+01	0.246E+02	0.586E+00	0.491E-02	0.000E+00	0.000E+00
122.111	55.0	0.000E+00	0.173E-02	0.118E+02	0.253E+02	0.471E+00	0.368E-02	0.000E+00	0.000E+00
123.255	56.0	0.000E+00	0.107E-01	0.161E+02	0.248E+02	0.368E+00	0.268E-02	0.000E+00	0.000E+00
124.398	57.0	0.000E+00	0.477E-01	0.206E+02	0.233E+02	0.280E+00	0.190E-02	0.000E+00	0.000E+00
125.542	58.0	0.000E+00	0.162E+00	0.248E+02	0.211E+02	0.207E+00	0.132E-02	0.000E+00	0.000E+00
126.686	59.0	0.000E+00	0.439E+00	0.283E+02	0.184E+02	0.150E+00	0.894E-03	0.000E+00	0.000E+00
127.829	60.0	0.000E+00	0.980E+00	0.307E+02	0.155E+02	0.107E+00	0.592E-03	0.000E+00	0.000E+00
128.973	61.0	0.000E+00	0.187E+01	0.318E+02	0.127E+02	0.741E-01	0.383E-03	0.000E+00	0.000E+00
130.117	62.0	0.000E+00	0.315E+01	0.317E+02	0.101E+02	0.506E-01	0.240E-03	0.000E+00	0.000E+00
131.260	63.0	0.000E+00	0.477E+01	0.305E+02	0.784E+01	0.339E-01	0.148E-03	0.000E+00	0.000E+00
132.404	64.0	0.604E-05	0.666E+01	0.284E+02	0.596E+01	0.224E-01	0.878E-04	0.000E+00	0.000E+00
133.547	65.0	0.594E-04	0.866E+01	0.256E+02	0.443E+01	0.146E-01	0.501E-04	0.000E+00	0.000E+00
134.691	66.0	0.398E-03	0.107E+02	0.225E+02	0.324E+01	0.938E-02	0.255E-04	0.000E+00	0.000E+00
135.835	67.0	0.196E-02	0.125E+02	0.193E+02	0.233E+01	0.596E-02	0.101E-04	0.000E+00	0.000E+00
136.978	68.0	0.750E-02	0.141E+02	0.162E+02	0.165E+01	0.374E-02	0.000E+00	0.000E+00	0.000E+00
138.122	69.0	0.231E-01	0.154E+02	0.133E+02	0.115E+01	0.232E-02	0.000E+00	0.000E+00	0.000E+00
139.266	70.0	0.590E-01	0.163E+02	0.107E+02	0.799E+00	0.143E-02	0.000E+00	0.000E+00	0.000E+00
140.409	71.0	0.129E+00	0.168E+02	0.845E+01	0.548E+00	0.867E-03	0.000E+00	0.000E+00	0.000E+00
