E_lab	E*/MeV	198At	199At	200At	201At	202At	203At	204At	205At	206At	207At
184.719	41.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.108E-05	0.533E-06	0.813E-09	0.000E+00	0.000E+00
186.021	42.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.441E-05	0.130E-05	0.150E-08	0.000E+00	0.000E+00
187.323	43.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.136E-02	0.898E-03	0.754E-05	0.000E+00	0.000E+00
188.624	44.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.130E-07	0.805E-02	0.399E-02	0.425E-04	0.000E+00	0.000E+00
189.926	45.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.104E-05	0.334E-01	0.118E-01	0.132E-03	0.000E+00	0.000E+00
191.228	46.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.371E-04	0.128E+00	0.307E-01	0.325E-03	0.000E+00	0.000E+00
192.530	47.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.784E-03	0.470E+00	0.756E-01	0.708E-03	0.000E+00	0.000E+00
193.832	48.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.107E-01	0.162E+01	0.177E+00	0.148E-02	0.000E+00	0.000E+00
195.134	49.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.935E-01	0.495E+01	0.378E+00	0.291E-02	0.000E+00	0.000E+00
196.436	50.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.491E+00	0.118E+02	0.678E+00	0.516E-02	0.000E+00	0.000E+00
197.738	51.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.157E+01	0.209E+02	0.978E+00	0.795E-02	0.000E+00	0.000E+00
199.040	52.0	0.000E+00	0.000E+00	0.000E+00	0.000E+00	0.345E+01	0.287E+02	0.117E+01	0.105E-01	0.000E+00	0.000E+00
200.341	53.0	0.000E+00	0.000E+00	0.000E+00	0.126E-04	0.596E+01	0.335E+02	0.122E+01	0.120E-01	0.000E+00	0.000E+00
201.643	54.0	0.000E+00	0.000E+00	0.000E+00	0.171E-03	0.883E+01	0.349E+02	0.114E+01	0.118E-01	0.000E+00	0.000E+00
202.945	55.0	0.000E+00	0.000E+00	0.000E+00	0.142E-02	0.118E+02	0.336E+02	0.959E+00	0.101E-01	0.000E+00	0.000E+00
204.247	56.0	0.000E+00	0.000E+00	0.000E+00	0.814E-02	0.147E+02	0.305E+02	0.743E+00	0.763E-02	0.000E+00	0.000E+00
205.549	57.0	0.000E+00	0.000E+00	0.000E+00	0.343E-01	0.173E+02	0.264E+02	0.536E+00	0.516E-02	0.000E+00	0.000E+00
206.851	58.0	0.000E+00	0.000E+00	0.000E+00	0.112E+00	0.194E+02	0.220E+02	0.365E+00	0.322E-02	0.000E+00	0.000E+00
208.153	59.0	0.000E+00	0.000E+00	0.000E+00	0.293E+00	0.210E+02	0.178E+02	0.239E+00	0.191E-02	0.000E+00	0.000E+00
209.455	60.0	0.000E+00	0.000E+00	0.000E+00	0.639E+00	0.219E+02	0.141E+02	0.152E+00	0.110E-02	0.000E+00	0.000E+00
210.756	61.0	0.000E+00	0.000E+00	0.000E+00	0.121E+01	0.221E+02	0.109E+02	0.956E-01	0.626E-03	0.000E+00	0.000E+00
212.058	62.0	0.000E+00	0.000E+00	0.000E+00	0.202E+01	0.216E+02	0.829E+01	0.594E-01	0.353E-03	0.000E+00	0.000E+00
213.360	63.0	0.000E+00	0.000E+00	0.000E+00	0.306E+01	0.206E+02	0.621E+01	0.366E-01	0.197E-03	0.000E+00	0.000E+00
214.662	64.0	0.000E+00	0.000E+00	0.396E-05	0.428E+01	0.190E+02	0.459E+01	0.225E-01	0.109E-03	0.000E+00	0.000E+00
215.964	65.0	0.000E+00	0.000E+00	0.395E-04	0.560E+01	0.171E+02	0.334E+01	0.138E-01	0.596E-04	0.000E+00	0.000E+00
217.266	66.0	0.000E+00	0.000E+00	0.268E-03	0.695E+01	0.151E+02	0.241E+01	0.839E-02	0.315E-04	0.000E+00	0.000E+00
218.568	67.0	0.000E+00	0.000E+00	0.134E-02	0.822E+01	0.130E+02	0.172E+01	0.510E-02	0.155E-04	0.000E+00	0.000E+00
219.870	68.0	0.000E+00	0.000E+00	0.522E-02	0.936E+01	0.109E+02	0.121E+01	0.309E-02	0.651E-05	0.000E+00	0.000E+00
221.172	69.0	0.000E+00	0.000E+00	0.163E-01	0.103E+02	0.905E+01	0.847E+00	0.186E-02	0.000E+00	0.000E+00	0.000E+00
222.473	70.0	0.000E+00	0.000E+00	0.424E-01	0.110E+02	0.735E+01	0.587E+00	0.112E-02	0.000E+00	0.000E+00	0.000E+00
223.775	71.0	0.000E+00	0.000E+00	0.943E-01	0.115E+02	0.587E+01	0.404E+00	0.672E-03	0.000E+00	0.000E+00	0.000E+00
225.077	72.0	0.000E+00	0.000E+00	0.184E+00	0.117E+02	0.462E+01	0.277E+00	0.401E-03	0.000E+00	0.000E+00	0.000E+00
226.379	73.0	0.000E+00	0.000E+00	0.322E+00	0.117E+02	0.358E+01	0.188E+00	0.239E-03	0.000E+00	0.000E+00	0.000E+00
227.681	74.0	0.000E+00	0.344E-05	0.514E+00	0.114E+02	0.275E+01	0.127E+00	0.141E-03	0.000E+00	0.000E+00	0.000E+00
228.983	75.0	0.000E+00	0.231E-04	0.760E+00	0.110E+02	0.208E+01	0.855E-01	0.819E-04	0.000E+00	0.000E+00	0.000E+00
